倫	伦	lún	human relationship/order/coherence
哥倫比亞	哥伦比亚	Gē lún bǐ yà	Colombia/Columbia (District of, or University etc)
哥倫比亞大學	哥伦比亚大学	Gē lún bǐ yà Dà xué	Columbia University
哥倫比亞廣播公司	哥伦比亚广播公司	Gē lún bǐ yà Guǎng bō Gōng sī	Columbia Broadcasting System (CBS)
哥倫比亞特區	哥伦比亚特区	Gē lún bǐ yà tè qū	District of Columbia, USA
噶倫	噶伦	gá lún	Tibetan government official/same as 噶布倫|噶布伦
噶布倫	噶布伦	gá bù lún	Tibetan government official
土倫	土伦	Tǔ lún	Toulon (city in France)
埃德加·愛倫·坡	埃德加·爱伦·坡	Āi dé jiā · Ài lún · Pō	Edgar Allen Poe (1809-1849), American poet and novelist
多倫	多伦	Duō lún	Duolun county in Xilin Gol league 錫林郭勒盟|锡林郭勒盟[Xī lín guō lè méng], Inner Mongolia
多倫多	多伦多	Duō lún duō	Toronto, capital of Ontario, Canada
多倫縣	多伦县	Duō lún xiàn	Duolun county in Xilin Gol league 錫林郭勒盟|锡林郭勒盟[Xī lín guō lè méng], Inner Mongolia
大倫敦地區	大伦敦地区	dà Lún dūn dì qū	Greater London/London region, England
天倫	天伦	tiān lún	family bonds/ethical family relations
天倫之樂	天伦之乐	tiān lún zhī lè	family love and joy/domestic bliss
安捷倫科技	安捷伦科技	Ān jié lún Kē jì	Agilent Technologies (research and manufacturing company)
屈倫博赫	屈伦博赫	Qū lún bó hè	Culemborg, city in the Netherlands
巴倫支海	巴伦支海	Bā lún zhī Hǎi	Barents Sea
巴倫西亞	巴伦西亚	Bā lún xī yà	Valencia, Spain
巴布·狄倫	巴布·狄伦	Bā bù · Dí lún	Bob Dylan, American folk singer (1941-)
巴比倫	巴比伦	Bā bǐ lún	Babylon
布倫尼	布伦尼	Bù lún ní	Brønnøysund (city in Nordland, Norway)
布倫輕機槍	布伦轻机枪	Bù lún qīng jī qiāng	Bren gun, British light machine gun first produced in 1937
庫倫	库伦	Kù lún	Kulun, the former name for modern Ulan Bator, capital of Mongolia (Mongolian: temple)
庫倫	库伦	kù lún	enclosed pasture (Mongolian loanword)
庫倫旗	库伦旗	Kù lún qí	Hure banner or Xüree khoshuu in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
庫倫鎮	库伦镇	Kù lún zhèn	Hure town in Tongliao 通遼|通辽[Tōng liáo], Inner Mongolia
弗洛倫蒂諾·佩雷斯	弗洛伦蒂诺·佩雷斯	Fú luò lún dì nuò · Pèi léi sī	Florentino Pérez (1947-), Spanish businessman and president of Real Madrid football club
張伯倫	张伯伦	Zhāng bó lún	Chamberlain (name)/Wilt Chamberlain (1936-1999), US basketball player
彞倫	彝伦	yí lún	cardinal human relationships
德倫特	德伦特	Dé lún tè	Drenthe (name)/Drenthe (province in Netherlands)
拜倫	拜伦	Bài lún	George Byron (1788-1824), English poet
擬於不倫	拟于不伦	nǐ yú bù lún	to draw an impossible comparison
敦倫	敦伦	dūn lún	to strengthen moral ties between people/to have sexual intercourse (of a married couple)
新不倫瑞克	新不伦瑞克	Xīn bù lún ruì kè	New Brunswick province, Canada
昆汀·塔倫提諾	昆汀·塔伦提诺	Kūn tīng · Tǎ lún tí nuò	Quentin Tarantino (1963-), American film director
昆汀·塔倫蒂諾	昆汀·塔伦蒂诺	Kūn tīng · Tǎ lún dì nuò	Quentin Tarantino (1963-), American film director
朱立倫	朱立伦	Zhū Lì lún	Eric Chu (1961-), Taiwanese KMT politician
沃倫	沃伦	Wò lún	Warren (name)
沃倫·巴菲特	沃伦·巴菲特	Wò lún · Bā fēi tè	Warren Buffett (1930-), the Sage of Omaha, US investor and philanthropist, principal owner of holding company Berkshire Hathaway
波什格倫	波什格伦	Bō shén gé lún	Porsgrunn (city in Telemark, Norway)
洛倫茨	洛伦茨	Luò lún cí	Lorentz (name)/Hendrik Lorentz (1853-1928), Dutch physicist, 1902 Nobel laureate
海倫	海伦	Hǎi lún	Hailun county level city in Suihua 綏化|绥化, Heilongjiang/Helen or Hélène (name)
海倫·凱勒	海伦·凯勒	Hǎi lún · Kǎi lē	Helen Keller (1880-1968), famous American deaf-blind author and activist (whose story is told in biopic The Miracle Worker)
海倫市	海伦市	Hǎi lún shì	Hailun county level city in Suihua 綏化|绥化, Heilongjiang
烏倫古河	乌伦古河	Wū lún gǔ Hé	Ulungur River in Xinjiang
烏倫古湖	乌伦古湖	Wū lún gǔ Hú	Ulungur Lake in Xinjiang
無與倫比	无与伦比	wú yǔ lún bǐ	incomparable
特倫頓	特伦顿	Tè lún dùn	Trenton, capital of New Jersey
科倫坡	科伦坡	Kē lún pō	Colombo, capital of Sri Lanka
紀伯倫	纪伯伦	Jì bó lún	Khalil Gibran (1883-1931), Lebanese poet, writer and artist
紐倫堡	纽伦堡	Niǔ lún bǎo	Nürnberg or Nuremberg, town in Bavaria, Germany
絕倫	绝伦	jué lún	outstanding/peerless/beyond compare
羅倫斯	罗伦斯	Luó lún sī	Lawrence (city in Kansas, USA)
聖勞倫斯河	圣劳伦斯河	Shèng Láo lún sī Hé	St Lawrence River, Canada
聖塔倫	圣塔伦	Shèng tǎ lún	Santarém (Portugal)/Santarém (Brazil)
肯沃倫	肯沃伦	Kěn Wò lún	Ken Warren (1927-1991), American adventurer and river runner
英屬哥倫比亞	英属哥伦比亚	Yīng shǔ Gē lún bǐ yà	British Columbia, Pacific province of Canada
荒謬絕倫	荒谬绝伦	huāng miù jué lún	absolutely ridiculous (idiom); preposterous/the height of folly
蔡倫	蔡伦	Cài Lún	Cai Lun (-121), the inventor of the papermaking process
語無倫次	语无伦次	yǔ wú lún cì	incoherent speech/to talk without rhyme or reason (idiom)
超群絕倫	超群绝伦	chāo qún jué lún	outstanding (idiom); incomparable
迪倫	迪伦	Dí lún	Dylan
逆倫	逆伦	nì lún	unnatural relationship (parricide, incest etc)/unfilial conduct/against social morals
鄂倫春	鄂伦春	È lún chūn	Oroqen or Orochon (ethnic group)
鄂倫春自治旗	鄂伦春自治旗	È lún chūn Zì zhì qí	Oroqin Autonomous Banner in Hulunbuir 呼倫貝爾|呼伦贝尔[Hū lún bèi ěr], Inner Mongolia
阿倫	阿伦	Ā lún	Aalen, town in Germany
阿倫達爾	阿伦达尔	Ā lún dá ěr	Arendal (city in Agder, Norway)
阿克倫	阿克伦	Ā kè lún	Acheron River in Epirus, northwest Greece
阿克倫河	阿克伦河	Ā kè lún Hé	Acheron River in Epirus, northwest Greece
麥哲倫	麦哲伦	Mài zhé lún	Magellan (1480-1521), Portuguese explorer
