險	险	xiǎn	danger/dangerous/rugged
避險	避险	bì xiǎn	to flee from danger/to avoid danger/to minimize risk/(finance) hedge
醫療保險	医疗保险	yī liáo bǎo xiǎn	medical insurance
鋌而走險	铤而走险	tǐng ér zǒu xiǎn	to take a risk out of desperation (idiom)
陰險	阴险	yīn xiǎn	treacherous/sinister
陰險毒辣	阴险毒辣	yīn xiǎn dú là	treacherous and murderous
一切險	一切险	yī qiè xiǎn	all risks (insurance)
險些	险些	xiǎn xiē	narrowly/almost/nearly
險兆	险兆	xiǎn zhào	evil omen
險勝	险胜	xiǎn shèng	to win by a narrow margin/to barely win/narrow victory
險境	险境	xiǎn jìng	critical circumstances/risky conditions/danger zone
險峰	险峰	xiǎn fēng	perilous peak/the lofty heights
險峻	险峻	xiǎn jùn	arduous/steep
險情	险情	xiǎn qíng	peril/dangerous circumstance
險惡	险恶	xiǎn è	dangerous/sinister/vicious
險球	险球	xiǎn qiú	dangerous ball (in soccer, volleyball etc)
險症	险症	xiǎn zhèng	critical illness
險種	险种	xiǎn zhǒng	insurance type
險要	险要	xiǎn yào	strategically situated and easy to defend/strategic location
險詐	险诈	xiǎn zhà	sinister and deceitful
險象環生	险象环生	xiǎn xiàng huán shēng	dangers spring up all around (idiom); surrounded by perils
險阻	险阻	xiǎn zǔ	dangerous and difficult (path)
風險	风险	fēng xiǎn	risk/hazard
風險估計	风险估计	fēng xiǎn gū jì	risk assessment
風險投資	风险投资	fēng xiǎn tóu zī	venture capital
風險管理	风险管理	fēng xiǎn guǎn lǐ	risk management
養老保險	养老保险	yǎng lǎo bǎo xiǎn	old-age insurance
驚險	惊险	jīng xiǎn	thrilling/a thriller
高風險	高风险	gāo fēng xiǎn	high risk
高風險區	高风险区	gāo fēng xiǎn qū	high risk area
