員	员	yuán	person/employee/member
奧林匹克運動會組織委員會	奥林匹克运动会组织委员会	Ào lín pǐ kè Yùn dòng huì Zǔ zhī Wěi yuán huì	Olympic Organizing Committee/abbr. to 奧組委|奥组委
女乘務員	女乘务员	nǚ chéng wù yuán	stewardess/female flight attendant
女店員	女店员	nǚ diàn yuán	salesgirl/female shop assistant
女警員	女警员	nǚ jǐng yuán	a policewoman
委員	委员	wěi yuán	committee member/committee/council/CL:個|个[gè]
委員會	委员会	wěi yuán huì	committee
委員會會議	委员会会议	wěi yuán huì huì yì	committee meeting
委員長	委员长	wěi yuán zhǎng	head of a committee
學員	学员	xué yuán	student/member of an institution of learning/officer cadet
宇航員	宇航员	yǔ háng yuán	astronaut
守門員	守门员	shǒu mén yuán	goalkeeper
官員	官员	guān yuán	official (in an organization or government)/administrator
定員	定员	dìng yuán	fixed complement (of crew, passengers etc)
家庭成員	家庭成员	jiā tíng chéng yuán	family member
家政員	家政员	jiā zhèng yuán	housekeeping staff
審判員	审判员	shěn pàn yuán	judge (in court)
審計員	审计员	shěn jì yuán	accountant/auditor
專員	专员	zhuān yuán	assistant director/commissioner
專門人員	专门人员	zhuān mén rén yuán	specialist/specialized staff
導航員	导航员	dǎo háng yuán	navigator (on a plane or boat)
小組委員會	小组委员会	xiǎo zǔ wěi yuán huì	subcommittee
工作人員	工作人员	gōng zuò rén yuán	staff member
工作委員會	工作委员会	gōng zuò wěi yuán huì	working committee
市議員	市议员	shì yì yuán	town councilor/city councilor/alderman
常務委員會	常务委员会	cháng wù wěi yuán huì	standing committee (e.g. of National People's Congress)
幅員	幅员	fú yuán	size (i.e. area) of a country, geographical region or school campus etc/(fig.) scope/extent
店員	店员	diàn yuán	shop assistant/salesclerk/salesperson
廣播員	广播员	guǎng bō yuán	(radio) broadcaster
引導員	引导员	yǐn dǎo yuán	usher/guide
從業人員	从业人员	cóng yè rén yuán	employee/person employed in a trade or profession
復員	复员	fù yuán	to demobilize/demobilization
愛國衛生運動委員會	爱国卫生运动委员会	Ài guó Wèi shēng Yùn dòng Wěi yuán huì	Patriotic Health Committee
憲法監護委員會	宪法监护委员会	Xiàn fǎ Jiān hù Wěi yuán huì	Guardian Council, body of 12 appointed clerics which governs Iran
成員	成员	chéng yuán	member
成員國	成员国	chéng yuán guó	member country
打字員	打字员	dǎ zì yuán	typist
扳道員	扳道员	bān dào yuán	pointsman/switchman
技術人員	技术人员	jì shù rén yuán	technical staff
技術員	技术员	jì shù yuán	technician/CL:個|个[gè]
投遞員	投递员	tóu dì yuán	courier/mailman
押運員	押运员	yā yùn yuán	supercargo (in maritime law)/agent responsible for goods/an escort
招待員	招待员	zhāo dài yuán	usher/greeter
指導員	指导员	zhǐ dǎo yuán	instructor/coach/political instructor (in the PLA)
指戰員	指战员	zhǐ zhàn yuán	PLA commanders and fighters
採購員	采购员	cǎi gòu yuán	buyer/purchasing agent
探員	探员	tàn yuán	detective/investigator/agent
探雷人員	探雷人员	tàn léi rén yuán	mine detector (employee)
接待員	接待员	jiē dài yuán	receptionist
接線員	接线员	jiē xiàn yuán	switchboard operator
推銷員	推销员	tuī xiāo yuán	sales representative/salesperson
播報員	播报员	bō bào yuán	announcer
播音員	播音员	bō yīn yuán	announcer/broadcaster
擊球員	击球员	jī qiú yuán	lit. striking sportsman/striker (baseball)/batsman (cricket)
操作員	操作员	cāo zuò yuán	operator
收報員	收报员	shōu bào yuán	telegraph operator
收票員	收票员	shōu piào yuán	ticket collector
政府官員	政府官员	zhèng fǔ guān yuán	government employee
政治委員	政治委员	zhèng zhì wěi yuán	political commissar (during Russian and Chinese communist revolutions)
救生員	救生员	jiù shēng yuán	lifeguard
救護人員	救护人员	jiù hù rén yuán	rescue worker
教員	教员	jiào yuán	teacher/instructor/CL:個|个[gè]
教練員	教练员	jiào liàn yuán	sports coach/training personnel
教職員	教职员	jiào zhí yuán	teaching and administrative staff
教職員工	教职员工	jiào zhí yuán gōng	teaching and administrative staff
教育委員會	教育委员会	jiào yù wěi yuán huì	school board
文員	文员	wén yuán	office worker/clerk
替補隊員	替补队员	tì bǔ duì yuán	substitute player/reserve player
替身演員	替身演员	tì shēn yǎn yuán	substitute actor (esp. in fights of theatrical stunts)/stuntman
會員	会员	huì yuán	member
會員國	会员国	huì yuán guó	member nation
服務員	服务员	fú wù yuán	waiter/waitress/attendant/customer service personnel/CL:個|个[gè],位[wèi]
查票員	查票员	chá piào yuán	ticket inspector
業務員	业务员	yè wù yuán	salesperson
檢查員	检查员	jiǎn chá yuán	inspector
櫃員機	柜员机	guì yuán jī	ATM
歐盟委員會	欧盟委员会	Ōu méng Wěi yuán huì	Commission of European Union
殯儀員	殡仪员	bìn yí yuán	undertaker/funeral arranger
氣像人員	气像人员	qì xiàng rén yuán	meteorologist
洋員	洋员	yáng yuán	Westerner employed in Qing China (as professor or military advisor etc)
海員	海员	hǎi yuán	sailor/mariner
海關官員	海关官员	hǎi guān guān yuán	customs officer
消防員	消防员	xiāo fáng yuán	firefighter/fireman
消防隊員	消防队员	xiāo fáng duì yuán	fireman
滿員	满员	mǎn yuán	full complement/at full strength/no vacancies
演員	演员	yǎn yuán	actor or actress/performer/CL:個|个[gè],位[wèi],名[míng]
演員陣容	演员阵容	yǎn yuán zhèn róng	cast (of a movie etc)/lineup of performers/troupe
演藝人員	演艺人员	yǎn yì rén yuán	entertainer/performer
潛水員	潜水员	qián shuǐ yuán	diver/frogman
炊事員	炊事员	chuī shì yuán	cook/kitchen worker
無線電管理委員會	无线电管理委员会	wú xiàn diàn guǎn lǐ wěi yuán huì	Wireless transmission regulatory commission
營業員	营业员	yíng yè yuán	clerk/shop assistant/CL:個|个[gè]
特技演員	特技演员	tè jì yǎn yuán	stuntman
特派員	特派员	tè pài yuán	special correspondent/sb dispatched on a mission/special commissioner
球員	球员	qiú yuán	sports club member/footballer, golfer etc
理貨員	理货员	lǐ huò yuán	shop assistant/warehouse assistant
理髮員	理发员	lǐ fà yuán	barber
生員	生员	shēng yuán	scholar preparing for imperial examinations (in former times)
病員	病员	bìng yuán	sick personnel/person on the sick list/patient
登記員	登记员	dēng jì yuán	registrar
盟員	盟员	méng yuán	league member/ally
監查員	监查员	jiān chá yuán	supervisor/monitor
眾議員	众议员	zhòng yì yuán	member of the US House of Representatives
研修員	研修员	yán xiū yuán	research worker/researcher
研究人員	研究人员	yán jiū rén yuán	research worker/research personnel
研究員	研究员	yán jiū yuán	researcher
社員	社员	shè yuán	commune member (PRC, 1958-1985)/member of a society (or other organization)
祖國和平統一委員會	祖国和平统一委员会	Zǔ guó Hé píng Tǒng yī Wěi yuán huì	Committee for Peaceful Reunification of the Fatherland (North Korean)
神職人員	神职人员	shén zhí rén yuán	clergy/cleric
科技人員	科技人员	kē jì rén yuán	scientific and technical staff
科研人員	科研人员	kē yán rén yuán	(scientific) researcher
程序員	程序员	chéng xù yuán	programmer
程式管理員	程式管理员	chéng shì guǎn lǐ yuán	program manager (Windows)
稽查人員	稽查人员	jī chá rén yuán	inspector
稽查員	稽查员	jī chá yuán	inspector/ticket inspector
空中交通管制員	空中交通管制员	kōng zhōng jiāo tōng guǎn zhì yuán	air traffic controller
空服員	空服员	kōng fú yuán	flight attendant/cabin crew
突擊隊員	突击队员	tū jī duì yuán	commando
立法委員	立法委员	lì fǎ wěi yuán	member of the Legislative Yuan (Tw)
立法委員會	立法委员会	lì fǎ wěi yuán huì	legislative committee
站員	站员	zhàn yuán	station employee/railway clerk
管理員	管理员	guǎn lǐ yuán	manager/administrator
管理委員會	管理委员会	guǎn lǐ wěi yuán huì	administrative committee/management committee
簿記管理員	簿记管理员	bù jì guǎn lǐ yuán	commissarian
紀律檢查委員會	纪律检查委员会	Jì lǜ Jiǎn chá Wěi yuán huì	Central Commission for Discipline Inspection of the CCP
組織委員會	组织委员会	zǔ zhī wěi yuán huì	organizing committee/abbr. to 組委|组委
統計員	统计员	tǒng jì yuán	statistician
網管員	网管员	wǎng guǎn yuán	network manager/network administrator
網絡管理員	网络管理员	wǎng luò guǎn lǐ yuán	network administrator
網絡規劃人員	网络规划人员	wǎng luò guī huà rén yuán	network planner
總動員	总动员	zǒng dòng yuán	general mobilization (for war etc)
美國證券交易委員會	美国证券交易委员会	Měi guó Zhèng quàn Jiāo yì Wěi yuán huì	US Securities and Exchange Commission (SEC)
聯合國難民事務高級專員辦事處	联合国难民事务高级专员办事处	Lián hé guó Nán mín Shì wù Gāo jí Zhuān yuán Bàn shì chù	Office of the UN High Commissioner for Refugees (UNHCR)
聯邦通信委員會	联邦通信委员会	Lián bāng Tōng xìn Wěi yuán huì	Federal Communications Commission (FCC)
職員	职员	zhí yuán	office worker/staff member/CL:個|个[gè],位[wèi]
職業運動員	职业运动员	zhí yè yùn dòng yuán	professional (athlete)/pro
臨時演員	临时演员	lín shí yǎn yuán	an extra (in a movie)
臨時澳門市政執行委員會	临时澳门市政执行委员会	lín shí Ào mén shì zhèng zhí xíng wěi yuán huì	Provisional Municipal Council of Macau/Câmara Municipal de Macau Provisória
自動櫃員機	自动柜员机	zì dòng guì yuán jī	automated teller machine (ATM)
航天員	航天员	háng tiān yuán	astronaut
船員	船员	chuán yuán	sailor/crew member
茫崖行政委員會	茫崖行政委员会	Máng yá xíng zhèng wěi yuán huì	Mang'ai county level subdivision of Haixi Mongol and Tibetan autonomous prefecture 海西蒙古族藏族自治州, Qinghai
行政員	行政员	xíng zhèng yuán	administrator
行李員	行李员	xíng li yuán	porter/bellboy
衛生官員	卫生官员	wèi shēng guān yuán	health official
裁判員	裁判员	cái pàn yuán	referee
裁員	裁员	cái yuán	to cut staff/to lay off employees
裝配員	装配员	zhuāng pèi yuán	assembly worker
要員	要员	yào yuán	key participant/VIP
見習員	见习员	jiàn xí yuán	trainee
規劃人員	规划人员	guī huà rén yuán	planner
觀察員	观察员	guān chá yuán	observer
觀測員	观测员	guān cè yuán	observer/spotter
解說員	解说员	jiě shuō yuán	commentator
記工員	记工员	jì gōng yuán	work-point recorder
記帳員	记帐员	jì zhàng yuán	bookkeeper
記錄員	记录员	jì lù yuán	recorder
訪員	访员	fǎng yuán	field reporter/investigative journalist
試飛員	试飞员	shì fēi yuán	test pilot
話務員	话务员	huà wù yuán	phone operator
調查人員	调查人员	diào chá rén yuán	investigator
調查員	调查员	diào chá yuán	investigator
調研人員	调研人员	tiáo yán rén yuán	research workers/survey and research workers
諮詢員	谘询员	zī xún yuán	advisor/consultant
講解員	讲解员	jiǎng jiě yuán	guide
證券委員會	证券委员会	zhèng quàn wěi yuán huì	securities commission (of the State Council)
譯員	译员	yì yuán	interpreter/translator (esp. oral)
議員	议员	yì yuán	member (of a legislative body)/representative
起訴員	起诉员	qǐ sù yuán	prosecutor
起造員	起造员	qǐ zào yuán	draftsman/draughtsman
跑壘員	跑垒员	pǎo lěi yuán	runner (in baseball)
軟件開發人員	软件开发人员	ruǎn jiàn kāi fā rén yuán	software developer
輔導員	辅导员	fǔ dǎo yuán	coach (teacher or trainer)
通訊員	通讯员	tōng xùn yuán	correspondent/reporter/messenger boy
速記員	速记员	sù jì yuán	stenographer
運動員	运动员	yùn dòng yuán	athlete/CL:名[míng],個|个[gè]
運貨員	运货员	yùn huò yuán	porter
選舉委員會	选举委员会	Xuǎn jǔ Wěi yuán huì	Election Committee (Hong Kong)
郵遞員	邮递员	yóu dì yuán	mailman
醫務人員	医务人员	yī wù rén yuán	medical personnel
醫護人員	医护人员	yī hù rén yuán	medical personnel/doctors and nurses
鑒定委員會	鉴定委员会	jiàn dìng wěi yuán huì	evaluation committee/review board
長跑運動員	长跑运动员	cháng pǎo yùn dòng yuán	long distance runner
開發人員	开发人员	kāi fā rén yuán	developer
陪審員	陪审员	péi shěn yuán	juror
隊員	队员	duì yuán	team member
隨員	随员	suí yuán	attendant
隨行人員	随行人员	suí xíng rén yuán	entourage/retinue
雇員	雇员	gù yuán	employee
雜技演員	杂技演员	zá jì yǎn yuán	acrobat
電影演員	电影演员	diàn yǐng yǎn yuán	movie actor/movie actress
領航員	领航员	lǐng háng yuán	navigator
飛行員	飞行员	fēi xíng yuán	pilot/aviator
飼養員	饲养员	sì yǎng yuán	zookeeper/stockman/breeder (of livestock, dogs or poultry etc)
駕駛員	驾驶员	jià shǐ yuán	pilot/driver
體操運動員	体操运动员	tǐ cāo yùn dòng yuán	gymnast
高層執行員	高层执行员	gāo céng zhí xíng yuán	senior executive
高級專員	高级专员	gāo jí zhuān yuán	high commissioner
高級職員	高级职员	gāo jí zhí yuán	high official/senior executive
黨員	党员	dǎng yuán	party member/CL:名[míng],位[wèi],個|个[gè]
