寶	宝	bǎo	jewel/gem/treasure/precious
寶應縣	宝应县	Bǎo yīng xiàn	Baoying county in Yangzhou 揚州|扬州[Yáng zhōu], Jiangsu
寶成鐵路	宝成铁路	Bǎo Chéng tiě lù	Baoji-Chengdu Railway
寶書	宝书	bǎo shū	treasured book
寶林	宝林	Bǎo lín	Po Lam (area in Hong Kong)
寶殿	宝殿	bǎo diàn	king's palace/throne hall
寶清	宝清	Bǎo qīng	Baoqing county in Shuangyashan 雙鴨山|双鸭山[Shuāng yā shān], Heilongjiang
寶清縣	宝清县	Bǎo qīng xiàn	Baoqing county in Shuangyashan 雙鴨山|双鸭山[Shuāng yā shān], Heilongjiang
寶潔	宝洁	Bǎo jié	Procter & Gamble (consumer goods company)
寶潔公司	宝洁公司	Bǎo jié Gōng sī	Procter & Gamble
寶爸	宝爸	bǎo bà	a dad (father of a young child)
寶物	宝物	bǎo wù	treasure/CL:件[jiàn]
寶特瓶	宝特瓶	bǎo tè píng	plastic bottle
寶玉	宝玉	bǎo yù	precious jade/treasures
寶瓶	宝瓶	Bǎo píng	Aquarius (star sign)
寶瓶座	宝瓶座	Bǎo píng zuò	Aquarius (constellation and sign of the zodiac)/also called 水瓶座
寶生佛	宝生佛	Bǎo shēng fó	Ratnasambhava Buddha
寶石	宝石	bǎo shí	precious stone/gem/CL:枚[méi],顆|颗[kē]
寶興	宝兴	Bǎo xīng	Baoxing County in Ya'an 雅安[Yǎ ān], Sichuan
寶興歌鶇	宝兴歌鸫	Bǎo xīng gē dōng	(bird species of China) Chinese thrush (Turdus mupinensis)
寶興縣	宝兴县	Bǎo xīng Xiàn	Baoxing County in Ya'an 雅安[Yǎ ān], Sichuan
寶興鶥雀	宝兴鹛雀	Bǎo xìng méi què	(bird species of China) rufous-tailed babbler (Moupinia poecilotis)
寶船	宝船	bǎo chuán	Chinese treasure ship, a type of large sailing ship in the fleet of Ming dynasty admiral Zheng He 鄭和|郑和[Zhèng Hé]
寶萊塢	宝莱坞	Bǎo lái wù	Bollywood (film industry based in Mumbai, India)
寶葫蘆	宝葫芦	bǎo hú lu	magic gourd, granting your every wish
寶葫蘆的秘密	宝葫芦的秘密	Bǎo hú lu de Mì mì	Secret of the Magic Gourd (1958), prize-winning children's fairy tale by Zhang Tianyi 張天翼|张天翼[Zhāng Tiān yì]
寶蓋	宝盖	bǎo gài	name of "roof" radical in Chinese characters (Kangxi radical 40)/see also 宀[mián]
寶蓋草	宝盖草	bǎo gài cǎo	henbit deadnettle (Lamium amplexicaule)
寶藍	宝蓝	bǎo lán	sapphire blue
寶藏	宝藏	bǎo zàng	precious mineral deposits/hidden treasure/(fig.) treasure/(Buddhism) the treasure of Buddha's law
寶誌	宝志	Bǎo zhì	Baozhi, or Pao-chih, Chinese monk (418–514), also known as 保誌|保志 or 誌公|志公
寶豐	宝丰	Bǎo fēng	Baofeng county in Pingdingshan 平頂山|平顶山[Píng dǐng shān], Henan
寶豐縣	宝丰县	Bǎo fēng xiàn	Baofeng county in Pingdingshan 平頂山|平顶山[Píng dǐng shān], Henan
寶貝	宝贝	bǎo bèi	treasured object/treasure/darling/baby/cowry/good-for-nothing or queer character
寶貝兒	宝贝儿	bǎo bèi r5	erhua variant of 寶貝|宝贝[bǎo bèi]
寶貝疙瘩	宝贝疙瘩	bǎo bèi gē da	(of a child) apple of one's eye
寶貨	宝货	bǎo huò	precious object/treasure
寶貴	宝贵	bǎo guì	valuable/precious/to value/to treasure/to set store by
寶貼	宝贴	Bǎo tiē	Blu-tack (brand)
寶鋼	宝钢	Bǎo gāng	Baosteel, China's largest steel maker
寶鋼集團	宝钢集团	Bǎo gāng Jí tuán	Baosteel, China's largest steel maker
寶雞	宝鸡	Bǎo jī	Baoji prefecture-level city in Shaanxi/called Chencang 陳倉|陈仓[Chén cāng] in ancient times
寶雞市	宝鸡市	Bǎo jī Shì	Baoji prefecture-level city in Shaanxi/called Chencang 陳倉|陈仓[Chén cāng] in ancient times
寶馬	宝马	Bǎo mǎ	BMW (car company)
寶馬	宝马	bǎo mǎ	precious horse
寶馬香車	宝马香车	bǎo mǎ xiāng chē	precious horses and magnificent carriage (idiom); rich family with extravagant lifestyle/ostentatious display of luxury
寶麗來	宝丽来	Bǎo lì lái	Polaroid
寶麗金	宝丽金	Bǎo lì jīn	PolyGram (record label)
尋寶	寻宝	xún bǎo	treasure hunt
尚方寶劍	尚方宝剑	shàng fāng bǎo jiàn	variant of 尚方劍|尚方剑[shàng fāng jiàn]/imperial sword (giving bearer arbitrary powers)/in fiction, Chinese version of 007's license to kill
巴寶莉	巴宝莉	Bā bǎo lì	Burberry (brand)
幫寶適	帮宝适	Bāng bǎo shì	(brand) Pampers
干寶	干宝	Gān Bǎo	Gan Bao (?-336), Chinese historian and writer, author of In Search of the Supernatural 搜神記|搜神记[Sōu shén Jì]
平寶蓋	平宝盖	píng bǎo gài	name of "cover" radical in Chinese characters (Kangxi radical 14)/see also 冖[mì]
張寶	张宝	Zhāng Bǎo	Zhang Bao (-184), leader of the Yellow Turban rebels during the late Han 漢朝|汉朝[Hàn cháo]
御寶	御宝	yù bǎo	imperial seal
心肝寶貝	心肝宝贝	xīn gān bǎo bèi	precious darling (often refers to one's child)/sweetheart
押寶	押宝	yā bǎo	to play yabao (a gambling game)/(fig.) to gamble on/to take one's chance/to try one's luck
招財進寶	招财进宝	zhāo cái jìn bǎo	ushering in wealth and prosperity (idiom and traditional greeting, esp. at New Year); We wish you wealth and success!
支付寶	支付宝	Zhī fù bǎo	Alipay, online payment platform
數來寶	数来宝	shǔ lái bǎo	folk theater consisting of recitation accompanied by clapper board rhythm
文房四寶	文房四宝	wén fáng sì bǎo	Four Treasures of the Study, namely 筆|笔[bǐ], 墨[mò], 紙|纸[zhǐ] and 硯|砚[yàn]/the essentials of calligraphy and scholarship (idiom)
易拉寶	易拉宝	yì lā bǎo	roll-up banner stand
有寶何必人前誇	有宝何必人前夸	yǒu bǎo hé bì rén qián kuā	There is no need to boast about one's treasures. (idiom)
李寶嘉	李宝嘉	Lǐ Bǎo jiā	Li Boyuan 李伯元 or Li Baojia (1867-1906), late Qing journalist, novelist and social observer, author of Observations on the current state of officialdom 官場現形記|官场现形记
東寶	东宝	Dōng bǎo	Dongbao district of Jingmen city 荊門市|荆门市[Jīng mén shì], Hubei
東寶區	东宝区	Dōng bǎo qū	Dongbao district of Jingmen city 荊門市|荆门市[Jīng mén shì], Hubei
梵克雅寶	梵克雅宝	Fàn kè yǎ bǎo	Van Cleef & Arpels (French luxury jewelry company)
森羅寶殿	森罗宝殿	Sēn luó bǎo diàn	Yama's palace
楊寶森	杨宝森	Yáng Bǎo sēn	Yang Baosen (1909-1958), Beijing opera star, one of the Four great beards 四大鬚生|四大须生
歐寶	欧宝	Ōu bǎo	Opel (car brand)
汗血寶馬	汗血宝马	hàn xuè bǎo mǎ	Ferghana horse
法寶	法宝	fǎ bǎo	Buddha's teaching/Buddhist monk's apparel, staff etc/(Daoism) magic weapon/talisman/fig. specially effective device/magic wand
活寶	活宝	huó bǎo	buffoon/clown/ridiculous person
海寶	海宝	Hǎi bǎo	Haibao, Expo 2010 mascot
海綿寶寶	海绵宝宝	Hǎi mián Bǎo bǎo	SpongeBob SquarePants (US TV animated series, 1999-)
淘寶網	淘宝网	Táo bǎo Wǎng	Taobao Marketplace, a Chinese website for online shopping
深圳健力寶	深圳健力宝	shēn zhèn jiàn lì bǎo	Shenzhen Jianlibao (soccer team)
溫家寶	温家宝	Wēn Jiā bǎo	Wen Jiabao (1942-), Premier of PRC from 2003-2013
澳寶	澳宝	ào bǎo	opal (abbr. for 澳洲寶石|澳洲宝石)
無事不登三寶殿	无事不登三宝殿	wú shì bù dēng sān bǎo diàn	lit. One doesn't visit a temple without a cause. (idiom)/fig. to visit sb with an ulterior motive (esp. to ask for sth)/having a hidden agenda
無價之寶	无价之宝	wú jià zhī bǎo	priceless treasure
獻寶	献宝	xiàn bǎo	to present a treasure/to offer a valuable piece of advice/to show off what one treasures
珍寶	珍宝	zhēn bǎo	a treasure
珠寶	珠宝	zhū bǎo	pearls/jewels/precious stones
現世寶	现世宝	xiàn shì bǎo	good-for-nothing/fool
瑰寶	瑰宝	guī bǎo	gem/(fig.) rare and valuable item/gem/treasure
百寶箱	百宝箱	bǎi bǎo xiāng	treasure chest
知識寶庫	知识宝库	zhī shi bǎo kù	treasure house of knowledge
神奇寶貝	神奇宝贝	Shén qí Bǎo bèi	Pokémon or Pocket Monsters, popular Japanese video game, anime and manga
禿寶蓋	秃宝盖	tū bǎo gài	name of "cover" radical in Chinese characters (Kangxi radical 14)/see also 冖[mì]
精靈寶鑽	精灵宝钻	jīng líng bǎo zuàn	treasure of spirits/Silmarillion or Quenta Silmarillion by J.R.R. Tolkien 托爾金|托尔金
紅寶書	红宝书	Hóng bǎo shū	the "Little Red Book" of selected writings of Mao Zedong (refers to 毛主席語錄|毛主席语录[Máo Zhǔ xí Yǔ lù])
紅寶石	红宝石	hóng bǎo shí	ruby
綠寶石	绿宝石	lǜ bǎo shí	beryl
耍寶	耍宝	shuǎ bǎo	to show off/to put on a show to amuse others
聚寶盆	聚宝盆	jù bǎo pén	treasure bowl (mythology)/fig. source of wealth/cornucopia/gold mine
至寶	至宝	zhì bǎo	most valuable treasure/most precious asset
萬寶路	万宝路	Wàn bǎo lù	Marlboro (cigarette)
薛寶釵	薛宝钗	Xuē Bǎo chāi	Xue Baochai, female character in Dream of Red Mansions, married to Jia Baoyu 賈寶玉|贾宝玉
藍寶石	蓝宝石	lán bǎo shí	sapphire
蠶寶寶	蚕宝宝	cán bǎo bǎo	silkworm
貝寶	贝宝	Bèi bǎo	PayPal (Internet payment and money transfer company)
財寶	财宝	cái bǎo	money and valuables
賈寶玉	贾宝玉	Jiǎ Bǎo yù	Jia Baoyu, male character in The Dream of Red Mansions, in love with his cousin Lin Daiyu 林黛玉 but obliged to marry Xue Baochai 薛寶釵|薛宝钗
走寶	走宝	zǒu bǎo	to miss an opportunity (Cantonese)
醜妻近地家中寶	丑妻近地家中宝	chǒu qī jìn dì jiā zhōng bǎo	an ugly wife is a treasure at home (idiom)
金寶	金宝	Jīn bǎo	Campbell (name)/Kampar, town in the state of Perak, Malaysia
靈寶	灵宝	Líng bǎo	Lingbao county level city in Sanmenxia 三門峽|三门峡[Sān mén xiá], Henan
靈寶市	灵宝市	Líng bǎo shì	Lingbao county level city in Sanmenxia 三門峽|三门峡[Sān mén xiá], Henan
香車寶馬	香车宝马	xiāng chē bǎo mǎ	magnificent carriage and precious horses (idiom); rich family with extravagant lifestyle/ostentatious display of luxury
香輪寶騎	香轮宝骑	xiāng lún bǎo qí	magnificent carriage and precious horses (idiom); rich family with extravagant lifestyle/ostentatious display of luxury
黃金寶	黄金宝	Huáng Jīn bǎo	Wong Kam-po (1973-), Hong Kong champion cyclist
龜甲寶螺	龟甲宝螺	guī jiǎ bǎo luó	Mauritius cowry/Mauritia mauritiana
