醫	医	yī	medical/medicine/doctor/to cure/to treat
安徽中醫學院	安徽中医学院	Ān huī Zhōng yī Xué yuàn	Anhui College of Traditional Chinese Medicine
就醫	就医	jiù yī	to receive medical treatment
巫醫	巫医	wū yī	witch doctor/medicine man/shaman
庸醫	庸医	yōng yī	quack/charlatan
廣州中醫藥大學	广州中医药大学	Guǎng zhōu Zhōng yī yào Dà xué	Guangzhou University of Chinese Medicine
廣東醫學院	广东医学院	Guǎng dōng Yī xué yuàn	Guangdong Medical College
後送醫院	后送医院	hòu sòng yī yuàn	evacuation hospital (military)
御醫	御医	yù yī	imperial physician
整形外科醫生	整形外科医生	zhěng xíng wài kē yī shēng	plastic surgeon
新型農村合作醫療	新型农村合作医疗	Xīn xíng Nóng cūn Hé zuò Yī liáo	New Rural Cooperative Medical Scheme/abbr. to 新農合|新农合
核子醫學	核子医学	hé zǐ yī xué	nuclear medicine
桂林醫學院	桂林医学院	Guì lín Yī Xué yuàn	Guilin Medical University
檢驗醫學	检验医学	jiǎn yàn yī xué	laboratory medicine
死馬當活馬醫	死马当活马医	sǐ mǎ dàng huó mǎ yī	lit. to give medicine to a dead horse (idiom)/fig. to keep trying everything in a desperate situation
求醫	求医	qiú yī	to seek medical treatment/to see a doctor
求醫癖	求医癖	qiú yī pǐ	Munchausen syndrome
江湖醫生	江湖医生	Jiāng hú yī shēng	quack/charlatan/itinerant doctor and swindler
法醫	法医	fǎ yī	forensic investigator/forensic detective
法醫學	法医学	fǎ yī xué	forensics
無國界醫生	无国界医生	Wú guó jiè Yī shēng	Médecins Sans Frontières (MSF charity)/Doctors Without Borders
牙科醫生	牙科医生	yá kē yī shēng	dentist
牙醫	牙医	yá yī	dentist
獸醫	兽医	shòu yī	veterinarian/veterinary surgeon/vet
獸醫學	兽医学	shòu yī xué	veterinary medicine/veterinary science
生技醫藥	生技医药	shēng jì yī yào	biopharmaceutical/drug produced by biotechnology
生物醫學工程	生物医学工程	shēng wù yī xué gōng chéng	biomedical engineering
留醫	留医	liú yī	to be hospitalized
病急亂投醫	病急乱投医	bìng jí luàn tóu yī	lit. to turn to any doctor one can find when critically ill (idiom); fig. to try anyone or anything in a crisis
眼科醫生	眼科医生	yǎn kē yī shēng	ophthalmologist
矯形醫生	矫形医生	jiǎo xíng yī shēng	orthopedic doctor
精神病醫院	精神病医院	jīng shén bìng yī yuàn	psychiatric hospital
精神科醫生	精神科医生	jīng shén kē yī shēng	psychiatrist
緊急醫療	紧急医疗	jǐn jí yī liáo	emergency medical care
脊椎指壓治療醫生	脊椎指压治疗医生	jǐ zhuī zhǐ yā zhì liáo yī shēng	chiropractor
脊骨神經醫學	脊骨神经医学	jǐ gǔ shén jīng yī xué	chiropractic
腫瘤病醫生	肿瘤病医生	zhǒng liú bìng yī shēng	oncologist (medicine)
良醫	良医	liáng yī	good doctor/skilled doctor
行醫	行医	xíng yī	to practice medicine (esp. in private practice)
補充醫療	补充医疗	bǔ chōng yī liáo	complementary medicine
西醫	西医	xī yī	Western medicine/a doctor trained in Western medicine
見習醫師	见习医师	jiàn xí yī shī	medical intern
見習醫生	见习医生	jiàn xí yī shēng	medical intern
諱疾忌醫	讳疾忌医	huì jí jì yī	hiding a sickness for fear of treatment (idiom); fig. concealing a fault to avoid criticism/to keep one's shortcomings secret/to refuse to listen to advice
貴陽醫學院	贵阳医学院	Guì yáng Yī Xué yuàn	Guiyang Medical University
赤腳醫生	赤脚医生	chì jiǎo yī shēng	barefoot doctor/farmer with paramedical training (PRC)
軍醫	军医	jūn yī	military doctor
軍醫院	军医院	jūn yī yuàn	military hospital
輔助醫療	辅助医疗	fǔ zhù yī liáo	complementary medicine
送醫	送医	sòng yī	to send or deliver to the hospital
遵醫囑	遵医嘱	zūn yī zhǔ	to follow the doctor's advice/as instructed by the physician
鄉村醫生	乡村医生	xiāng cūn yī shēng	village doctor (Chinese health care system)
鄉醫	乡医	xiāng yī	abbr. of 鄉村醫生|乡村医生[xiāng cūn yī shēng]
上海第二醫科大學	上海第二医科大学	Shàng hǎi Dì èr Yī kē Dà xué	Shanghai Second Medical University
醫之好治不病以為功	医之好治不病以为功	yī zhī hào zhì bù bìng yǐ wéi gōng	doctors like to treat those who are not sick so that they can get credit for the patient's "recovery" (idiom)
醫保	医保	yī bǎo	medical insurance/abbr. for 醫療保險|医疗保险[yī liáo bǎo xiǎn]
醫務	医务	yī wù	medical affairs
醫務人員	医务人员	yī wù rén yuán	medical personnel
醫務室	医务室	yī wù shì	infirmary/sick bay/CL:個|个[gè]
醫務所	医务所	yī wù suǒ	clinic/CL:家[jiā]
醫卜	医卜	yī bǔ	medicine and divination
醫囑	医嘱	yī zhǔ	prescription (medicine)/doctor's advice
醫大	医大	yī dà	abbr. for 醫科大學|医科大学[yī kē dà xué], university of medicine
醫學	医学	yī xué	medicine/medical science/study of medicine
醫學中心	医学中心	yī xué zhōng xīn	medical center
醫學博士	医学博士	yī xué bó shì	doctor of medicine
醫學家	医学家	yī xué jiā	medical scientist
醫學專家	医学专家	yī xué zhuān jiā	medical expert/medical specialist
醫學檢驗	医学检验	yī xué jiǎn yàn	medical laboratory technology
醫學檢驗師	医学检验师	yī xué jiǎn yàn shī	medical technologist
醫學系	医学系	yī xué xì	medical school
醫學院	医学院	yī xué yuàn	medical school
醫官	医官	yī guān	official in charge of medical affairs/respectful title for a doctor
醫家	医家	yī jiā	healer/physician/medical man/doctor (esp. of TCM)
醫密	医密	yī mì	patient confidentiality (medicine)
醫師	医师	yī shī	doctor
醫德	医德	yī dé	medical ethics
醫患	医患	yī huàn	doctor-patient
醫托	医托	yī tuō	hospital scalper/sb who for a profit entices others to obtain medical care
醫改	医改	yī gǎi	reform of the medical system
醫書	医书	yī shū	medical book
醫案	医案	yī àn	case history (TCM)/case record
醫治	医治	yī zhì	to treat (an illness)/medical treatment
醫理	医理	yī lǐ	medical knowledge/principles of medical science
醫生	医生	yī shēng	doctor/CL:個|个[gè],位[wèi],名[míng]
醫療	医疗	yī liáo	medical treatment
醫療保健	医疗保健	yī liáo bǎo jiàn	health care
醫療保險	医疗保险	yī liáo bǎo xiǎn	medical insurance
醫療器械	医疗器械	yī liáo qì xiè	medical equipment
醫療疏失	医疗疏失	yī liáo shū shī	medical negligence/medical malpractice
醫療經驗	医疗经验	yī liáo jīng yàn	medical expertise
醫療護理	医疗护理	yī liáo hù lǐ	health care
醫療費	医疗费	yī liáo fèi	medical expenses
醫科	医科	yī kē	medicine (as a science)/medical science
醫科大學	医科大学	yī kē dà xué	university of medicine
醫科學校	医科学校	yī kē xué xiào	medical school
醫美	医美	yī měi	aesthetic medicine (Tw)
醫藥	医药	yī yào	medical care and medicines/medicine (drug)/medical/pharmaceutical
醫藥分離	医药分离	yī yào fēn lí	separating medical consultation from dispensing drugs, proposed policy to counteract perceived PRC problem of "drugs serving to nourish doctors" 以藥養醫|以药养医[yǐ yào yǎng yī]
醫藥商店	医药商店	yī yào shāng diàn	chemist/druggist/pharmacy
醫藥學	医药学	yī yào xué	medical science
醫術	医术	yī shù	medical expertise/art of healing
醫護	医护	yī hù	doctors and nurses/medic/medical (personnel)
醫護人員	医护人员	yī hù rén yuán	medical personnel/doctors and nurses
醫道	医道	Yī dào	Hur Jun (TV series)
醫道	医道	yī dào	art of healing/medical skill
醫院	医院	yī yuàn	hospital/CL:所[suǒ],家[jiā],座[zuò]
醫鬧	医闹	yī nào	(neologism c. 2013) organized disruption of healthcare facilities or verbal and physical abuse of medical staff, by an aggrieved patient or proxies such as family members or hired thugs, typically aimed at obtaining compensation
頭痛醫頭	头痛医头	tóu tòng yī tóu	to treat the symptoms/reactive (rather than proactive)
頭痛醫頭，腳痛醫腳	头痛医头，脚痛医脚	tóu tòng yī tóu , jiǎo tòng yī jiǎo	to treat the symptoms rather than getting to the root of the problem (proverb)/reactive (rather than proactive)
