軍	军	jūn	army/military/arms/CL:個|个[gè]
站軍姿	站军姿	zhàn jūn zī	to stand at attention (military)
童子軍	童子军	Tóng zǐ jūn	Scout (youth organization)
童子軍	童子军	tóng zǐ jūn	child soldiers/juvenile militia
童軍	童军	Tóng jūn	Scout (youth organization)/see also 童子軍|童子军[Tóng zǐ jūn]
篡軍	篡军	cuàn jūn	to usurp the military
紅巾軍	红巾军	hóng jīn jūn	the Red Turbans, peasant rebellion at the end of the Yuan dynasty
紅色孃子軍	红色娘子军	hóng sè niáng zi jūn	Red Detachment of Women
紅軍	红军	Hóng jūn	Red Army (1928-1937), predecessor of the PLA/(Soviet) Red Army (1917-1946)
網絡水軍	网络水军	Wǎng luò shuǐ jūn	"Internet Navy"/paid Internet posters/astroturfers
美國軍人	美国军人	Měi guó jūn rén	American serviceman/US soldier
美軍	美军	Měi jūn	US army/US armed forces
義勇軍	义勇军	yì yǒng jūn	volunteer army
義勇軍進行曲	义勇军进行曲	Yì yǒng jūn Jìn xíng qǔ	March of the Volunteer Army (PRC National Anthem)
義軍	义军	yì jūn	volunteer army
聯合軍演	联合军演	lián hé jūn yǎn	joint military exercise
聯軍	联军	lián jūn	allied armies
英軍	英军	Yīng jūn	British army
行軍	行军	xíng jūn	a march (army)/to march
行軍床	行军床	xíng jūn chuáng	camp bed/bivouac
行軍禮	行军礼	xíng jūn lǐ	military salute
行軍路線	行军路线	xíng jūn lù xiàn	army itinerary/route of march
裁減軍備	裁减军备	cái jiǎn jūn bèi	arms reduction
裁軍	裁军	cái jūn	disarmament
解放軍	解放军	Jiě fàng jūn	People's Liberation Army (PRC armed forces)
護國軍	护国军	Hù guó jūn	National Protection Army of 1915 (in rebellion against Yuan Shikai 袁世凱|袁世凯[Yuán Shì kǎi])
賀軍翔	贺军翔	Hè Jūn xiáng	Mike He (1983-), Taiwanese actor
赤衛軍	赤卫军	Chì wèi jūn	Red Guards
趙軍	赵军	Zhào jūn	army of Zhao 趙國|赵国 during the Warring States
三軍	三军	sān jūn	(in former times) upper, middle and lower army/army of right, center and left/(in modern times) the three armed services: Army, Navy and Air Force
軍事	军事	jūn shì	military affairs/military matters/military
軍事力量	军事力量	jūn shì lì liang	military strength/military force(s)
軍事化	军事化	jūn shì huà	militarization
軍事基地	军事基地	jūn shì jī dì	military base
軍事威脅	军事威胁	jūn shì wēi xié	military threat
軍事學	军事学	jūn shì xué	military science
軍事家	军事家	jūn shì jiā	military expert/general
軍事實力	军事实力	jūn shì shí lì	military strength/military power
軍事情報	军事情报	jūn shì qíng bào	military intelligence
軍事援助	军事援助	jūn shì yuán zhù	military aid
軍事政變	军事政变	jūn shì zhèng biàn	military coup
軍事核大國	军事核大国	jūn shì hé dà guó	military nuclear power
軍事機構	军事机构	jūn shì jī gòu	military institution
軍事法庭	军事法庭	jūn shì fǎ tíng	court-martial/military tribunal
軍事演習	军事演习	jūn shì yǎn xí	military exercise/war game
軍事科學	军事科学	jūn shì kē xué	military science
軍事行動	军事行动	jūn shì xíng dòng	military operation
軍事訓練	军事训练	jūn shì xùn liàn	military exercise/army drill
軍事設施	军事设施	jūn shì shè shī	military installations
軍事部門	军事部门	jūn shì bù mén	military branch
軍事體育	军事体育	jūn shì tǐ yù	military sports/military fitness (curriculum etc)/abbr. to 軍體|军体
軍人	军人	jūn rén	serviceman/soldier/military personnel
軍令如山	军令如山	jūn lìng rú shān	military orders are like mountains (idiom)/a military order must be obeyed
軍令狀	军令状	jūn lìng zhuàng	military order
軍備	军备	jūn bèi	(military) arms/armaments
軍備競賽	军备竞赛	jūn bèi jìng sài	arms race/armament(s) race
軍公教	军公教	jūn gōng jiào	army, civil service and education/all branches of state employment
軍刀	军刀	jūn dāo	military knife/saber
軍分區	军分区	jūn fēn qū	military subdistricts
軍力	军力	jūn lì	military power
軍功章	军功章	jūn gōng zhāng	military medal
軍務	军务	jūn wù	military affairs
軍勢	军势	jūn shì	army strength/military prowess or potential
軍區	军区	jūn qū	geographical area of command/(PLA) military district
軍售	军售	jūn shòu	arms sales
軍國主義	军国主义	jūn guó zhǔ yì	militarism
軍團	军团	jūn tuán	corps/legion
軍團桿菌	军团杆菌	jūn tuán gǎn jūn	legionella bacteria
軍團菌	军团菌	jūn tuán jūn	legionella (bacterium causing legionnaires' disease)
軍團菌病	军团菌病	jūn tuán jūn bìng	legionnaires' disease
軍士	军士	jūn shì	soldier/noncommssioned officer (NCO)
軍妓	军妓	jūn jì	military prostitute
軍委	军委	jūn wěi	Military Commission of the Communist Party Central Committee
軍委會	军委会	jūn wěi huì	Military Commission of the Communist Party Central Committee/same as 軍委|军委
軍嫂	军嫂	jūn sǎo	serviceman's wife/wives of military personnel
軍官	军官	jūn guān	officer (military)
軍師	军师	jūn shī	(old) military counselor/(coll.) trusted adviser
軍情	军情	jūn qíng	military situation/military intelligence
軍情五處	军情五处	Jūn qíng Wǔ chù	MI5 (British military counterintelligence office)
軍情六處	军情六处	Jūn qíng Liù chù	MI6 (British military intelligence agency)
軍政	军政	jūn zhèng	army and government
軍政府	军政府	jūn zhèng fǔ	military government
軍方	军方	jūn fāng	military
軍旅	军旅	jūn lǚ	army
軍曹魚	军曹鱼	jūn cáo yú	cobia or black kingfish (Rachycentron canadum)
軍校	军校	jūn xiào	military school/military academy
軍棋	军棋	jūn qí	land battle chess, Chinese board game similar to Stratego
軍樂隊	军乐队	jūn yuè duì	brass band
軍機	军机	jūn jī	military aircraft/secret plan/Privy Council during the Qing dynasty
軍機處	军机处	jūn jī chù	Office of Military and Political Affairs (Qing Dynasty)
軍民	军民	jūn mín	army-civilian/military-masses/military-civilian
軍法	军法	jūn fǎ	martial law
軍港	军港	jūn gǎng	naval port/naval base
軍演	军演	jūn yǎn	military exercises
軍火	军火	jūn huǒ	weapons and ammunition/munitions/arms
軍火交易	军火交易	jūn huǒ jiāo yì	arms deal
軍火公司	军火公司	jūn huǒ gōng sī	arms company
軍火庫	军火库	jūn huǒ kù	arsenal
軍營	军营	jūn yíng	barracks/army camp
軍用	军用	jūn yòng	(for) military use/military application
軍糧	军粮	jūn liáng	army provisions
軍綠	军绿	jūn lǜ	army green
軍艦	军舰	jūn jiàn	warship/military naval vessel/CL:艘[sōu]
軍號	军号	jūn hào	bugle
軍裝	军装	jūn zhuāng	military uniform
軍訓	军训	jūn xùn	military practice, esp. for reservists or new recruits/military training as a (sometimes compulsory) subject in schools and colleges/drill
軍費	军费	jūn fèi	military expenditure
軍費開支	军费开支	jūn fèi kāi zhī	military spending
軍車	军车	jūn chē	military vehicle
軍醫	军医	jūn yī	military doctor
軍醫院	军医院	jūn yī yuàn	military hospital
軍銜	军衔	jūn xián	army rank/military rank
軍閥	军阀	jūn fá	military clique/junta/warlord
軍閥混戰	军阀混战	jūn fá hùn zhàn	incessant fighting between warlords
軍陣	军阵	jūn zhèn	battle formation
軍隊	军队	jūn duì	army/troops/CL:支[zhī],個|个[gè]
軍需	军需	jūn xū	military supplies
軍需官	军需官	jūn xū guān	quartermaster
軍餉	军饷	jūn xiǎng	funds and provisions for the troops/(soldier's) pay
軍體	军体	jūn tǐ	military sports/military fitness (curriculum etc)/abbr. for 軍事體育|军事体育
軍齡	军龄	jūn líng	length of military service
退伍軍人	退伍军人	tuì wǔ jūn rén	veteran
退伍軍人節	退伍军人节	Tuì wǔ Jūn rén jié	Veterans' Day
進軍	进军	jìn jūn	to march/to advance
遠征軍	远征军	yuǎn zhēng jūn	expeditionary force/army on a distant expedition
邁赫迪軍	迈赫迪军	Mài hè dí jūn	Mahdi army, Iraqi Shia armed militia led by Moqtada Sadr
邊防軍	边防军	biān fáng jūn	border guard/frontier army
野戰軍	野战军	yě zhàn jūn	field army
鐵將軍把門	铁将军把门	tiě jiāng jūn bǎ mén	lit. General Iron is guarding the door (idiom)/fig. the door is padlocked — nobody inside
鐵軍	铁军	tiě jūn	invincible army
關東軍	关东军	Guān dōng jūn	Japanese Kwantung army (or Kantō army), notorious for numerous atrocities in China during WWII
陸海空三軍	陆海空三军	lù hǎi kōng sān jūn	army, navy, air force
陸海空軍	陆海空军	lù hǎi kōng jūn	army, navy and air force
陸軍	陆军	lù jūn	army/ground forces
陸軍上校	陆军上校	lù jūn shàng xiào	colonel
陸軍中尉	陆军中尉	lù jūn zhōng wèi	lieutenant
陸軍棋	陆军棋	lù jūn qí	see 軍棋|军棋[jūn qí]
隔軍事分界線	隔军事分界线	gé jūn shì fēn jiè xiàn	military demarcation line MDL/refers to Korean demilitarized zone DMZ
集團軍	集团军	jí tuán jūn	army grouping/collective army
非軍事區	非军事区	fēi jūn shì qū	Demilitarized Zone DMZ
預備役軍人	预备役军人	yù bèi yì jūn rén	reserve troops
領軍	领军	lǐng jūn	to lead troups/(fig.) to lead/leading
飛將軍	飞将军	Fēi jiāng jūn	nickname of Han dynasty general Li Guang 李廣|李广[Lǐ Guǎng]
馬家軍	马家军	Mǎ jiā jūn	the Ma clique of warlords in Gansu and Ningxia during the 1930s and 1940s
馬尾軍港	马尾军港	Mǎ wěi jūn gǎng	Mawei naval base at Fuzhou city (in Qing times)
駐軍	驻军	zhù jūn	to station or garrison troops/garrison
高級軍官	高级军官	gāo jí jūn guān	senior military officers/top brass
鳴金收軍	鸣金收军	míng jīn shōu jūn	to beat the gong to recall troops (idiom); to order a retreat
黃埔軍校	黄埔军校	Huáng pǔ Jūn xiào	Whampoa Military Academy
黃巾軍	黄巾军	Huáng jīn jūn	the army of Yellow Turbans, a peasant uprising at the end of later Han (from 184)
黑旗軍	黑旗军	Hēi Qí Jūn	Black Flag Army
點軍	点军	Diǎn jūn	Dianjun district of Yichang city 宜昌市[Yí chāng shì], Hubei
點軍區	点军区	Diǎn jūn qū	Dianjun district of Yichang city 宜昌市[Yí chāng shì], Hubei
