貧	贫	pín	poor/inadequate/deficient/garrulous
貧寒	贫寒	pín hán	poor/poverty-stricken/impoverished
貧弱	贫弱	pín ruò	poor and feeble
貧民	贫民	pín mín	poor people
貧民區	贫民区	pín mín qū	slum area/ghetto
貧民窟	贫民窟	pín mín kū	slum housing
貧氣	贫气	pín qì	mean/stingy/garrulous
貧油	贫油	pín yóu	poor in oil
貧油國	贫油国	pín yóu guó	country poor in oil
貧液	贫液	pín yè	waste liquid/liquid with precipitate skimmed off
貧無立錐	贫无立锥	pín wú lì zhuī	not even enough land to stand an awl (idiom); absolutely destitute
貧無立錐之地	贫无立锥之地	pín wú lì zhuī zhī dì	not even enough land to stand an awl (idiom); absolutely destitute
貧病交加	贫病交加	pín bìng jiāo jiā	poverty compounded by ill health (idiom)
貧病交迫	贫病交迫	pín bìng jiāo pò	beset by poverty and illness (idiom)
貧瘠	贫瘠	pín jí	barren/infertile/poor
貧相	贫相	pín xiàng	mean/stingy
貧礦	贫矿	pín kuàng	low grade ore
貧窮	贫穷	pín qióng	poor/impoverished
貧窮潦倒	贫穷潦倒	pín qióng liáo dǎo	poverty stricken
貧腔	贫腔	pín qiāng	verbose/garrulous
貧苦	贫苦	pín kǔ	poverty-stricken/poor
貧血	贫血	pín xuè	anemia
貧血性壞死	贫血性坏死	pín xuè xìng huài sǐ	anemic necrosis
貧血症	贫血症	pín xuè zhèng	anemia
貧賤	贫贱	pín jiàn	poor and lowly
貧賤不能移	贫贱不能移	pín jiàn bù néng yí	not shaken by poverty/to preserve one's ambitions although destitute
貧農	贫农	pín nóng	poor peasant
貧道	贫道	pín dào	poor Taoist
貧鈾	贫铀	pín yóu	depleted uranium (D-38)
貧雇農	贫雇农	pín gù nóng	poor peasants (in Marxism)
赤貧	赤贫	chì pín	poverty-stricken
赤貧如洗	赤贫如洗	chì pín rú xǐ	without two nickels to rub together (idiom)/impoverished
鐮刀細胞貧血	镰刀细胞贫血	lián dāo xì bāo pín xuè	sickle cell anemia
鐮形血球貧血症	镰形血球贫血症	lián xíng xuè qiú pín xuè zhèng	sickle-cell anaemia/sickle-cell disease
障礙性貧血	障碍性贫血	zhàng ài xìng pín xuè	aplastic anemia (med.)
