貨	货	huò	goods/money/commodity/CL:個|个[gè]
貨幣供應量	货币供应量	huò bì gōng yìng liàng	money supply
貨幣兌換	货币兑换	huò bì duì huàn	currency exchange
貨幣危機	货币危机	huò bì wēi jī	monetary crisis
貨幣市場	货币市场	huò bì shì chǎng	money market
貨幣貶值	货币贬值	huò bì biǎn zhí	currency devaluation/to devaluate a currency
貨攤	货摊	huò tān	vendor's stall
貨架	货架	huò jià	shelf for goods/shop shelf
貨梯	货梯	huò tī	freight elevator/goods lift
貨棚	货棚	huò péng	covered stall/shed
貨棧	货栈	huò zhàn	warehouse
貨機	货机	huò jī	cargo plane
貨櫃	货柜	huò guì	counter for the display of goods/(Tw) container (for freight transport)
貨櫃車	货柜车	huò guì chē	(Tw) container truck
貨款	货款	huò kuǎn	payment for goods
貨比三家	货比三家	huò bǐ sān jiā	to comparison shop (idiom)/comparison shopping
貨比三家不吃虧	货比三家不吃亏	huò bǐ sān jiā bù chī kuī	shop around first and you won't get ripped off (idiom)
貨源	货源	huò yuán	supply of goods
貨物	货物	huò wù	goods/commodity/merchandise/CL:宗[zōng]
貨物運輸	货物运输	huò wù yùn shū	freight or cargo transportation
貨盤	货盘	huò pán	pallet
貨真價實	货真价实	huò zhēn jià shí	genuine goods at fair prices/(fig.) genuine/real/true
貨站	货站	huò zhàn	cargo terminal
貨船	货船	huò chuán	cargo ship/freighter
貨艙	货舱	huò cāng	cargo hold/cargo bay (of a plane)
貨色	货色	huò sè	goods/(derog.) stuff/trash
貨車	货车	huò chē	truck/van/freight wagon
貨載	货载	huò zài	cargo
貨輪	货轮	huò lún	freighter/cargo ship/CL:艘[sōu]
貨運	货运	huò yùn	freight transport/cargo/transported goods
貨運列車	货运列车	huò yùn liè chē	goods train/freight train
貨運卡車	货运卡车	huò yùn kǎ chē	freight truck
貿易貨棧	贸易货栈	mào yì huò zhàn	commercial warehouse
賤貨	贱货	jiàn huò	bitch/slut
購貨	购货	gòu huò	purchase of goods
走私貨	走私货	zǒu sī huò	smuggled goods
躥貨	蹿货	cuān huò	product in great demand/hot property
載貨	载货	zài huò	freight/load
載貨汽車	载货汽车	zài huò qì chē	truck
辦年貨	办年货	bàn nián huò	to shop in preparation for Chinese New Year
辦貨	办货	bàn huò	to purchase goods (for a company etc)
退換貨	退换货	tuì huàn huò	to return a product for another item
退貨	退货	tuì huò	to return merchandise/to withdraw a product
送貨	送货	sòng huò	to deliver goods
送貨到家	送货到家	sòng huò dào jiā	home delivery
通貨	通货	tōng huò	currency/exchange of goods
通貨緊縮	通货紧缩	tōng huò jǐn suō	deflation
通貨膨脹	通货膨胀	tōng huò péng zhàng	inflation
進貨	进货	jìn huò	to acquire stock/to replenish stock
運貨員	运货员	yùn huò yuán	porter
運貨馬車	运货马车	yùn huò mǎ chē	cargo wagon
配貨	配货	pèi huò	to put together an order of goods
醃貨	腌货	yān huò	pickles
銷貨帳	销货帐	xiāo huò zhàng	sales ledger (accountancy)
陳貨	陈货	chén huò	shop-worn goods/remnants
雜貨	杂货	zá huò	groceries/miscellaneous goods
雜貨商	杂货商	zá huò shāng	grocer
雜貨店	杂货店	zá huò diàn	grocery store/emporium
雜貨攤	杂货摊	zá huò tān	stall selling various goods
電子貨幣	电子货币	diàn zǐ huò bì	electronic money
騷貨	骚货	sāo huò	loose woman/slut
驗貨	验货	yàn huò	inspection of goods
鮮活貨物	鲜活货物	xiān huó huò wù	live cargo
鮮貨	鲜货	xiān huò	produce/fresh fruits and vegetables/fresh aquatic food/fresh herbs
點貨	点货	diǎn huò	to do an inventory count
