問	问	wèn	to ask
疑難問題	疑难问题	yí nán wèn tí	knotty problem/intractable difficulty
發問	发问	fā wèn	to question/to ask/to raise a question
盤問	盘问	pán wèn	to interrogate/to cross-examine/to inquire
盤根問底	盘根问底	pán gēn wèn dǐ	lit. to examine roots and inquire at the base (idiom); to get to the bottom of sth
窮在鬧市無人問，富在深山有遠親	穷在闹市无人问，富在深山有远亲	qióng zài nào shì wú rén wèn , fù zài shēn shān yǒu yuǎn qīn	the poor are ignored in the busiest city; the rich will find relatives in the deepest mountain
答問	答问	dá wèn	to answer a question/question and answer
答非所問	答非所问	dá fēi suǒ wèn	(idiom) to sidestep the question/to answer evasively
策問	策问	cè wèn	essay on policy in question and answer form used in imperial exams
經濟問題	经济问题	jīng jì wèn tí	economic problem
總法律顧問	总法律顾问	zǒng fǎ lǜ gù wèn	general counsel
置之不問	置之不问	zhì zhī bù wèn	to pass by without showing interest (idiom)
耕當問奴	耕当问奴	gēng dāng wèn nú	if it's plowing, ask the laborer (idiom); when managing a matter, consult the appropriate specialist
耕當問奴，織當訪婢	耕当问奴，织当访婢	gēng dāng wèn nú , zhī dāng fǎng bì	if it's plowing ask the laborer, if it's weaving ask the maid (idiom); when managing a matter, consult the appropriate specialist
聘問	聘问	pìn wèn	international exchange of visits/to visit as envoy/to visit as family representative for purpose of marriage arrangement (traditional culture)
臨問	临问	lín wèn	to go personally to consult subordinates (of a high official)
自問	自问	zì wèn	to ask oneself/to search one's soul/to reach a conclusion after weighing a matter
興師問罪	兴师问罪	xīng shī wèn zuì	to send punitive forces against/(fig.) to criticize violently
葉問	叶问	Yè Wèn	Yip Man (1893-1972), martial arts practitioner, master of Bruce Lee
訊問	讯问	xùn wèn	to interrogate/to ask about
訪問	访问	fǎng wèn	to visit/to call on/to interview/CL:次[cì]
訪問方式	访问方式	fǎng wèn fāng shì	access method
訪問者	访问者	fǎng wèn zhě	interviewer
訪問量	访问量	fǎng wèn liàng	(web counter) hits
訪親問友	访亲问友	fǎng qīn wèn yǒu	to visit friends and relations (idiom)
訪貧問苦	访贫问苦	fǎng pín wèn kǔ	to visit the poor and ask about their suffering (idiom)
詢問	询问	xún wèn	to inquire
詢問台	询问台	xún wèn tái	information desk
詢根問底	询根问底	xún gēn wèn dǐ	lit. to examine roots and inquire at the base (idiom); to get to the bottom of sth
試問	试问	shì wèn	I would like to ask (usually used rhetorically)/one might well ask
詰問	诘问	jié wèn	to ask questions/to interrogate
請問	请问	qǐng wèn	Excuse me, may I ask...?
貨問三家不吃虧	货问三家不吃亏	huò wèn sān jiā bù chī kuī	see 貨比三家不吃虧|货比三家不吃亏[huò bǐ sān jiā bù chī kuī]
質問	质问	zhì wèn	to question/to ask questions/to inquire/to bring to account/to interrogate
載酒問字	载酒问字	zài jiǔ wèn zì	a scholarly and inquisitive individual (idiom)
追問	追问	zhuī wèn	to question closely/to investigate in detail/to examine minutely/to get to the heart of the matter
追根問底	追根问底	zhuī gēn wèn dǐ	lit. to examine roots and inquire at the base (idiom); to get to the bottom of sth
通問	通问	tōng wèn	to mutually send greetings/to communicate/to exchange news
造成問題	造成问题	zào chéng wèn tí	to create an issue/to cause a problem
逼問	逼问	bī wèn	to question intensely/to interrogate/to demand information
過問	过问	guò wèn	to show an interest in/to get involved with
顧問	顾问	gù wèn	adviser/consultant
