織	织	zhī	to weave/to knit
東突組織	东突组织	Dōng Tū Zǔ zhī	abbr. for 東突厥斯坦解放組織|东突厥斯坦解放组织[Dōng Tū jué sī tǎn Jiě fàng Zǔ zhī], East Turkestan Liberation Organization (ETLO)
染織	染织	rǎn zhī	dyeing and weaving
標準組織	标准组织	biāo zhǔn zǔ zhī	standards organization/standards body
橘皮組織	橘皮组织	jú pí zǔ zhī	cellulite
歐安組織	欧安组织	Ōu Ān Zǔ zhī	Organization for Security and Cooperation in Europe (OSCE), abbr. for 歐洲安全與合作組織|欧洲安全与合作组织[Ōu zhōu Ān quán yǔ Hé zuò Zǔ zhī]
歐洲刑警組織	欧洲刑警组织	Ōu zhōu Xíng jǐng Zǔ zhī	Europol (European Police Office)
歐洲安全和合作組織	欧洲安全和合作组织	Ōu zhōu Ān quán hé Hé zuò Zǔ zhī	Organization for Security and Cooperation in Europe (OSCE)
歐洲安全與合作組織	欧洲安全与合作组织	Ōu zhōu Ān quán yǔ Hé zuò Zǔ zhī	Organization for Security and Cooperation in Europe (OSCE)
毛織物	毛织物	máo zhī wù	woolen textiles
毛織運動衫	毛织运动衫	máo zhī yùn dòng shān	jersey
民間組織	民间组织	mín jiān zǔ zhī	association/organization/humanitarian organization/NGO
泰米爾伊拉姆猛虎解放組織	泰米尔伊拉姆猛虎解放组织	Tài mǐ ěr Yī lā mǔ Měng hǔ Jiě fàng Zǔ zhī	Liberation Tigers of Tamil Eelam
泰米爾猛虎組織	泰米尔猛虎组织	Tài mǐ ěr Měng hǔ Zǔ zhī	Tamil Tigers
活組織檢查	活组织检查	huó zǔ zhī jiǎn chá	biopsy
活體組織檢查	活体组织检查	huó tǐ zǔ zhī jiǎn chá	biopsy/abbr. to 活檢|活检[huó jiǎn]
牛郎織女	牛郎织女	niú láng zhī nǚ	Cowherd and Weaving maid (characters in folk story)/separated lovers/Altair and Vega (stars)
監織造	监织造	jiān zhī zào	supervisor of textiles (official post in Ming dynasty)
目無組織	目无组织	mù wú zǔ zhī	to pay no heed to the regulations
石油輸出國組織	石油输出国组织	Shí yóu Shū chū guó Zǔ zhī	Organization of Petroleum Exporting Countries (OPEC)
米粒組織	米粒组织	mǐ lì zǔ zhī	granulation
紋胸織雀	纹胸织雀	wén xiōng zhī què	(bird species of China) streaked weaver (Ploceus manyar)
紝織	纴织	rèn zhī	to weave
紡織	纺织	fǎng zhī	spinning and weaving
紡織品	纺织品	fǎng zhī pǐn	textile/fabrics
紡織孃	纺织娘	fǎng zhī niáng	katydid/long-horned grasshopper
紡織工業	纺织工业	fǎng zhī gōng yè	textile industry
紡織廠	纺织厂	fǎng zhī chǎng	textile factory/cotton mill
紡織物	纺织物	fǎng zhī wù	textile material
紡織者	纺织者	fǎng zhī zhě	weaver
組織	组织	zǔ zhī	to organize/organization/(biology) tissue/(textiles) weave/CL:個|个[gè]
組織委員會	组织委员会	zǔ zhī wěi yuán huì	organizing committee/abbr. to 組委|组委
組織學	组织学	zǔ zhī xué	histology
組織法	组织法	zǔ zhī fǎ	organic law
組織漿黴菌病	组织浆霉菌病	zǔ zhī jiāng méi jūn bìng	histoplasmosis
組織者	组织者	zǔ zhī zhě	organizer
組織胞漿菌病	组织胞浆菌病	zǔ zhī bāo jiāng jūn bìng	histoplasmosis
組織胺	组织胺	zǔ zhī àn	histamine
結締組織	结缔组织	jié dì zǔ zhī	connective tissue
絲綢織物	丝绸织物	sī chóu zhī wù	silk fabric
絲織品	丝织品	sī zhī pǐn	item made from woven silk or rayon
絲織物	丝织物	sī zhī wù	woven silk fabric
經合組織	经合组织	Jīng Hé Zǔ zhī	Organization for Economic Cooperation and Development, OECD/abbr. for 經濟合作與發展組織|经济合作与发展组织
經濟合作與發展組織	经济合作与发展组织	Jīng jì Hé zuò yǔ Fā zhǎn Zǔ zhī	Organization for Economic Cooperation and Development (OECD)/abbr. to 經合組織|经合组织
緊密織物	紧密织物	jǐn mì zhī wù	closely woven fabric
緞紋織	缎纹织	duàn wén zhī	satin weave
緞織	缎织	duàn zhī	satin weave
編織	编织	biān zhī	to weave/to knit/to plait/to braid/(fig.) to create (sth abstract, e.g. a dream, a lie etc)
編織品	编织品	biān zhī pǐn	woven fabric
上合組織	上合组织	Shàng Hé Zǔ zhī	Shanghai Cooperation Organisation (SCO)
織品	织品	zhī pǐn	textile
織女	织女	Zhī nǚ	Vega (star)/Weaving girl of folk tales
織女星	织女星	Zhī nǚ xīng	Vega, brightest star in constellation Lyra 天琴星座
織布	织布	zhī bù	woven cloth/to weave cloth
織布機	织布机	zhī bù jī	loom
織機	织机	zhī jī	loom
織物	织物	zhī wù	cloth/woven material/textiles
織田信長	织田信长	Zhī tián Xìn cháng	ODA Nobunaga (1534-1582), Japanese shogun (warlord), played an important role in unifying Japan
織當訪婢	织当访婢	zhī dāng fǎng bì	if it's weaving, ask the maid (idiom); when managing a matter, consult the appropriate specialist
織紝	织纴	zhī rèn	spinning and weaving
織花	织花	zhī huā	woven pattern
織補	织补	zhī bǔ	darning/to darn
織造	织造	zhī zào	to weave/to manufacture by weaving
織金	织金	Zhī jīn	Zhijin county in Bijie prefecture 畢節地區|毕节地区[Bì jié dì qū], Guizhou
織金縣	织金县	Zhī jīn xiàn	Zhijin county in Bijie prefecture 畢節地區|毕节地区[Bì jié dì qū], Guizhou
織金錦	织金锦	zhī jīn jǐn	gilt brocade
織錦	织锦	zhī jǐn	brocade/silk fabric with colored pattern
羅織	罗织	luó zhī	to frame sb/to cook up imaginary charges against sb
美洲國家組織	美洲国家组织	Měi zhōu Guó jiā Zǔ zhī	Organization of American States
群眾組織	群众组织	qún zhòng zǔ zhī	communal organization
耕當問奴，織當訪婢	耕当问奴，织当访婢	gēng dāng wèn nú , zhī dāng fǎng bì	if it's plowing ask the laborer, if it's weaving ask the maid (idiom); when managing a matter, consult the appropriate specialist
聯合國教科文組織	联合国教科文组织	Lián hé guó Jiào Kē Wén Zǔ zhī	UNESCO, United Nations Educational, Scientific and Cultural Organization
聯合國糧農組織	联合国粮农组织	Lián hé guó Liáng nóng Zǔ zhī	Food and Agriculture Organization of the United Nations (FAO)
聯合組織	联合组织	lián hé zǔ zhī	syndicate
肌肉組織	肌肉组织	jī ròu zǔ zhī	muscle tissue
脈管組織	脉管组织	mài guǎn zǔ zhī	vascular tissue
自律性組織	自律性组织	zì lǜ xìng zǔ zhī	Self-Regulation Organization/SRO
莢膜組織胞漿菌	荚膜组织胞浆菌	jiá mó zǔ zhī bāo jiāng jūn	Histoplasma capsulatum
補助組織	补助组织	bǔ zhù zǔ zhī	auxiliary organizations
貿易組織	贸易组织	mào yì zǔ zhī	trade organization
軟組織	软组织	ruǎn zǔ zhī	soft tissue
遊人如織	游人如织	yóu rén rú zhī	crowded with visitors/packed with tourists
針織	针织	zhēn zhī	knitting/knitted garment
針織品	针织品	zhēn zhī pǐn	knitwear
集體安全條約組織	集体安全条约组织	Jí tǐ Ān quán Tiáo yuē Zǔ zhī	Collective Security Treaty Organization (CSTO)
非政府組織	非政府组织	fēi zhèng fǔ zǔ zhī	non-governmental organization (NGO)
非洲統一組織	非洲统一组织	Fēi zhōu Tǒng yī Zǔ zhī	Organization of African Unity
非營利組織	非营利组织	fēi yíng lì zǔ zhī	nonprofit organization
非盈利的組織	非盈利的组织	fēi yíng lì de zǔ zhī	nonprofit organization
非盈利組織	非盈利组织	fēi yíng lì zǔ zhī	nonprofit organization
非贏利組織	非赢利组织	fēi yíng lì zǔ zhī	not-for-profit organization
黃胸織雀	黄胸织雀	huáng xiōng zhī què	(bird species of China) baya weaver (Ploceus philippinus)
