齒	齿	chǐ	tooth/CL:顆|颗[kē]
抗鋸齒	抗锯齿	kàng jù chǐ	anti-aliasing
掛齒	挂齿	guà chǐ	to mention (e.g. "don't mention it")
明眸皓齒	明眸皓齿	míng móu hào chǐ	to have bright eyes and white teeth
智慧齒	智慧齿	zhì huì chǐ	wisdom tooth
智齒	智齿	zhì chǐ	wisdom tooth
木齒耙	木齿耙	mù chǐ pá	a rake (with wooden teeth)
槽齒目	槽齿目	cáo chǐ mù	Thecodontia (obsolete taxonomic grouping of reptiles)
槽齒類	槽齿类	cáo chǐ lèi	thecodont (type of reptile that existed in the Permian and Triassic Periods)
沒齒不忘	没齿不忘	mò chǐ bù wàng	lit. will not be forgotten even after one's teeth fall out/to remember as long as one lives/unforgettable (idiom)
沒齒難忘	没齿难忘	mò chǐ nán wàng	hard to forget even after one's teeth fall out (idiom); to remember a benefactor as long as one lives/undying gratitude
消除鋸齒	消除锯齿	xiāo chú jù chǐ	anti-alias (computer graphics)
無齒翼龍	无齿翼龙	Wú chǐ yì lóng	Pteranodon (genus of pterosaur)
牙齒	牙齿	yá chǐ	tooth/dental/CL:顆|颗[kē]
牙齒矯正器	牙齿矫正器	yá chǐ jiǎo zhèng qì	orthodontic braces
犬齒	犬齿	quǎn chǐ	canine tooth
發脫口齒	发脱口齿	fā tuō kǒu chǐ	diction/enunciation
皓齒	皓齿	hào chǐ	white teeth (symbol of youth and beauty)
皓齒明眸	皓齿明眸	hào chǐ míng móu	white teeth and bright eyes (idiom); lovely young woman
皓齒硃唇	皓齿朱唇	hào chǐ zhū chún	white teeth and vermilion lips (idiom); lovely young woman
磨齒	磨齿	mó chǐ	molar tooth
羞於啟齒	羞于启齿	xiū yú qǐ chǐ	to be too shy to speak one's mind (idiom)
義齒	义齿	yì chǐ	artificial tooth
臼齒	臼齿	jiù chǐ	molar tooth
蛾眉皓齒	蛾眉皓齿	é méi hào chǐ	beautiful eyebrow and white teeth (idiom); lovely young woman
貝齒	贝齿	bèi chǐ	pearly white teeth/cowry
輪齒	轮齿	lún chǐ	tooth of cog wheel/gear tooth
鋸齒	锯齿	jù chǐ	sawtooth
鋸齒形	锯齿形	jù chǐ xíng	sawtooth shape/zigzag
錐齒輪	锥齿轮	zhuī chǐ lún	pinion gear
鐵齒	铁齿	tiě chǐ	(Tw) obstinate/argumentative/opinionated/skeptical of superstitions/(Taiwanese, Tai-lo pr. [thih-khí])
鐵齒銅牙	铁齿铜牙	tiě chǐ tóng yá	clever and eloquent speaker (idiom)
門齒	门齿	mén chǐ	incisor
難以啟齒	难以启齿	nán yǐ qǐ chǐ	to be too embarrassed to mention sth (idiom)/to find it hard to speak about sth
露齒	露齿	lù chǐ	to grin/also pr. [lòu chǐ]
露齒而笑	露齿而笑	lù chǐ ér xiào	to grin
馬齒徒增	马齿徒增	mǎ chǐ tú zēng	(self-deprecating) to have grown old without accomplishing anything (idiom)
馬齒莧	马齿苋	mǎ chǐ xiàn	Portulaca oleracea (common purslane)
鬥口齒	斗口齿	dòu kǒu chǐ	to quarrel/to bicker/glib repartee
上口齒	上口齿	shàng kǒu chǐ	supraoral tooth
齒冠	齿冠	chǐ guān	crown of tooth
齒冷	齿冷	chǐ lěng	to sneer
齒列矯正	齿列矫正	chǐ liè jiǎo zhèng	orthodontic treatment/orthodontics
齒列矯正器	齿列矫正器	chǐ liè jiǎo zhèng qì	see 牙齒矯正器|牙齿矫正器[yá chǐ jiǎo zhèng qì]
齒及	齿及	chǐ jí	to mention/referring to
齒唇音	齿唇音	chǐ chún yīn	see 唇齒音|唇齿音[chún chǐ yīn]
齒孔	齿孔	chǐ kǒng	perforations (on a postage stamp)
齒嵴	齿嵴	chǐ jǐ	alveolar ridge
齒更	齿更	chǐ gēng	dental transition (from milk teeth to adult teeth)
齒根	齿根	chǐ gēn	root of tooth
齒條	齿条	chǐ tiáo	rack (and pinion)
齒條千斤頂	齿条千斤顶	chǐ tiáo qiān jīn dǐng	rack and pinion jack
齒條齒輪	齿条齿轮	chǐ tiáo chǐ lún	rack and pinion
齒蠹	齿蠹	chǐ dù	tooth decay
齒輪	齿轮	chǐ lún	(machine) gear/pinion (gear wheel)
齒輪傳動	齿轮传动	chǐ lún chuán dòng	gear drive
齒輪箱	齿轮箱	chǐ lún xiāng	gearbox
齒音	齿音	chǐ yīn	dental consonant
齒頰生香	齿颊生香	chǐ jiá shēng xiāng	lit. to feel the taste in one's mouth (idiom)/fig. to water at the mouth/to drool in anticipation
齒顎矯正學	齿颚矫正学	chǐ è jiǎo zhèng xué	orthodontics
齒鯨	齿鲸	chǐ jīng	toothed whales/Odontoceti
齒齦	齿龈	chǐ yín	gum/gingiva
齒齦炎	齿龈炎	chǐ yín yán	gingivitis
齒齦音	齿龈音	chǐ yín yīn	alveolar, apical, or supradental sound (linguistics)
齒齲	齿龋	chǐ qǔ	tooth decay/caries
齲齒	龋齿	qǔ chǐ	tooth decay/dental caries/cavity
齲齒性	龋齿性	qǔ chǐ xìng	caries-inducing
