現	现	xiàn	to appear/present/now/existing/current
現眼	现眼	xiàn yǎn	to embarrass oneself/to make a fool of oneself
現磨	现磨	xiàn mó	freshly ground
現行	现行	xiàn xíng	to be in effect/in force/current
現行犯	现行犯	xiàn xíng fàn	criminal caught red-handed
現象	现象	xiàn xiàng	phenomenon/CL:個|个[gè],種|种[zhǒng]/appearance
現象學	现象学	xiàn xiàng xué	phenomenology
現貨	现货	xiàn huò	merchandise or commodities available immediately after sale/merchandise in stock/available item/actuals (investment)/actual commodities
現貨價	现货价	xiàn huò jià	price of actuals
現身	现身	xiàn shēn	to show oneself/to appear/(of a deity) to appear in the flesh
現身說法	现身说法	xiàn shēn shuō fǎ	to talk from one's personal experience/to use oneself as an example
現量相違	现量相违	xiàn liàng xiāng wéi	to not fit one's perception of sth (idiom)
現金	现金	xiàn jīn	cash
現金周轉	现金周转	xiàn jīn zhōu zhuǎn	cash flow
現金基礎	现金基础	xiàn jīn jī chǔ	cash basis (accounting)
現金流	现金流	xiàn jīn liú	cash flow
現金流轉	现金流转	xiàn jīn liú zhuǎn	cash flow
現金流轉表	现金流转表	xiàn jīn liú zhuǎn biǎo	cash flow statement
現金流量	现金流量	xiàn jīn liú liàng	cash flow
現金流量表	现金流量表	xiàn jīn liú liàng biǎo	cash flow statement
現錢	现钱	xiàn qián	cash
現階段	现阶段	xiàn jiē duàn	at the present stage
發現	发现	fā xiàn	to find/to discover
發現物	发现物	fā xiàn wù	finding
發現號	发现号	Fā xiàn Hào	Space Shuttle Discovery
直到現在	直到现在	zhí dào xiàn zài	even now/until now/right up to the present
示現	示现	shì xiàn	(of a deity) to take a material shape/to appear
神氣活現	神气活现	shén qì huó xiàn	arrogant appearance/smug appearance/to act condescending/to put on airs
科學技術現代化	科学技术现代化	kē xué jì shù xiàn dài huà	modernization of science and technology, one of Deng Xiaoping's Four Modernizations
第五個現代化	第五个现代化	dì wǔ gè xiàn dài huà	fifth modernization, i.e. democracy, cf Deng Xiaoping's Four Modernizations 鄧小平|邓小平, 四個現代化|四个现代化
約當現金	约当现金	yuē dāng xiàn jīn	cash equivalent (accountancy)
自我實現	自我实现	zì wǒ shí xiàn	self-actualization (psychology)/self-realization
自然現象	自然现象	zì rán xiàn xiàng	natural phenomenon
舊景重現	旧景重现	jiù jǐng chóng xiàn	evocation of the past
若隱若現	若隐若现	ruò yǐn ruò xiàn	faintly discernible (idiom)
虛擬現實	虚拟现实	xū nǐ xiàn shí	virtual reality
虛擬現實置標語言	虚拟现实置标语言	xū nǐ xiàn shí zhì biāo yǔ yán	virtual reality markup language (VRML) (computing)
表現	表现	biǎo xiàn	to show/to show off/to display/to manifest/expression/manifestation/show/display/performance (at work etc)/behavior
表現力	表现力	biǎo xiàn lì	expressive power
表現型	表现型	biǎo xiàn xíng	phenotype
貼現	贴现	tiē xiàn	discount/rebate
貼現率	贴现率	tiē xiàn lǜ	discount rate
超現實主義	超现实主义	chāo xiàn shí zhǔ yì	surrealism
農業現代化	农业现代化	nóng yè xiàn dài huà	modernization of agriculture, one of Deng Xiaoping's Four Modernizations
近現代史	近现代史	jìn xiàn dài shǐ	modern history and contemporary history
追尋現代中國	追寻现代中国	zhuī xún xiàn dài Zhōng guó	In search of Modern China by Jonathan D Spence 史景遷|史景迁
遲滯現象	迟滞现象	chí zhì xiàn xiàng	hysteresis
重現	重现	chóng xiàn	to reappear
重現江湖	重现江湖	chóng xiàn jiāng hú	see 重出江湖 [chóng chū jiāng hú]
閃現	闪现	shǎn xiàn	to flash
隱現	隐现	yǐn xiàn	glimpse (of something hidden)
難以實現	难以实现	nán yǐ shí xiàn	hard to accomplish/difficult to achieve
顯現	显现	xiǎn xiàn	appearance/to appear
驚現	惊现	jīng xiàn	to appear unexpectedly
體現	体现	tǐ xiàn	to embody/to reflect/to incarnate
