護	护	hù	to protect
遮護板	遮护板	zhē hù bǎn	shield/protective board
都護	都护	dū hù	(old) highest administrative post in border areas/governor of a march
醫療護理	医疗护理	yī liáo hù lǐ	health care
醫護	医护	yī hù	doctors and nurses/medic/medical (personnel)
醫護人員	医护人员	yī hù rén yuán	medical personnel/doctors and nurses
重病特護	重病特护	zhòng bìng tè hù	intensive care
重病特護區	重病特护区	zhòng bìng tè hù qū	intensive care department (of hospital)
重症監護	重症监护	zhòng zhèng jiān hù	intensive care
防護	防护	fáng hù	to defend/to protect
防護眼鏡	防护眼镜	fáng hù yǎn jìng	safety goggles
陪護	陪护	péi hù	to attend to the needs of (an invalid, disabled person etc)/caregiver
集體防護	集体防护	jí tǐ fáng hù	collective protection
養護	养护	yǎng hù	to maintain/to conserve/curing (concrete etc)
