五	五	wǔ	five/5
五四	五四	wǔ sì	fourth of May, cf 五四運動|五四运动, national renewal movement that started with 4th May 1919 protest against the Treaty of Versailles
五四愛國運動	五四爱国运动	wǔ sì ài guó yùn dòng	May Fourth Movement/Chinese national renewal movement that started with 4th May 1919 protest against the Treaty of Versailles
五四運動	五四运动	Wǔ sì Yùn dòng	May Fourth Movement/Chinese national renewal movement that started with 4th May 1919 protest against the Treaty of Versailles
五大名山	五大名山	Wǔ dà Míng shān	Five Sacred Mountains of the Daoists, namely: Mt Tai 泰山[Tài Shān] in Shandong, Mt Hua 華山|华山[Huà Shān] in Shaanxi, Mt Heng 衡山[Héng Shān] in Hunan, Mt Heng 恆山|恒山[Héng Shān] in Shanxi, Mt Song 嵩山[Sōng Shān] in Henan
五大洲	五大洲	wǔ dà zhōu	five continents/the whole world
五大湖	五大湖	Wǔ dà hú	Great Lakes/the five north American Great Lakes
五大連池	五大连池	Wǔ dà lián chí	Wudalianchi county level city in Heihe 黑河[Hēi hé], Heilongjiang
五大連池市	五大连池市	Wǔ dà lián chí shì	Wudalianchi county level city in Heihe 黑河[Hēi hé], Heilongjiang
五子棋	五子棋	wǔ zǐ qí	five-in-a-row (game similar to tic-tac-toe)/Japanese: gomoku/gobang
五官	五官	wǔ guān	five sense organs of TCM (nose, eyes, lips, tongue, ears 鼻目口舌耳)/facial features
五官端正	五官端正	wǔ guān duān zhèng	to have regular features
五家渠	五家渠	Wǔ jiā qú	Wujyachü shehiri (Wujiaqu city) or Wǔjiāqú subprefecture level city in Ili Kazakh autonomous prefecture in north Xinjiang
五家渠市	五家渠市	Wǔ jiā qú shì	Wujyachü shehiri (Wujiaqu city) or Wǔjiāqú subprefecture level city in Ili Kazakh autonomous prefecture in north Xinjiang
五寨	五寨	Wǔ zhài	Wuzhai county in Xinzhou 忻州[Xīn zhōu], Shanxi
五寨縣	五寨县	Wǔ zhài xiàn	Wuzhai county in Xinzhou 忻州[Xīn zhōu], Shanxi
五峰	五峰	Wǔ fēng	abbr. for 五峰土家族自治縣|五峰土家族自治县[Wǔ fēng Tǔ jiā zú Zì zhì xiàn], Wufeng Tujia Autonomous County in Hubei/Wufeng township in Hsinchu County 新竹縣|新竹县[Xīn zhú Xiàn], northwest Taiwan
五峰土家族自治縣	五峰土家族自治县	Wǔ fēng Tǔ jiā zú Zì zhì xiàn	Wufeng Tujia Autonomous County in Hubei
五峰縣	五峰县	Wǔ fēng Xiàn	abbr. for 五峰土家族自治縣|五峰土家族自治县[Wǔ fēng Tǔ jiā zú Zì zhì xiàn], Wufeng Tujia Autonomous County in Hubei
五峰鄉	五峰乡	Wǔ fēng xiāng	Wufeng township in Hsinchu County 新竹縣|新竹县[Xīn zhú Xiàn], northwest Taiwan
五嶺	五岭	wǔ lǐng	the five ranges separating Hunan and Jiangxi from south China, esp. Guangdong and Guangxi, namely: Dayu 大庾嶺|大庾岭[Dà yǔ lǐng], Dupang 都龐嶺|都庞岭[Dū páng lǐng], Qitian 騎田嶺|骑田岭[Qí tián lǐng], Mengzhu 萌渚嶺|萌渚岭[Méng zhǔ lǐng] and Yuecheng 越城嶺|越城岭[Yuè chéng lǐng]
五嶽	五岳	Wǔ yuè	Five Sacred Mountains of the Daoists, namely: Mt Tai 泰山[Tài Shān] in Shandong, Mt Hua 華山|华山[Huà Shān] in Shaanxi, Mt Heng 衡山[Héng Shān] in Hunan, Mt Heng 恆山|恒山[Héng Shān] in Shanxi, Mt Song 嵩山[Sōng Shān] in Henan
五帝	五帝	wǔ dì	Five Emperors from legendary times/possibly tribal leaders before the historiographers got working on them/usually taken to be the Yellow Emperor 黃帝|黄帝[Huáng dì] and four of his sons Zhuan Xu 顓頊|颛顼[Zhuān Xū], Di Ku 帝嚳|帝喾[Dì Kù], Tang Yao 唐堯|唐尧[Táng Yáo], Yu Shun 虞舜[Yú Shùn]
五常	五常	Wǔ cháng	Wuchang county level city in Harbin 哈爾濱|哈尔滨, Heilongjiang
五常	五常	wǔ cháng	five constant virtues of Confucianism, namely: benevolence 仁, righteousness 義|义, propriety 禮|礼, wisdom 智 and fidelity 信/five cardinal relationships of Confucianism (between ruler and subject, father and son, husband and wife, brothers, friends)/five phases of Chinese philosophy: water 水, fire 火, wood 木, metal 金, earth 土
五常市	五常市	Wǔ cháng shì	Wuchang county level city in Harbin 哈爾濱|哈尔滨, Heilongjiang
五年計劃	五年计划	wǔ nián jì huà	Five-Year Plan
五度	五度	wǔ dù	five degrees/fifth (basic musical interval, doh to soh)
五形	五形	wǔ xíng	Wuxing - "Five Animals" - Martial Art
五彩	五彩	wǔ cǎi	five (main) colors (white, black, red, yellow, and blue)/multicolored
五彩繽紛	五彩缤纷	wǔ cǎi bīn fēn	all the colors in profusion (idiom); a garish display
五彩賓紛	五彩宾纷	wǔ cǎi bīn fēn	colorful
五打一	五打一	wǔ dǎ yī	to masturbate (slang)
五指山	五指山	Wǔ zhǐ shān	Wuzhi or Mount Five Finger, Hainan/Wuzhishan City, Hainan
五指山市	五指山市	Wǔ zhǐ shān shì	Wuzhishan City, Hainan
五斗櫃	五斗柜	wǔ dǒu guì	chest of drawers
五斗米道	五斗米道	Wǔ dǒu mǐ Dào	Way of the Five Pecks of Rice (Taoist movement)/Way of the Celestial Master
五方	五方	wǔ fāng	the five regions: the east, south, west, north and center/all parts/China and the lands beyond its frontiers
五旬節	五旬节	wǔ xún jié	Pentecost
五星	五星	wǔ xīng	the five visible planets, namely: Mercury 水星, Venus 金星, Mars 火星, Jupiter 木星, Saturn 土星
五星紅旗	五星红旗	wǔ xīng hóng qí	five-starred red flag (PRC national flag)
五星級	五星级	wǔ xīng jí	five-star (hotel)
五更	五更	wǔ gēng	fifth of the five night watch periods 03:00-05:00 (old)
五月	五月	Wǔ yuè	May/fifth month (of the lunar year)
五月份	五月份	wǔ yuè fèn	May
五月節	五月节	Wǔ yuè jié	Dragon Boat Festival (the 5th day of the 5th lunar month)
五權憲法	五权宪法	wǔ quán xiàn fǎ	Sun Yat-sen's Five-power constitution of Republic of China, then of Taiwan/The five courts or 院[yuàn] are 行政院[xíng zhèng yuàn] Executive yuan, 立法院[lì fǎ yuàn] Legislative yuan, 司法院[sī fǎ yuàn] Judicial yuan, 考試院|考试院[kǎo shì yuàn] Examination yuan, 監察院|监察院[jiān chá yuàn] Control yuan
五步蛇	五步蛇	wǔ bù shé	Deinagkistrodon, a venomous pit viper/also called five-paced viper (i.e. can grow to five paces)
五毛	五毛	wǔ máo	fifty cents (0.5 RMB)/(fig.) paltry sum of money/(abbr. for 五毛黨|五毛党[wǔ máo dǎng]) hired Internet commenter
五毛特效	五毛特效	wǔ máo tè xiào	laughable low-budget special effects
五毛黨	五毛党	wǔ máo dǎng	fifty cents party (person supposed to relay government propaganda on Internet sites)
五氧化二釩	五氧化二钒	wǔ yǎng huà èr fán	Vanadium pentoxide V2O5/vanadic anhydride
五河	五河	Wǔ hé	Wuhe county in Bengbu 蚌埠[Bèng bù], Anhui/Punjab, province of Pakistan
五河縣	五河县	Wǔ hé xiàn	Wuhe county in Bengbu 蚌埠[Bèng bù], Anhui
五洲	五洲	wǔ zhōu	five continents/the world
五涼	五凉	Wǔ Liáng	the five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼|前凉 (314-376), Later Liang 後涼|后凉 (386-403), Northern Liang 北涼|北凉 (398-439), Southern Liang 南涼 (397-414), Western Liang 西涼|西凉 (400-421)
五湖四海	五湖四海	wǔ hú sì hǎi	all parts of the country
五濁	五浊	wǔ zhuó	the five impurities (Buddhism)
五燈會元	五灯会元	Wǔ dēng Huì yuán	Song Dynasty History of Zen Buddhism in China (1252), 20 scrolls
五營	五营	Wǔ yíng	Wuying district of Yichun city 伊春市[Yī chūn shì], Heilongjiang
五營區	五营区	Wǔ yíng qū	Wuying district of Yichun city 伊春市[Yī chūn shì], Heilongjiang
五環	五环	wǔ huán	five rings/pentacyclic (chemistry)
五環會徽	五环会徽	wǔ huán huì huī	Olympic rings
五瘟	五瘟	wǔ wēn	five chief demons of folklore personifying pestilence
五瘟神	五瘟神	wǔ wēn shén	five chief demons of folklore personifying pestilence/cf four horsemen of the apocalypse
五癆七傷	五痨七伤	wǔ láo qī shāng	variant of 五勞七傷|五劳七伤[wǔ láo qī shāng]
五百年前是一家	五百年前是一家	wǔ bǎi nián qián shì yī jiā	five hundred years ago we were the same family (idiom) (said of persons with the same surname)
五短身材	五短身材	wǔ duǎn shēn cái	(of a person) short in stature
五碳糖	五碳糖	wǔ tàn táng	pentose (CH2O)5, monosaccharide with five carbon atoms, such as ribose 核糖[hé táng]
五祖拳	五祖拳	wǔ zǔ quán	Wuzuquan - "Five Ancestors" - Martial Art
五福臨門	五福临门	wǔ fú lín mén	lit. (may the) five blessings descend upon this home (namely: longevity, wealth, health, virtue, and a natural death)/(an auspicious saying for the Lunar New Year)
五稜鏡	五棱镜	wǔ léng jìng	pentaprism
五穀	五谷	wǔ gǔ	five crops, e.g. millet 粟[sù], soybean 豆[dòu], sesame 麻[má], barley 麥|麦[mài], rice 稻[dào] or other variants/all crops/all grains/oats, peas, beans and barley
五穀豐登	五谷丰登	wǔ gǔ fēng dēng	abundant harvest of all food crops/bumper grain harvest
五筆	五笔	wǔ bǐ	abbr. of 五筆字型|五笔字型, five stroke input method for Chinese characters by numbered strokes, invented by Wang Yongmin 王永民 in 1983
五筆字型	五笔字型	wǔ bǐ zì xíng	five stroke input method for Chinese characters by numbered strokes, invented by Wang Yongmin 王永民 in 1983
五筆字形	五笔字形	wǔ bǐ zì xíng	Chinese character input method for entering characters by numbered strokes/variant of 五筆字型|五笔字型[wǔ bǐ zì xíng]
五筆編碼	五笔编码	wǔ bǐ biān mǎ	five-stroke code, Chinese character input method
五筆輸入法	五笔输入法	wǔ bǐ shū rù fǎ	five stroke input method for Chinese characters by numbered strokes, invented by Wang Yongmin 王永民 in 1983
五等爵位	五等爵位	wǔ děng jué wèi	five orders of feudal nobility, namely: Duke 公[gōng], Marquis 侯[hóu], Count 伯[bó], Viscount 子[zǐ], Baron 男[nán]
五糧液	五粮液	Wǔ liáng yè	Wuliangye liquor/Five Grain liquor
五級士官	五级士官	wǔ jí shì guān	master sergeant
五結	五结	Wǔ jié	Wujie or Wuchieh township in Yilan county 宜蘭縣|宜兰县[Yí lán xiàn], Taiwan
五結鄉	五结乡	Wǔ jié xiāng	Wujie or Wuchieh township in Yilan county 宜蘭縣|宜兰县[Yí lán xiàn], Taiwan
五經	五经	Wǔ jīng	the Five Classics of Confucianism, namely: the Book of Songs 詩經|诗经[Shī jīng], the Book of History 書經|书经[Shū jīng], the Classic of Rites 禮記|礼记[Lǐ jì], the Book of Changes 易經|易经[Yì jīng], and the Spring and Autumn Annals 春秋[Chūn qiū]
五線譜	五线谱	wǔ xiàn pǔ	(music) staff/stave
五聲音階	五声音阶	wǔ shēng yīn jiē	pentatonic scale
五股	五股	Wǔ gǔ	Wugu township in New Taipei City 新北市[Xīn běi shì], Taiwan
五股鄉	五股乡	Wǔ gǔ xiāng	Wugu township in New Taipei City 新北市[Xīn běi shì], Taiwan
五胡	五胡	Wǔ hú	Five non-Han people, namely: Huns or Xiongnu 匈奴[Xiōng nú], Xianbei 鮮卑|鲜卑[Xiān bēi], Jie 羯[Jié], Di 氐[Dī], Qiang 羌[Qiāng], esp. in connection with the Sixteen Kingdoms 304-439 五胡十六國|五胡十六国[Wǔ hú Shí liù guó]
五胡十六國	五胡十六国	Wǔ hú Shí liù guó	Sixteen Kingdoms of Five non-Han people (ruling most of China 304-439)
五臟	五脏	wǔ zàng	five viscera of TCM, namely: heart 心[xīn], liver 肝[gān], spleen 脾[pí], lungs 肺[fèi] and kidneys 腎|肾[shèn]
五臟六腑	五脏六腑	wǔ zàng liù fǔ	five viscera and six bowels (TCM)
五臺	五台	Wǔ tái	Wutai city and county in Xinzhou 忻州[Xīn zhōu], Shanxi
五臺山	五台山	Wǔ tái Shān	Mt Wutai in Shanxi 山西[Shān xī], one of the Four Sacred Mountains and home of the Bodhimanda of Manjushri 文殊[Wén shū]
五臺市	五台市	Wǔ tái shì	Wutai city in Shanxi
五臺縣	五台县	Wǔ tái xiàn	Wutai county in Xinzhou 忻州[Xīn zhōu], Shanxi
五色	五色	wǔ sè	multi-colored/the rainbow/garish
五色繽紛	五色缤纷	wǔ sè bīn fēn	all the colors in profusion (idiom); a garish display
五花八門	五花八门	wǔ huā bā mén	myriad/all kinds of/all sorts of
五花大綁	五花大绑	wǔ huā dà bǎng	to bind a person's upper body, with arms tied behind the back and rope looped around the neck/to truss up
五花肉	五花肉	wǔ huā ròu	pork belly/streaky pork
五花醃豬肉	五花腌猪肉	wǔ huā yān zhū ròu	streaky bacon
五苓散	五苓散	wǔ líng sǎn	wuling powder (decoction of poria mushroom used in TCM)/poria five powder/Hoelen five powder/five ling powder
五華	五华	Wǔ huá	Wuhua county in Meizhou 梅州, Guangdong/Wuhua district of Kunming city 昆明市[Kūn míng shì], Yunnan
五華區	五华区	Wǔ huá qū	Wuhua district of Kunming city 昆明市[Kūn míng shì], Yunnan
五華縣	五华县	Wǔ huá xiàn	Wuhua county in Meizhou 梅州, Guangdong
五葷	五荤	wǔ hūn	(Buddhism etc) the five forbidden pungent vegetables: leek, scallion, garlic, rape and coriander
五蓮	五莲	Wǔ lián	Wulian county in Rizhao 日照[Rì zhào], Shandong
五蓮縣	五莲县	Wǔ lián xiàn	Wulian county in Rizhao 日照[Rì zhào], Shandong
五蘊	五蕴	wǔ yùn	the Five Aggregates (from Sanskrit "skandha") (Buddhism)
五虎將	五虎将	Wǔ hǔ jiàng	Liu Bei's five great generals in Romance of the Three Kingdoms, namely: Guan Yu 關羽|关羽, Zhang Fei 張飛|张飞, Zhao Yun 趙雲|赵云, Ma Chao 馬超|马超, Huang Zhong 黃忠|黄忠
五號	五号	wǔ hào	the fifth/fifth day of a month
五號電池	五号电池	wǔ hào diàn chí	AA battery (PRC)/Taiwan equivalent: 三號電池|三号电池
五行	五行	wǔ xíng	five phases of Chinese philosophy: wood 木, fire 火, earth 土, metal 金, water 水
五行八作	五行八作	wǔ háng bā zuō	all the trades/people of all trades and professions
五角	五角	wǔ jiǎo	pentagon
五角場	五角场	Wǔ jiǎo chǎng	Wujiaochang neighborhood of Shanghai, adjacent to Fudan University
五角大樓	五角大楼	Wǔ jiǎo Dà lóu	the Pentagon
五角形	五角形	wǔ jiǎo xíng	pentagon
五角星	五角星	wǔ jiǎo xīng	pentagram
五言絕句	五言绝句	wǔ yán jué jù	poetic form consisting of four lines of five syllables, with rhymes on first, second and fourth line
五講四美三熱愛	五讲四美三热爱	wǔ jiǎng sì měi sān rè ài	the five emphases, four beauties and three loves (PRC policy introduced in 1981, including emphasis on manners, beauty of language and love of socialism)
五辛	五辛	wǔ xīn	see 五葷|五荤[wǔ hūn]
五通	五通	wǔ tōng	bottom bracket shell (in a bicycle frame)/(Buddhism) the five supernatural powers (abbr. for 五神通)
五通橋	五通桥	Wǔ tōng qiáo	Wutongqiao district of Leshan city 樂山市|乐山市[Lè shān shì], Sichuan
五通橋區	五通桥区	Wǔ tōng qiáo qū	Wutongqiao district of Leshan city 樂山市|乐山市[Lè shān shì], Sichuan
五道口	五道口	Wǔ dào kǒu	Wudaokou neighborhood of Beijing
五邊形	五边形	wǔ biān xíng	pentagon
五金	五金	wǔ jīn	metal hardware (nuts and bolts)/the five metals: gold, silver, copper, iron and tin 金銀銅鐵錫|金银铜铁锡
五金店	五金店	wǔ jīn diàn	hardware store/ironmonger's store
五金店鋪	五金店铺	wǔ jīn diàn pù	hardware store
五院	五院	wǔ yuàn	the five yuan (administrative branches of government) of the Republic of China under Sun Yat-sen's constitution: 行政院[Xíng zhèng yuàn] Executive Yuan, 立法院[Lì fǎ yuàn] Legislative Yuan, 司法院[Sī fǎ yuàn] Judicial Yuan, 考試院|考试院[Kǎo shì yuàn] Examination Yuan, 監察院|监察院[Jiān chá yuàn] Control Yuan
五霸	五霸	Wǔ bà	the Five Hegemons of the Spring and Autumn Period 春秋[Chūn qiū]
五音	五音	wǔ yīn	five notes of pentatonic scale, roughly do, re, mi, sol, la/five classes of initial consonants of Chinese phonetics, namely: 喉音[hóu yīn], 牙音[yá yīn], 舌音[shé yīn], 齒音|齿音[chǐ yīn], 唇音[chún yīn]
五音不全	五音不全	wǔ yīn bù quán	tone deaf/unable to sing in tune
五音度	五音度	wǔ yīn dù	fifth (musical interval)
五項全能	五项全能	wǔ xiàng quán néng	pentathlon
五顏六色	五颜六色	wǔ yán liù sè	multi-colored/every color under the sun
五香	五香	wǔ xiāng	five spice seasoned/incorporating the five basic flavors of Chinese cooking (sweet, sour, bitter, savory, salty)
五香粉	五香粉	wǔ xiāng fěn	five spices powder
五體投地	五体投地	wǔ tǐ tóu dì	to prostrate oneself in admiration (idiom); to adulate sb
五鬼	五鬼	wǔ guǐ	five chief demons of folklore personifying pestilence/also written 五瘟神
五鬼鬧判	五鬼闹判	wǔ guǐ nào pàn	Five ghosts mock the judge, or Five ghosts resist judgment (title of folk opera, idiom); important personage mobbed by a crowd of ne'er-do-wells
亨利五世	亨利五世	Hēng lì Wǔ shì	Henry V (1387-1422), English warrior king, victor of Agincourt/History of Henry V by William Shakespeare 莎士比亞|莎士比亚[Shā shì bǐ yà]
人五人六	人五人六	rén wǔ rén liù	to make a show of being decent and proper/to display phony or hypocritical behavior
伸手不見五指	伸手不见五指	shēn shǒu bù jiàn wǔ zhǐ	pitch-dark (idiom)
八一五	八一五	bā yī wǔ	15th August/refers to Japanese surrender in WWII on 15th August 1945
六二五事變	六二五事变	liù èr wǔ shì biàn	Korean war (dating from North Korean invasion on 25th Jun 1950)
六二五戰爭	六二五战争	Liù Èr wǔ Zhàn zhēng	the Korean War (started June 25 1950)
刺五加	刺五加	cì wǔ jiā	manyprickle (Acanthopanax senticosus), root used in TCM
十五	十五	shí wǔ	fifteen/15
各打五十大板	各打五十大板	gè dǎ wǔ shí dà bǎn	lit. to give each one a flogging of fifty strokes (idiom)/fig. to punish the guilty and the innocent alike/to put the blame on both parties
吆五喝六	吆五喝六	yāo wǔ hè liù	lit. to shout out hoping for fives and sixes when gambling with dice; a hubbub of gambling
和平共處五項原則	和平共处五项原则	hé píng gòng chǔ wǔ xiàng yuán zé	Zhou Enlai's Five Principles of Peaceful Coexistence/1954 Panchsheel series of agreements between PRC and India
哈拉爾五世	哈拉尔五世	Hā lā ěr Wǔ shì	Harald V of Norway
四分五裂	四分五裂	sì fēn wǔ liè	all split up and in pieces (idiom); disunity (in an organization)/complete lack of unity/to disintegrate/falling apart/to be at sixes and sevens
四捨五入	四舍五入	sì shě wǔ rù	to round up to the nearest integer/to discard four, but treat five as whole (of decimal points)
四體不勤，五穀不分	四体不勤，五谷不分	sì tǐ bù qín , wǔ gǔ bù fēn	never move your four limbs, can't distinguish the five crops (idiom); living as a parasite
大五碼	大五码	dà wǔ mǎ	Big5 Chinese character coding (developed by Taiwanese companies from 1984)
大五趾跳鼠	大五趾跳鼠	dà wǔ zhǐ tiào shǔ	great jerboa (Allactaga major)
如墮五里霧中	如堕五里雾中	rú duò wǔ lǐ wù zhōng	as if lost in a thick fog (idiom)/in a fog/muddled/completely unfamiliar with sth
學富五車	学富五车	xué fù wǔ chē	of great erudition and scholarship (idiom)
山本五十六	山本五十六	Shān běn Wǔ shí liù	YAMAMOTO Isoroku (1884-1943), Japanese admiral
張三，李四，王五，趙六	张三，李四，王五，赵六	Zhāng sān , Lǐ sì , Wáng wǔ , Zhào liù	four proverbial names/Tom, Dick and Harry
戊五醇	戊五醇	wù wǔ chún	xylitol/also written 木糖醇[mù táng chún]
摩西五經	摩西五经	Mó xī Wǔ jīng	the Pentateuch/the five books of Moses in the Old Testament
新五代史	新五代史	Xīn Wǔ dài shǐ	Later History of the Five Dynasties (between Tang and Song), nineteenth of the 24 dynastic histories 二十四史[Èr shí sì Shǐ], compiled under Ouyang Xiu 歐陽修|欧阳修[Ōu yáng Xiū] in 1053 during Northern Song Dynasty, 74 scrolls
日月五星	日月五星	rì yuè wǔ xīng	sun, moon and the five visible planets
星期五	星期五	Xīng qī wǔ	Friday
春秋五霸	春秋五霸	Chūn qiū Wǔ bà	the Five Hegemons of the Spring and Autumn period (770-476 BC), namely: Duke Huan of Qi 齊桓公|齐桓公[Qí Huán gōng], Duke Wen of Jin 晉文公|晋文公[Jìn Wén gōng], King Zhuang of Chu 楚莊王|楚庄王[Chǔ Zhuāng wáng], and alternatively Duke Xiang of Song 宋襄公[Sòng Xiāng gōng] and Duke Mu of Qin 秦穆公[Qín Mù gōng] or King Helu of Wu 吳王闔閭|吴王阖闾[Wú wáng Hé Lǘ] and King Gou Jian of Yue 越王勾踐|越王勾践[Yuè wáng Gōu Jiàn]
王五	王五	Wáng Wǔ	Wang Wu, name for an unspecified person, third of a series of three: 張三|张三[Zhāng Sān], 李四[Lǐ Sì], 王五 Tom, Dick and Harry
王老五	王老五	wáng lǎo wǔ	lit. fifth child of the Wangs/bachelor
現代五項	现代五项	xiàn dài wǔ xiàng	modern pentathlon
畢宿五	毕宿五	bì xiù wǔ	Aldebaran or Alpha Tauri
目迷五色	目迷五色	mù mí wǔ sè	the eye is bewildered by five colors (idiom); a dazzling riot of colors
禪門五宗	禅门五宗	chán mén wǔ zōng	the five schools of Chan Buddhism (idiom)
禮拜五	礼拜五	Lǐ bài wǔ	Friday
端五	端五	Duān wǔ	variant of 端午[Duān wǔ]
第五	第五	dì wǔ	fifth
第五個現代化	第五个现代化	dì wǔ gè xiàn dài huà	fifth modernization, i.e. democracy, cf Deng Xiaoping's Four Modernizations 鄧小平|邓小平, 四個現代化|四个现代化
第五縱隊	第五纵队	dì wǔ zòng duì	fifth column (subversive group)
第五類	第五类	dì wǔ lèi	category 5/CAT 5 (cable)
紅五星旗	红五星旗	hóng wǔ xīng qí	name of the flag of the People's Republic of China
