臉	脸	liǎn	face/CL:張|张[zhāng],個|个[gè]
臉部	脸部	liǎn bù	face
臉部表情	脸部表情	liǎn bù biǎo qíng	facial expression
臉都綠了	脸都绿了	liǎn dōu lǜ le	green in the face (idiom)/to look unwell
臉面	脸面	liǎn miàn	face
臉頰	脸颊	liǎn jiá	cheek
臉龐	脸庞	liǎn páng	face
臭臉	臭脸	chòu liǎn	sour face/scowling face/CL:張|张[zhāng],副[fù]
花臉鴨	花脸鸭	huā liǎn yā	(bird species of China) Baikal teal (Anas formosa)
苦瓜臉	苦瓜脸	kǔ guā liǎn	sour expression on one's face
藍臉鰹鳥	蓝脸鲣鸟	lán liǎn jiān niǎo	(bird species of China) masked booby (Sula dactylatra)
虎起臉	虎起脸	hǔ qǐ liǎn	to take a fierce look
褐臉雀鶥	褐脸雀鹛	hè liǎn què méi	(bird species of China) brown-cheeked fulvetta (Alcippe poioicephala)
要臉	要脸	yào liǎn	to save sb's face
訕臉	讪脸	shàn liǎn	impudent
變臉	变脸	biàn liǎn	to turn hostile suddenly/face changing, a device of Sichuan Opera, a dramatic change of attitude expressing fright, anger etc
賞臉	赏脸	shǎng liǎn	(polite) do me the honor
賴臉	赖脸	lài liǎn	to be shameless
蹬鼻子上臉	蹬鼻子上脸	dēng bí zi shàng liǎn	lit. to climb all over sb/fig. to take advantage of sb's weakness
轉臉	转脸	zhuǎn liǎn	to turn one's head/in no time/in the twinkling of an eye
銀臉長尾山雀	银脸长尾山雀	yín liǎn cháng wěi shān què	(bird species of China) sooty bushtit (Aegithalos fuliginosus)
銅錘花臉	铜锤花脸	tóng chuí huā liǎn	(Chinese opera) tongchui hualian, a military character holding a bronze mace, classified as a jing 淨|净[jìng] role
鏽臉鉤嘴鶥	锈脸钩嘴鹛	xiù liǎn gōu zuǐ méi	(bird species of China) rusty-cheeked scimitar babbler (Pomatorhinus erythrogenys)
門臉	门脸	mén liǎn	shop front/facade
開臉	开脸	kāi liǎn	(of a bride-to-be) to remove facial hair and trim hairline (old)/to carve a face
露臉	露脸	lòu liǎn	to show one's face/to make one's good name/to become successful and well known/to shine
靦臉	腼脸	tiǎn liǎn	shameless/brazen
頭臉	头脸	tóu liǎn	head and face
頭臉兒	头脸儿	tóu liǎn r5	erhua variant of 頭臉|头脸[tóu liǎn]
鬼臉	鬼脸	guǐ liǎn	wry face/to grimace/to pull a face/comic face/face mask/devil mask
麻臉	麻脸	má liǎn	pockmarked face
黃臉	黄脸	huáng liǎn	yellow face (due to sickness etc)/yellow-skinned people
黃臉婆	黄脸婆	huáng liǎn pó	faded old woman
黑臉噪鶥	黑脸噪鹛	hēi liǎn zào méi	(bird species of China) masked laughingthrush (Garrulax perspicillatus)
黑臉琵鷺	黑脸琵鹭	hēi liǎn pí lù	(bird species of China) black-faced spoonbill (Platalea minor)
黑臉鶲鶯	黑脸鹟莺	hēi liǎn wēng yīng	(bird species of China) black-faced warbler (Abroscopus schisticeps)
鼻青臉腫	鼻青脸肿	bí qīng liǎn zhǒng	a bloody nose and a swollen face/badly battered
