鍋	锅	guō	pot/pan/boiler/CL:口[kǒu],隻|只[zhī]
回鍋肉	回锅肉	huí guō ròu	twice-cooked pork
壓力鍋	压力锅	yā lì guō	pressure cooker
大鍋	大锅	dà guō	a big wok/cauldron
大鍋飯	大锅饭	dà guō fàn	meal cooked in a large pot/communal meal/(fig.) system that rewards everyone equally regardless of merit
奶酪火鍋	奶酪火锅	nǎi lào huǒ guō	fondue
平底鍋	平底锅	píng dǐ guō	frying pan
平鍋	平锅	píng guō	pan
快鍋	快锅	kuài guō	pressure cooker (Tw)
打破砂鍋問到底	打破砂锅问到底	dǎ pò shā guō wèn dào dǐ	to go to the bottom of things (idiom)
汽鍋	汽锅	qì guō	steamer (for cooking)
沙鍋	沙锅	shā guō	variant of 砂鍋|砂锅[shā guō]
油鍋	油锅	yóu guō	a deep fryer
涮涮鍋	涮涮锅	shuàn shuàn guō	shabu-shabu (loanword)/Japanese hot pot
涮火鍋	涮火锅	shuàn huǒ guō	see 涮鍋子|涮锅子[shuàn guō zi]
涮鍋子	涮锅子	shuàn guō zi	hot pot/a dish where thinly sliced meat and vegetables are boiled briefly in a broth and then served with dipping sauces
漏鍋	漏锅	lòu guō	colander/strainer/sieve/leaky pot
濾鍋	滤锅	lǜ guō	colander
火鍋	火锅	huǒ guō	hotpot
炒鍋	炒锅	chǎo guō	wok/frying pan
煎鍋	煎锅	jiān guō	frying pan
煮鍋	煮锅	zhǔ guō	cooking pot
熱鍋上的螞蟻	热锅上的蚂蚁	rè guō shang de mǎ yǐ	(like) a cat on a hot tin roof/anxious/agitated
燃煤鍋爐	燃煤锅炉	rán méi guō lú	coal burning boiler
燉鍋	炖锅	dùn guō	stew pot/stew pan/saucepan
燒鍋	烧锅	shāo guō	a still (for distilling alcohol)
燜燒鍋	焖烧锅	mèn shāo guō	to casserole/to stew/vacuum flask/cooker
甩鍋	甩锅	shuǎi guō	(Internet slang) to shift the blame/to pass the buck
石頭火鍋	石头火锅	shí tou huǒ guō	claypot (used in cooking)
砂鍋	砂锅	shā guō	casserole/earthenware pot
砸鍋	砸锅	zá guō	to fail
砸鍋賣鐵	砸锅卖铁	zá guō mài tiě	to be willing to sacrifice everything one has (idiom)
紙火鍋	纸火锅	zhǐ huǒ guō	paper hot pot (hot pot using a single-use pot made of Japanese washi paper with a special coating to prevent burning and leaking, used for cooking at the dining table)
羅鍋	罗锅	luó guō	humpbacked (e.g. a bridge)/in the form of an arch/a hunchback
羅鍋兒	罗锅儿	luó guō r5	erhua variant of 羅鍋|罗锅[luó guō]
羅鍋兒橋	罗锅儿桥	luó guō r5 qiáo	a humpback bridge
肉爛在鍋裡	肉烂在锅里	ròu làn zài guō lǐ	lit. the meat falls apart as it stews, but it all stays in the pot (idiom)/fig. some of us may lose or gain, but in any case the benefits don't go to outsiders
背鍋	背锅	bēi guō	(slang) (neologism derived from 背黑鍋|背黑锅[bēi hēi guō]) to carry the can/to be a scapegoat
背黑鍋	背黑锅	bēi hēi guō	to be made a scapegoat/to be unjustly blamed
臭臭鍋	臭臭锅	chòu chòu guō	hot pot containing stinky tofu and other ingredients (Taiwanese dish)
蒸鍋	蒸锅	zhēng guō	steamer
蓋火鍋	盖火锅	gài huǒ guō	to block a shot (basketball)
連鍋端	连锅端	lián guō duān	to take even the cooking pots (idiom)/to clean out/to wipe out
錮漏鍋	锢漏锅	gù lòu guō	tinker/artisan who fixes leaky pots
一品鍋	一品锅	yī pǐn guō	dish containing a variety of meats and vegetables arranged in a broth in a clay pot/chafing dish
鍋台	锅台	guō tái	top of a kitchen range
鍋墊	锅垫	guō diàn	trivet/pot-holder
鍋子	锅子	guō zi	see 鍋|锅[guō]/see 涮鍋子|涮锅子[shuàn guō zi]/bowl (of a smoking pipe etc)
鍋巴	锅巴	guō bā	guoba (scorched rice at the bottom of the pan)
鍋灶	锅灶	guō zào	stove/cooking burner
鍋爐	锅炉	guō lú	boiler
鍋盔	锅盔	guō kuī	large round baked wheat pancake
鍋蓋	锅盖	guō gài	saucepan lid/(satellite) dish
鍋蓋頭	锅盖头	guō gài tóu	bowl cut (hairstyle)
鍋貼	锅贴	guō tiē	fried dumpling/potsticker
鍋鏟	锅铲	guō chǎn	wok spatula
鍋駝機	锅驼机	guō tuó jī	portable steam engine/locomobile
鐵鍋	铁锅	tiě guō	iron cooking pot
開鍋	开锅	kāi guō	(of a pot) to boil
電鍋	电锅	diàn guō	electric rice cooker (Tw)
電飯鍋	电饭锅	diàn fàn guō	electric rice cooker
高壓鍋	高压锅	gāo yā guō	pressure cooker
鴛鴦鍋	鸳鸯锅	yuān yang guō	"mandarin ducks" pot (hot pot with a divider, containing spicy soup on one side, mild soup on the other)
