瑪	玛	mǎ	agate/cornelian
瑪尼	玛尼	Mǎ ní	Mani (god)
瑪律	玛律	Mǎ lǜ	Malé, capital of Maldives (Tw)
瑪德琳	玛德琳	Mǎ dé lín	Madeleine (name)
瑪德琳	玛德琳	mǎ dé lín	madeleine (French cake)
瑪拉基亞	玛拉基亚	Mǎ lā jī yà	Malachi
瑪拉基書	玛拉基书	Mǎ lā jī shū	Book of Malachi
瑪拿西	玛拿西	Mǎ ná xī	Manasseh (son of Hezekiah)
瑪曲	玛曲	Mǎ qǔ	Maqu county in Gannan Tibetan autonomous prefecture 甘南藏族自治州[Gān nán Zàng zú zì zhì zhōu], Gansu
瑪曲縣	玛曲县	Mǎ qǔ xiàn	Maqu county in Gannan Tibetan autonomous prefecture 甘南藏族自治州[Gān nán Zàng zú zì zhì zhōu], Gansu
瑪格麗特	玛格丽特	Mǎ gé lì tè	Margaret (name)
瑪格麗特	玛格丽特	mǎ gé lì tè	margarita (cocktail)
瑪沁	玛沁	Mǎ qìn	Maqên or Maqin county (Tibetan: rma chen rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
瑪沁縣	玛沁县	Mǎ qìn xiàn	Maqên or Maqin county (Tibetan: rma chen rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guǒ luò zhōu], Qinghai
瑪瑙	玛瑙	mǎ nǎo	cornelian (mineral)/agate
瑪瑙貝	玛瑙贝	mǎ nǎo bèi	cowrie
瑪竇	玛窦	Mǎ dòu	Matthew/St Matthew the evangelist/less common variant of 馬太|马太[Mǎ tài] (preferred by the Catholic Church)
瑪竇福音	玛窦福音	Mǎ dòu Fú yīn	Gospel according to St Matthew
瑪納斯	玛纳斯	Mǎ nà sī	Manas, hero of Kyrghiz epic saga/Manas county and town in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
瑪納斯河	玛纳斯河	Mǎ nà sī Hé	Manas River, Xinjiang
瑪納斯縣	玛纳斯县	Mǎ nà sī xiàn	Manas county in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
瑪納斯鎮	玛纳斯镇	Mǎ nà sī zhèn	Manas town in Changji Hui autonomous prefecture 昌吉回族自治州[Chāng jí Huí zú zì zhì zhōu], Xinjiang
瑪芬	玛芬	mǎ fēn	muffin (loanword)
瑪莎拉蒂	玛莎拉蒂	Mǎ shā lā dì	Maserati
瑪迪達	玛迪达	Mǎ dí dá	Matilda (name)
瑪雅	玛雅	Mǎ yǎ	Maya (civilization)
瑪雅人	玛雅人	Mǎ yǎ rén	Maya peoples
瑪麗	玛丽	Mǎ lì	Mary or Marie (name)/Mali
瑪麗亞	玛丽亚	Mǎ lì yà	Maria (name)
瑪麗婭	玛丽娅	Mǎ lì yà	Maria (name)/St Mary
瑪麗蓮·夢露	玛丽莲·梦露	Mǎ lì lián · Mèng lòu	Marilyn Monroe (1926-1962), US actress
禧瑪諾	禧玛诺	Xǐ mǎ nuò	Shimano (brand)
穆罕默德·歐瑪	穆罕默德·欧玛	Mù hǎn mò dé · Ōu mǎ	Mullah Mohammad Omar (1959-), Taliban leader, Afghan head of state 1996-2001
紅瑪瑙	红玛瑙	hóng mǎ nǎo	cornelian
索多瑪	索多玛	Suǒ duō mǎ	Sodom
索多瑪與哈摩辣	索多玛与哈摩辣	Suǒ duō mǎ yǔ Hā mó là	Sodom and Gomorrah
綠瑪瑙	绿玛瑙	lǜ mǎ nǎo	chrysoprase (mineral)
縞瑪瑙	缟玛瑙	gǎo mǎ nǎo	onyx/white agate
纏絲瑪瑙	缠丝玛瑙	chán sī mǎ nǎo	sardonyx (gemstone of brown-white striped chalcedony)
聖母瑪利亞	圣母玛利亚	Shèng mǔ Mǎ lì yà	Mary (mother of Jesus)
艾瑪紐埃爾	艾玛纽埃尔	Ài mǎ niǔ āi ěr	Emmanuel or Emmanuelle (name)
花地瑪堂區	花地玛堂区	Huā dì mǎ táng qū	Parish of Our Lady of Fatima (Macau)/Freguesia de Nossa Senhora de Fátima
萬福瑪麗亞	万福玛丽亚	Wàn fú Mǎ lì yà	Hail Mary/Ave Maria (religion)
蘇格蘭女王瑪麗	苏格兰女王玛丽	Sū gé lán Nǚ wáng Mǎ lì	Mary, Queen of Scots (1542-87)
血腥瑪麗	血腥玛丽	Xuè xīng Mǎ lì	Bloody Mary
西格瑪	西格玛	xī gé mǎ	sigma (Greek letter Σσ)/(symbol for standard deviation in statistics)
費瑪	费玛	Fèi mǎ	Pierre de Fermat (1601-1665), French mathematician
那瑪夏	那玛夏	Nà mǎ xià	Namaxia township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
那瑪夏鄉	那玛夏乡	Nà mǎ xià xiāng	Namaxia township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
阿瑪尼	阿玛尼	Ā mǎ ní	Armani (fashion designer)
魏瑪	魏玛	Wèi mǎ	Weimar
麥納瑪	麦纳玛	Mài nà mǎ	Manama, capital of Bahrain (Tw)
