雜	杂	zá	mixed/miscellaneous/various/to mix
雜說	杂说	zá shuō	scattered essays/various opinions/different manners of speaking
雜談	杂谈	zá tán	discussion of various topics
雜谷腦	杂谷脑	Zá gǔ nǎo	Zagunao River in Sichuan, tributary of the Min River 岷江[Mín Jiāng]
雜谷腦鎮	杂谷脑镇	Zá gǔ nǎo zhèn	Zagunao town in Li county 理縣|理县, Sichuan
雜貨	杂货	zá huò	groceries/miscellaneous goods
雜貨商	杂货商	zá huò shāng	grocer
雜貨店	杂货店	zá huò diàn	grocery store/emporium
雜貨攤	杂货摊	zá huò tān	stall selling various goods
雜費	杂费	zá fèi	incidental costs/sundries/extras
雜質	杂质	zá zhì	impurity
雜遝	杂遝	zá tà	variant of 雜沓|杂沓[zá tà]
雜配	杂配	zá pèi	to mix/to hybridize
雜錄	杂录	zá lù	literary miscellany/varia
雜集	杂集	zá jí	a miscellany/a potpourri
雜音	杂音	zá yīn	noise
雜項	杂项	zá xiàng	miscellaneous
雜食	杂食	zá shí	omnivorous (zoolog.)/snacks/a varied diet
雜食動物	杂食动物	zá shí dòng wù	omnivore
雜鹽	杂盐	zá yán	carnallite (hydrated potassium magnesium chloride mineral)
零雜	零杂	líng zá	bit and pieces/small odds and ends
零雜兒	零杂儿	líng zá r5	erhua variant of 零雜|零杂[líng zá]
駁雜	驳杂	bó zá	heterogeneous
魚龍混雜	鱼龙混杂	yú lóng hùn zá	lit. fish and dragons mixed in together (idiom); fig. crooks mixed in with the honest folk
龍蛇混雜	龙蛇混杂	lóng shé hùn zá	lit. dragons and snakes mingle (idiom)/fig. a mix of good people and scumbags
龐雜	庞杂	páng zá	enormously complex/a vast jumble
