# 3000 most frequent characters from Wenlin application
#Simplified	Traditional	Pinyin	Meaning
无	無	wú	without; nothingness  [mó] 南无
回		huí	return; 回来 come back; 回去 go back; 回答 answer
明		míng	bright; 明白 míngbai clear, understand; 明天 tomorrow  [mèng]
间	間	jiān	room; between  [jiàn] gap, interval  [gān]
手		shǒu	hand; 挥手 wave; 拍手 clap; 握手 shake
第		dì	number, -th; 第三世界 Third World; 第一次 1st time
产	產	chǎn	(产生 chǎnshēng) produce; 产品 chǎnpǐn product
气	氣	qì	air, vapor; vital energy; 天气 tiānqi weather  [qǐ]
话	話	huà	speech; 说话 shuōhuà talk, speak    [huo] 白话
重		zhòng	(沉重) heavy; 重要 important  [chóng] again  [tóng]
几	/幾	jī	small table; (F幾) 几乎 jīhū almost  [jǐ] (F幾) how many; a few
表	/錶	biǎo	show; list, table; (F錶) (wrist-)watch
由		yóu	from; (由于) due to; (理由) cause, reason; 自由 freedom  [yāo]
它		tā	it  [tuó] [yí]
将	將	jiāng	shall; 将来 future   [jiàng] general; (chess piece)  [qiāng]
化		huà	(变化 biànhuà) change  [huā] (=花) spend  [huò]
女		nǚ	(女人 nǚrén, 妇女 fùnǚ) woman  [nǜ] [rǔ]
五		wǔ	five; 五月 Wǔyuè May
代		dài	(代表 dàibiǎo) represent; (时代 shídài) generation
相		xiāng	each other, mutual  [xiàng] look at; appearance; photo
华	華	huá	magnificent; China    [Huà] (surname); 华山
平		píng	level, even; 水平 shuǐpíng level; 和平 hépíng peace  [pián] [bìng] [bēng]
或		huò	(或者 huòzhě) or; (或许 huòxǔ) perhaps  [yù]
九		jiǔ	nine  [jiū]
水		shuǐ	water; 水平 shuǐpíng level; 水果 shuǐguǒ fruit
社		shè	(社会 shèhuì) society
比		bǐ	compare; ䷇; 比较 bǐjiào relatively; 比如 bǐrú e.g.  [bì] [pí] [pǐ]
内	內	nèi	inside; 内容 nèiróng content  [nà] [ruì]
位		wèi	position; (量) (polite measure word for people)  [lì]
军	軍	jūn	army, military
车	車	chē	car, vehicle with wheels  [jū] (a piece in 象棋)
使		shǐ	make, cause to
制	/製	zhì	(制度) system; (控制) control; (F製)(制造) manufacture
度		dù	degree, extent; 制度 system   [duó] 猜度 cāiduó surmise  [zhái]
向	/曏	xiàng	towards (direction); (F曏) formerly
并	/併並	bìng	(F併) combine, merge; (F並) and; equally; truly  [bīng] 并州
活		huó	live; 生活 shēnghuó life; 活动 huódòng activity  [guō]
关	關	guān	shut; (关系 guānxi) connection; 关于 concerning
体	體	tǐ	(身体 shēntǐ) body; 具体 jùtǐ concrete  [tī] [bèn] [cuì]
总	總	zǒng	general; sum; always
给	給	gěi	give  [jǐ] 供给 provide
入		rù	(进入 jìnrù) enter; 收入 shōurù income
什		shén	什么 shénme what  [shí] ( = 十 ten)
员	員	yuán	member; 委员会 committee; 人员 personnel
身		shēn	(身体 shēntǐ) body  [juān]
见	見	jiàn	(看见) see; 意见 opinion; 听见 hear  [xiàn]
常		cháng	often; constant; ordinary; 非常 fēicháng extremely
被		bèi	quilt; by; (indicates passive voice)   [pī] [bì] [pì]
西		xī	west; 东西 dōngxi thing
次		cì	occurrence, time; second; inferior  [zī] [cí]
期		qī	(时期) time period; 星期 week; 长期 long term  [jī]
各		gè	each; 各有千秋 each has its merits  [gě] 自各
及		jí	and; 以及 yǐjí as well as; 及时 jíshí promptly
少		shǎo	few, little   [shào] young; 少年 shàonián juvenile
打		dǎ	hit; get; play; etc.; 打算 dǎsuan intend   [dá] dozen
特		tè	(特别 tèbié) special; 特点 tèdiǎn characteristic
象		xiàng	appearance; (大象 dàxiàng) elephant
口		kǒu	mouth; 门口 ménkǒu doorway; 人口 rénkǒu population
应	應	yīng	(应该 yīnggāi) should  [yìng] 应用 apply
东	東	dōng	(东方) east; 东西 dōngxi thing
太		tài	great; very; too; 太太 Madame; 太阳 Sun  [tā]
报	報	bào	(报告) report; 报纸 newspaper; 电报 telegram
海		hǎi	(海洋 hǎiyáng, 大海 dàhǎi) sea, ocean
台	/臺檯颱	tái	you; (F臺) platform; 台湾 Taiwan; (F檯) table; (F颱) 台风  [tāi] 天台  [yí] [sì]
合		hé	shut; (结合 jiéhé) combine; 合作 hézuò cooperate  [gě]
反		fǎn	turn over; (反对 fǎnduì) oppose; 反映 fǎnyìng reflect  [bǎn] 反反 proper  [fàn]
万	萬	wàn	ten thousand, myriad; 万岁 long live  [Mò] 万俟
利		lì	(利益 lìyì) benefit, profit; 利用 utilize; 胜利 triumph
再		zài	again; 再见 zàijiàn goodbye
果		guǒ	fruit; (结果 jiéguǒ) result; 如果 rúguǒ if  [luǒ] [guàn]
物		wù	thing; 动物 animal; 植物 plant; 物理 physics
真		zhēn	true; really
立		lì	stand; 建立 establish; 立刻 right away; 立方体 cube  [wèi]
别	別	bié	separate, other; don't   [biè] 别扭 bièniu awkward
场	場	chǎng	site, field, court  [cháng] threshing ground; (量)
山		shān	mountain; 火山 volcano; 山脉 mountain range
通		tōng	(通过) go through; 交通 traffic  [tòng] (measure word)
声	聲	shēng	(声音 shēngyīn) sound  [qìng]
信		xìn	(相信 xiāngxìn) believe; letter; 信封 envelope  [shēn]
八		bā	eight; 八月 Bāyuè August
命		mìng	(生命) life; destiny; 命令 command; 革命 revolution
提		tí	lift, raise; 提高 improve; 提供 provide  [dī] 提防  [chí] [shí] [dǐ]
市		shì	(市场 shìchǎng) market; (城市 chéngshì) city, town
百		bǎi	hundred  [bó] [mò]
件		jiàn	item; 条件 tiáojiàn term, condition  [móu]
性		xìng	sex; nature; -ness
数	數	shù	number; 数学 math  [shǔ] count  [shuò]
书	書	shū	book; 书记 shūji clerk; 图书馆 library
门	門	mén	door; 门口 doorway; 部门 department; 门铃 doorbell
更		gèng	more  [gēng] night watch
题	題	tí	topic; 问题 question, problem; 题目 title
路		lù	(道路 dàolù) road  [luò]
先		xiān	first; 先生 xiānsheng; 祖先 zǔxiān ancestor
每		měi	every; 每天 měitiān every day
教		jiāo	teach  [jiào] teach; 教育 jiàoyù education
放		fàng	put; release; 解放 jiěfàng liberate  [fǎng] [fāng]
六		liù	six; 六月 Liùyuè June  [lù]
计	計	jì	(计算) count, calculate; 统计 statistics
至		zhì	to, until; 甚至 shènzhì even; 至少 zhìshǎo at least  [dié]
做		zuò	do; make; 叫做 jiàozuò be called; 做法 zuòfǎ method
原		yuán	originally; 原来 it turns out; original; 原因 cause
世		shì	generation; (世界 shìjiè) world; 世纪 shìjì century
展		zhǎn	spread out; 发展 develop; 展览 exhibit
边	邊	biān	(旁边 pángbiān) side; 这边 zhèbiān over here
任		rèn	appoint; no matter; 任务 task; 任何 any  [Rén] (surname)  [lìn]
解		jiě	separate; explain  [Xiè] (surname) [jiè] 解送
干	/乾幹	gān	stem; 干涉 gānshè interfere; (F乾) dry  [gàn] (F幹) do  [àn]
才		cái	talent; only then; 刚才 gāngcái just now  [zāi]
资	資	zī	expenses; 资本主义 capitalism; 投资 invest
受		shòu	receive; 接受 jiēshòu accept; 难受 nánshòu unhappy  [dào]
界		jiè	boundary; 世界 shìjiè world    [gā] [gà]
亲	親	qīn	kin; kiss; 母亲 mother; 亲自 in person  [qìng] 亲家
许	許	xǔ	allow; 许多 xǔduō a lot; 也许 yěxǔ perhaps  [hǔ] [hào]
处	處	chù	place  [chǔ] deal with
队	隊	duì	team; 部队 bùduì army; 队伍 duìwǔ troops
义	義	yì	justice; 主义 zhǔyì -ism; 意义 yìyì meaning
系	/系係繫	xì	(系统) system; (F係) 关系; (F繫) 联系  [jì] (F繫) tie
北		běi	north; 东北 dōngběi northeast; 北京 Běijīng  [bèi]
请	請	qǐng	please; invite; 请求 request
安		ān	still, quiet; 安全 ānquán safe; 安排 ānpái plan
结	結	jié	tie; 结果 jiéguǒ result; 结婚 marry  [jiē] bear fruit
论	論	lùn	theory   [Lún] 论语 Lúnyǔ Analects of Confucius
光		guāng	light; merely; 阳光 sunlight; 光荣 glory  [guàng]
指		zhǐ	finger; point; 指头 zhǐtou finger; 指甲 zhǐjia nail
今		jīn	now, this; 今天 jīntiān today
走		zǒu	go, walk, leave
目		mù	eye; 目前 mùqián at present; 目的 mùdì goal
流		liú	to flow; stream; 电流 electric current; 交流 to exchange  [liū]
元		yuán	primary; dollar
量		liàng	amount; 量词 classifier  [liáng] measure
便		biàn	convenient  [pián] 便宜 piányi cheap  [biān]
七		qī	seven
共		gòng	share; 一共 in all; 共产 communist; 公共 public  [gōng] [gǒng] [hóng]
接		jiē	connect; (接受) accept; 接着 catch; next; 直接 direct  [xié] [shà] [chā]
记	記	jì	(记得 jìde) remember; (记录 jìlù) record
金		jīn	(金子 jīnzi) gold (Au); (金属 jīnshǔ) metal  [jìn]
难	難	nán	difficult  [nàn] disaster
风	風	fēng	wind
色		sè	(颜色 yánsè) color; 脸色 liǎnsè facial expression  [shǎi]
何		hé	what; 任何 rènhé any; 如何 rúhé how; 几何 jǐhé geometry  [hè]
变	變	biàn	change; 变成 become; 变化 variation; 改变 alter
直		zhí	straight; directly
区	區	qū	(地区 dìqū) area; 区别 difference [Ōu] (surname)
眼		yǎn	(眼睛 yǎnjing) eye; 眼镜 yǎnjìng glasses  [wěn]
白		bái	white; 明白 clear; 白天 daytime; 白菜 cabbage  [bó]
党	黨	dǎng	(political) party; 共产党; 国民党
联	聯	lián	unite, join; 联系 liánxì contact
望		wàng	look; full moon; 希望 xīwàng hope
认	認	rèn	(认为) consider; (认识) recognize
革		gé	leather; 革命 gémìng revolution; 改革 reform; ䷰  [jí] 病革
建		jiàn	construct; establish; 建议 jiànyì suggest
交		jiāo	join; 交通 jiāotōng traffic; 交换 jiāohuàn exchange
带	帶	dài	belt; zone; carry, bring, take
战	戰	zhàn	(战争 zhànzhēng) war
爱	愛	ài	(爱情 àiqíng) love; 爱人 àirén spouse; lover
运	運	yùn	transport; 运动 sports; 运气 luck  [yǔn]
收		shōu	gather; 收拾 put in order; 收获 harvest; 收音机 radio
听	聽	tīng	listen; 听见 hear; 听不懂 not understand  [yǐn] [yí]
张	張	zhāng	spread; sheet of paper; 紧张 tense, nervous
治		zhì	govern; cure; punish; 政治 government  [chí]
觉	覺	jué	perceive  [jiào] (睡觉) sleep; 午觉 nap
则	則	zé	(conjunction); 原则 yuánzé principle; 否则 fǒuzé or else
花		huā	flower; spend; 花生 huāshēng peanut
思		sī	(思想 sīxiǎng) thought   [si] 意思 yìsi meaning   [sāi] 于思 richly bearded
统	統	tǒng	系统 system; 统治 dominate; 统一 unify
却	卻	què	however
务	務	wù	任务 rènwu task; 服务 fúwù service
条	條	tiáo	twig; strip; item; 条件 tiáojiàn condition
改		gǎi	(改变 gǎibiàn) change; 改革 gǎigé reform
南		nán	south; 西南 xīnán southwest   [nā]
形		xíng	(形式 xíngshì) form; shape; 形成 xíngchéng to form
非		fēi	not, non-; 非常 fēicháng unusually  [fěi]
济	濟	jì	经济 jīngjì economy; 救济 jiùjì help disaster victims  [jǐ]
达	達	dá	reach, arrive    [dā] [tà] [tì]
保		bǎo	(保护 bǎohù) protect; 保证 bǎozhèng ensure
必		bì	(必须) must; 不必 needn't
议	議	yì	(议论 yìlùn) discuss; 会议 conference; 建议 suggest
京		jīng	capital; 北京 Běijīng; 南京 Nánjīng; 东京 Tokyo
程		chéng	过程 process; 工程 engineering; 程度 extent
求		qiú	seek, ask; 要求 yāoqiú demand; requirement
办	辦	bàn	do; 办法 bànfǎ method; 办公室 bàngōngshì office
远	遠	yuǎn	far
强	強	qiáng	strong  [qiǎng] strive  [jiàng] 倔强 juéjiàng stubborn
设	設	shè	set up; 建设 construct; 设计 design; 设备 equipment
候		hòu	(时候 shíhou) time; wait; situation
言		yán	words; 语言 yǔyán language  [yàn] [yín]
告		gào	(告诉 gàosu) tell; 报告 bàogào report   [gù] 告朔  [jū]
完		wán	finished, complete  [kuān]
往		wǎng	to, toward; 往往 wǎngwǎng often  [wàng]
观	觀	guān	view; ䷓ Contemplation    [guàn] 道观 temple
科		kē	department; 科学 kēxué science; 外科 wàikē surgery  [kè]
传	傳	chuán	pass; pass on; 传统 tradition  [zhuàn] Confucian classic
师	師	shī	(老师) teacher; 师傅 shīfu master; ䷆ The Army
感		gǎn	(感觉) feel; (感情) emotion  [hàn]
术	術	shù	skill; (艺术 yìshù) art; 技术 technique  [zhú] [shú]
马	馬	mǎ	horse; 马上 mǎshàng right away
该	該	gāi	(应该 yīnggāi) should
领	領	lǐng	to lead; collar; 领导, 领袖 leader; 本领 ability
决	決	jué	解决 jiějué resolve; 决定 juédìng decide
吃		chī	eat   [qī]
写	寫	xiě	write; 描写 miáoxiě describe  [xiè] 写意
导	導	dǎo	lead; 领导 lǐngdǎo leader
即		jí	namely, that is; even if; (立即 lìjí) immediately
品		pǐn	(产品 chǎnpǐn) product; 商品 shāngpǐn merchandise
红	紅	hóng	(红色 hóngsè) red; 东方红    [gōng] 女红
近		jìn	near; 附近 fùjìn vicinity; 最近 zuìjìn recently; soon
基		jī	基础 jīchǔ foundation; 基本 jīběn basic
住		zhù	live (in a place)
千		qiān	thousand
广	廣	guǎng	wide, extensive  [yǎn] radical 53  [ān]
取		qǔ	take, get, fetch  [qū]
清		qīng	(清楚 qīngchu) clear; 清洁 qīngjié clean  [qìng]
且		qiě	for the time being; 而且 érqiě furthermore    [jū] [cú]
讲	講	jiǎng	speak
权	權	quán	right, power
影		yǐng	shadow; image; 电影 movie
儿	兒	ér	child; 儿子 son; 女儿 daughter  [r] (noun suffix)  [rén] radical 10
节	節	jié	joint; section; ䷻; (节日 jiérì) holiday  [jiē]
管		guǎn	tube; (管理 guǎnlǐ) manage; 不管 bùguǎn no matter
空		kōng	empty; sky  [kòng] leave empty; free time  [kǒng]
叫		jiào	cry out; call; 叫做 jiàozuò be called
英		yīng	英雄 yīngxióng hero; 英国 Yīngguó England  [yāng]
让	讓	ràng	let, allow
院		yuàn	courtyard; 学院 college; 医院 hospital; 法院 court
识	識	shí	know; 认识 know, recognize; 识别 tell apart  [zhì]
步		bù	step; 进步 jìnbù progress; 散步 sànbù go for a walk
满	滿	mǎn	full; 满足 mǎnzú satisfied
组	組	zǔ	organize; group; 组织 zǔzhī organization
友		yǒu	(朋友 péngyǒu) friend; 友好 friendship
神		shén	spirit, god; 精神 jīngshén spirit; essence  [shēn]
算		suàn	(计算 jìsuàn) compute; 算了 forget it, never mind
半		bàn	half  [pàn]
持		chí	hold; 坚持 jiānchí persist; 保持 bǎochí keep
转	轉	zhuǎn	turn, transfer  [zhuàn] rotate  [zhuǎi] 转文
越		yuè	(越…越…) the more...the more...  [huó]
王		wáng	king; 王国 wángguó kingdom  [wàng] (rare:) rule  [yù]
研		yán	grind; (研究 yánjiū) study  [yàn] [xíng]
服		fú	(服务) serve; (衣服) clothes   [fù] dose  [bì] [bó]
片		piàn	slice; 照片 photo; 片刻 moment; 卡片 card  [piān] film  [pàn]
级	級	jí	grade, level; 阶级 jiējí (social) class
商		shāng	discuss; business
林		lín	(森林 sēnlín) forest; (surname); 桂林 Guìlín
语	語	yǔ	(语言 yǔyán) language; 汉语 Chinese; 语法 grammar [yù] tell
石		shí	(石头 shítou) stone, rock     [dàn] unit of grain
连	連	lián	connect; including; 连忙 right away; 连续 continuous
争	爭	zhēng	contend; dispute; 战争 zhànzhēng war; 斗争 struggle
视	視	shì	look; 电视 diànshì T.V.
谈	談	tán	talk
单	單	dān	alone; single; sheet   [chán] 单于  [Shàn] (surname)
深		shēn	deep; 深刻 shēnkè profound; 深夜 shēnyè late at night
历	/歷曆	lì	(F歷) 历史 lìshǐ history; 经历 experience; (F曆) 日历
钱	錢	qián	money
周		zhōu	circuit; circumference; cycle; week
字		zì	written character; 汉字 Chinese character; 名字 name
府		fǔ	政府 zhèngfǔ government
式		shì	(形式) form; 方式 way, pattern; 正式 formal, official  [tè]
司		sī	公司 gōngsī company; 司令 sīlìng commander  [cí] [sì]
照		zhào	shine; 照相 zhàoxiàng photo
德		dé	virtue; 道德 dàodé ethics; 德国 Germany (Deutschland)
据	據	jù	seize; depend on; (根据 gēnjù) according to  [jū] 拮据
未		wèi	have not, did not; 未来 future; 地支八
际	際	jì	(边际 biānjì) boundary; 实际 reality; 国际 international
青		qīng	green (blue, black); 青年 youth; 青蛙 frog  [jīng]
极	極	jí	extreme; pole; 太极 Tài Jí ☯
线	線	xiàn	line, thread; 光线 light ray; 电线 wire
离	離	lí	(离开 líkāi) leave; from; ☲ ䷝ The Clinging  [chī]
容		róng	contain; 容易 róngyì easy; 内容 nèiróng content  [yǒng]
证	證	zhèng	prove; 图书证 library card
拿		ná	hold; 拿来 bring; 拿去 take; 拿给 hand over
史		shǐ	(历史 lìshǐ) history; (surname)
热	熱	rè	hot
团	團	tuán	ball, lump; group; 团结 unite  [qiú]
早		zǎo	early; 早饭 breakfast; 早晨 zǎochen morning
快		kuài	fast; sharp; (快乐, 愉快) happy
包		bāo	bag; wrap  [páo] [fú]
音		yīn	(声音 shēngyīn) sound; 音乐 yīnyuè music
装	裝	zhuāng	dress up; load; install; (假装 jiǎzhuāng) pretend
孩		hái	(孩子 háizi, 小孩儿 xiǎoháir) child; 女孩儿 girl
调	調	diào	shift; tone  [tiáo] adjust
农	農	nóng	(农民 nóngmín) farmer, peasant; 农业 agriculture
准	/準	zhǔn	allow; (F準) certainly; precise; 准备 prepare; 标准 standard
类	類	lèi	category, kind, type; 类似 lèisì similar
约	約	yuē	approximately; arrange; appointment   [yāo] weigh
号	號	hào	name, number, mark  [háo] yell  [xiāo]
集		jí	(收集 shōují) collect; 集中 jízhōng centralize
克	/克剋	kè	(克服 kèfú) overcome; gram; (F剋) 克期 set time limit  [kēi] (=剋)
毛		máo	hair  [mào]
士		shì	scholar; 博士 Ph.D; 女士 lady, Ms.; 战士 soldier
夜		yè	(夜晚 yèwǎn) night; 半夜, 午夜 midnight; 夜里 at night
布		bù	cloth; spread
较	較	jiào	relatively; quite; 比较 bǐjiào compare; relatively  [jiǎo] (bǐjiǎo = bǐjiào)
选	選	xuǎn	(选择 xuǎnzé) choose, select; 选举 xuǎnjǔ election
笑		xiào	laugh
乐	樂	lè	pleasure; 快乐 kuàilè happy  [yuè] 音乐 yīnyuè music
造		zào	(制造 zhìzào) manufacture; (创造 chuàngzào) create  [cào] [cāo]
整		zhěng	(整个) whole; 调整 tiáozhěng adjust; 整齐 zhěngqí neat
斯		sī	(thus; now used mostly for sound:) 法西斯 Fascist  [shǐ]
晚		wǎn	late; 晚上 evening; 夜晚 night; 晚饭 dinner
切		qiē	to cut  [qiè] correspond to; 一切 yíqiè all  [qì]
称	稱	chēng	weigh; name  [chèn] 对称 duìchèn symmetric
