戰	战	zhàn	to fight/fight/war/battle
反生物戰	反生物战	fǎn shēng wù zhàn	biological (warfare) defense
口水戰	口水战	kǒu shuǐ zhàn	war of words
口角戰	口角战	kǒu jiǎo zhàn	war of words
唇槍舌戰	唇枪舌战	chún qiāng shé zhàn	war of words
商戰	商战	shāng zhàn	trade war
國內戰爭	国内战争	guó nèi zhàn zhēng	civil war/internal struggle
國共內戰	国共内战	Guó Gòng Nèi zhàn	Chinese Civil War, also known as War of Liberation 解放戰爭|解放战争[Jiě fàng Zhàn zhēng]
國際戰爭罪法庭	国际战争罪法庭	guó jì zhàn zhēng zuì fǎ tíng	International war crimes tribunal
地緣戰略	地缘战略	dì yuán zhàn lüè	geostrategic
大戰	大战	dà zhàn	war/to wage war
太平洋戰爭	太平洋战争	Tài píng Yáng Zhàn zhēng	Pacific War between Japan and the US, 1941-1945
奮戰	奋战	fèn zhàn	to fight bravely/(fig.) to struggle/to work hard
好戰	好战	hào zhàn	warlike
孟良崮戰役	孟良崮战役	Mèng liáng gù Zhàn yì	Battle of Mt Mengliang in Shandong of 1947 between the Nationalists and Communists
孤軍奮戰	孤军奋战	gū jūn fèn zhàn	lit. lone army putting up a brave fight (idiom)/fig. (of a person or group of people) struggling hard without support
官渡之戰	官渡之战	Guān dù zhī zhàn	battle of Guandu of 199 that established Cao Cao's 曹操 domination over north China, at Guandu (near modern 許昌|许昌[Xǔ chāng] in north Henan)
宙斯盾戰鬥系統	宙斯盾战斗系统	Zhòu sī dùn Zhàn dòu Xì tǒng	Aegis Combat System (weapons system developed for the US Navy)
宣戰	宣战	xuān zhàn	to declare war
寒戰	寒战	hán zhàn	shiver
實戰	实战	shí zhàn	real combat/actual combat
對戰	对战	duì zhàn	to do battle (with sb)
屢戰屢敗	屡战屡败	lǚ zhàn lǚ bài	to suffer defeat in every battle (idiom)
屢敗屢戰	屡败屡战	lǚ bài lǚ zhàn	to keep on fighting despite continual setbacks (idiom)
巴西戰舞	巴西战舞	Bā xī zhàn wǔ	capoeira
布匿戰爭	布匿战争	Bù nì Zhàn zhēng	the three Punic Wars (264-146 BC) between Rome and Carthage
布防迎戰	布防迎战	bù fáng yíng zhàn	to prepare to meet the enemy head-on
平津戰役	平津战役	Píng jīn Zhàn yì	Pingjin Campaign (Nov 1948-Jan 1949), one of the three major campaigns by the People's Liberation Army near the end of the Chinese Civil War
征戰	征战	zhēng zhàn	campaign/expedition
德國戰車	德国战车	Dé guó zhàn chē	Rammstein (German metal band)
心戰	心战	xīn zhàn	psychological warfare/(literary) to be inwardly terrorized
心理戰	心理战	xīn lǐ zhàn	psychological warfare/psychological operations/psyop
心驚膽戰	心惊胆战	xīn jīng dǎn zhàn	lit. heart alarmed, trembling in fear (idiom); prostrate with fear/scared witless
怛羅斯之戰	怛罗斯之战	Dá luó sī zhī Zhàn	Battle of Talas (751), military engagement in the valley of the Talas River 塔拉斯河[Tǎ lā sī Hé], in which Arab forces defeated Tang armies, marking the end of Tang westward expansion
惡戰	恶战	è zhàn	hard fighting/fierce battle
應戰	应战	yìng zhàn	to take up a challenge/to face an attack and meet it
戀戰	恋战	liàn zhàn	to zealously continue fighting
丁卯戰爭	丁卯战争	Dīng mǎo Zhàn zhēng	first Manchu invasion of Korea (1627)
戰亂	战乱	zhàn luàn	chaos of war
戰事	战事	zhàn shì	war/hostilities/fighting
戰俘	战俘	zhàn fú	prisoner of war
戰備	战备	zhàn bèi	war preparation
戰兢	战兢	zhàn jīng	to tremble/to be on guard
戰兢兢	战兢兢	zhàn jīng jīng	shaking with fear
戰列艦	战列舰	zhàn liè jiàn	battleship
戰利品	战利品	zhàn lì pǐn	spoils of war
戰力	战力	zhàn lì	military strength/military power/military capability
戰功	战功	zhàn gōng	outstanding military service
戰勝	战胜	zhàn shèng	to prevail over/to defeat/to surmount
戰區	战区	zhàn qū	war zone/combat zone/(military) theater of operations
戰友	战友	zhàn yǒu	comrade-in-arms/battle companion
戰國	战国	Zhàn guó	the Warring States period (475-221 BC)
戰國七雄	战国七雄	zhàn guó qī xióng	Seven Powerful States of the Warring States, namely: 齊|齐[Qí], 楚[Chǔ], 燕[Yān], 韓|韩[Hán], 趙|赵[Zhào], 魏[Wèi] and 秦[Qín]
戰國時代	战国时代	Zhàn guó Shí dài	the Warring States period (475-221 BC)/Japanese Warring States period (15th-17th century)
戰國末	战国末	zhàn guó mò	late Warring States period, c. 250-221 BC before the First Emperor's Qin Dynasty
戰國末年	战国末年	zhàn guó mò nián	late Warring States period, c. 250-221 BC before the First Emperor's Qin Dynasty
戰國策	战国策	Zhàn guó cè	"Strategies of the Warring States", chronicle of the Warring States Period (475-220 BC), possibly written by Su Qin 蘇秦|苏秦[Sū Qín]
戰團	战团	zhàn tuán	fighting group/by extension, a fight/a fray
戰地	战地	zhàn dì	battlefield
戰場	战场	zhàn chǎng	battlefield/CL:個|个[gè]
戰壕	战壕	zhàn háo	trench/entrenchment
戰壕熱	战壕热	zhàn háo rè	trench fever
戰士	战士	zhàn shì	fighter/soldier/warrior/CL:個|个[gè]
戰局	战局	zhàn jú	war situation
戰役	战役	zhàn yì	military campaign
戰後	战后	zhàn hòu	after the war/postwar
戰慄	战栗	zhàn lì	to tremble/shudder
戰戰兢兢	战战兢兢	zhàn zhàn jīng jīng	trembling with fear/with fear and trepidation
戰戰慄慄	战战栗栗	zhàn zhàn lì lì	to tremble with fear
戰抖	战抖	zhàn dǒu	to shudder/to tremble
戰敗	战败	zhàn bài	to lose a war
戰斗部	战斗部	zhàn dòu bù	warhead
戰斧	战斧	zhàn fǔ	battle-ax
戰旗	战旗	zhàn qí	a war flag/an army banner
戰時	战时	zhàn shí	wartime
戰書	战书	zhàn shū	written war challenge
戰機	战机	zhàn jī	opportunity in a battle/fighter aircraft/war secret
戰死沙場	战死沙场	zhàn sǐ shā chǎng	to die in battle (idiom)
戰況	战况	zhàn kuàng	battlefield situation/battle progress
戰法	战法	zhàn fǎ	military strategy
戰火	战火	zhàn huǒ	conflagration/the fire of war
戰火紛飛	战火纷飞	zhàn huǒ fēn fēi	fire of war everywhere (idiom); enveloped in the flames of war
戰無不勝	战无不胜	zhàn wú bù shèng	to triumph in every battle (idiom); invincible/to succeed in every undertaking
戰無不勝，攻無不克	战无不胜，攻无不克	zhàn wú bù shèng , gōng wú bù kè	to triumph in every battle and win every fight (idiom); all-conquering/ever victorious/nothing they can't do
戰無不勝，攻無不取	战无不胜，攻无不取	zhàn wú bù shèng , gōng wú bù qǔ	to triumph in every battle and win every fight (idiom); all-conquering/ever victorious/nothing they can't do
戰爭	战争	zhàn zhēng	war/conflict/CL:場|场[cháng],次[cì]
戰爭罪	战争罪	zhàn zhēng zuì	war crime
戰爭與和平	战争与和平	Zhàn zhēng yǔ Hé píng	War and Peace by Tolstoy 托爾斯泰|托尔斯泰
戰犯	战犯	zhàn fàn	war criminal
戰略	战略	zhàn lüè	strategy
戰略伙伴	战略伙伴	zhàn lüè huǒ bàn	strategic partner
戰略夥伴	战略夥伴	zhàn lüè huǒ bàn	variant of 戰略伙伴|战略伙伴[zhàn lüè huǒ bàn]
戰略家	战略家	zhàn lüè jiā	a strategist
戰略性	战略性	zhàn lüè xìng	strategic
戰略核力量	战略核力量	zhàn lüè hé lì liang	strategic nuclear force
戰略核武器	战略核武器	zhàn lüè hé wǔ qì	strategic nuclear weapon
戰略要點	战略要点	zhàn lüè yào diǎn	strategic point
戰略轟炸機	战略轰炸机	zhàn lüè hōng zhà jī	strategic bomber
戰略防御倡議	战略防御倡议	zhàn lüè fáng yù chàng yì	strategic defense initiative (SDI)
戰禍	战祸	zhàn huò	disaster of war
戰線	战线	zhàn xiàn	battle line/battlefront/front
戰績	战绩	zhàn jì	military successes/(fig.) success/accomplishment
戰船	战船	zhàn chuán	warship
戰艦	战舰	zhàn jiàn	battleship/warship
戰術	战术	zhàn shù	tactics
戰術導彈	战术导弹	zhàn shù dǎo dàn	tactical missile
戰術核武器	战术核武器	zhàn shù hé wǔ qì	tactical nuclear weapons
戰袍	战袍	zhàn páo	(old) combat robe/soldier's uniform/(sports) team jersey/team shirt
戰車	战车	zhàn chē	war chariot/tank
戰酣	战酣	zhàn hān	(literary) at the height of the battle
戰馬	战马	zhàn mǎ	warhorse
戰鬥	战斗	zhàn dòu	to fight/to engage in combat/struggle/battle/CL:場|场[cháng],次[cì]
戰鬥力	战斗力	zhàn dòu lì	fighting strength
戰鬥機	战斗机	zhàn dòu jī	fighter (aircraft)
戰鬥營	战斗营	zhàn dòu yíng	boot camp
戰鬥群	战斗群	zhàn dòu qún	battle group/naval formation headed by an aircraft carrier
戰鬥者	战斗者	zhàn dòu zhě	fighter
戰鬥艦	战斗舰	zhàn dòu jiàn	battleship
打冷戰	打冷战	dǎ lěng zhan	to shiver/to shudder
打野戰	打野战	dǎ yě zhàn	see 打野炮[dǎ yě pào]
抗戰	抗战	kàng zhàn	war of resistance, especially the war against Japan (1937-1945)
抗日戰爭	抗日战争	Kàng Rì Zhàn zhēng	(China's) War of Resistance against Japan (1937-1945)
拇戰	拇战	mǔ zhàn	finger-guessing game
拉鋸戰	拉锯战	lā jù zhàn	to-and-fro tussle/closely-fought contest
拖延戰術	拖延战术	tuō yán zhàn shù	delaying tactics/deliberate procrastination
持久戰	持久战	chí jiǔ zhàn	prolonged war/war of attrition
指戰員	指战员	zhǐ zhàn yuán	PLA commanders and fighters
挑戰	挑战	tiǎo zhàn	to challenge/challenge
挑戰者	挑战者	tiǎo zhàn zhě	challenger
挑戰者號	挑战者号	Tiǎo zhàn zhě Hào	Space Shuttle Challenger
挑燈夜戰	挑灯夜战	tiǎo dēng yè zhàn	to raise a lantern and fight at night (idiom); fig. to work into the night/to burn the midnight oil
接戰	接战	jiē zhàn	to engage in battle
搏戰	搏战	bó zhàn	to fight/to struggle/to wage war
搖戰	摇战	yáo zhàn	(literary) to shake with fear
搦戰	搦战	nuò zhàn	to challenge to battle
攻無不克，戰無不勝	攻无不克，战无不胜	gōng wú bù kè , zhàn wú bù shèng	to triumph in every battle and win every fight (idiom); all-conquering/ever victorious/nothing they can't do
放射作戰	放射作战	fàng shè zuò zhàn	radiological operations
敗戰	败战	bài zhàn	to lose a war/fig. the loser (in a competition or election)
斯大林格勒戰役	斯大林格勒战役	Sī dà lín gé lè Zhàn yì	Battle of Stalingrad (1942-1943), decisive battle of Second World War and one of the bloodiest battles in history, when the Germans failed to take Stalingrad, were then trapped and destroyed by Soviet forces
斯大林格勒會戰	斯大林格勒会战	Sī dà lín gé lè Huì zhàn	Battle of Stalingrad (1942-1943)/also called 斯大林格勒戰役|斯大林格勒战役
日俄戰爭	日俄战争	Rì É Zhàn zhēng	the war of 1904-1905 between Russia and Japan
星球大戰	星球大战	Xīng qiú Dà zhàn	Star Wars
春秋戰國	春秋战国	Chūn qiū Zhàn guó	the Spring and Autumn (770-476 BC) and Warring States (475-221 BC) periods
春秋戰國時代	春秋战国时代	Chūn qiū Zhàn guó Shí dài	the Spring and Autumn (770-476 BC) and Warring States (475-221 BC) periods/Eastern Zhou (770-221 BC)
普法戰爭	普法战争	Pǔ Fǎ Zhàn zhēng	Franco-Prussian War (1870-1871)
會戰	会战	huì zhàn	decisive battle/(fig.) campaign
有征無戰	有征无战	yǒu zhēng wú zhàn	to win without a fight (idiom)
朝戰	朝战	Cháo Zhàn	abbr. for 朝鮮戰爭|朝鲜战争[Cháo xiǎn Zhàn zhēng], Korean War (1950-1953)
朝鮮戰爭	朝鲜战争	Cháo xiǎn Zhàn zhēng	Korean War (1950-1953)
板門店停戰村	板门店停战村	Bǎn mén diàn tíng zhàn cūn	Panmunjom village on the DMZ between North and South Korea
柏舉之戰	柏举之战	Bǎi jǔ zhī zhàn	Baiju war of 506 BC, in which Wu 吴 scored a crushing victory over Chu 楚
核戰	核战	hé zhàn	nuclear warfare
核戰斗部	核战斗部	hé zhàn dòu bù	nuclear warhead
楚漢戰爭	楚汉战争	Chǔ Hàn Zhàn zhēng	Chu-Han Contention (206-202 BC), power struggle between Liu Bang 劉邦|刘邦[Liú Bāng] of Han and Xiang Yu 項羽|项羽[Xiàng Yǔ] of Chu
槍戰	枪战	qiāng zhàn	gun battle/firefight
橙色戰劑	橙色战剂	chéng sè zhàn jì	Agent Orange (herbicide)
機械戰警	机械战警	Jī xiè Zhàn jǐng	RoboCop (movie)
武警戰士	武警战士	wǔ jǐng zhàn shì	armed fighters/armed police/militia
死戰	死战	sǐ zhàn	fight to the death/desperate struggle
決戰	决战	jué zhàn	decisive battle/to fight a decisive battle/to fight for supremacy in ...
沉著應戰	沉着应战	chén zhuó yìng zhàn	to remain calm in the face of adversity (idiom)
浴血苦戰	浴血苦战	yù xuè kǔ zhàn	a blood soaked and hard-fought struggle (idiom)
海戰	海战	hǎi zhàn	naval battle
海灣戰爭	海湾战争	Hǎi wān Zhàn zhēng	(Persian) Gulf War
海軍陸戰隊	海军陆战队	hǎi jūn lù zhàn duì	marine corps/marines
消耗戰	消耗战	xiāo hào zhàn	war of attrition
淮海戰役	淮海战役	Huái hǎi Zhàn yì	Huaihai Campaign (Nov 1948-Jan 1949), one of the three major campaigns by the People's Liberation Army near the end of the Chinese Civil War, considered the determining battle of the war
混戰	混战	hùn zhàn	chaotic warfare/confused fighting/melee/to join in such fighting
激戰	激战	jī zhàn	to fight fiercely/fierce battle
烽煙四起，戰火紛飛	烽烟四起，战火纷飞	fēng yān sì qǐ , zhàn huǒ fēn fēi	lit. fire beacons in all four directions (idiom); the confusion of war
無名戰士墓	无名战士墓	wú míng zhàn shì mù	Tomb of the Unknown Soldier
無名戰死	无名战死	wú míng zhàn sǐ	the unknown soldier (symbolizing war dead)
爭奪戰	争夺战	zhēng duó zhàn	struggle
爭戰	争战	zhēng zhàn	fight
狂戰士	狂战士	kuáng zhàn shì	berserker (Norse warrior or fantasy role-playing character)
獨立戰爭	独立战争	dú lì zhàn zhēng	war of independence
玫瑰戰爭	玫瑰战争	Méi guī Zhàn zhēng	The Wars of the Roses (1455-1485)
瓜達卡納爾戰役	瓜达卡纳尔战役	Guā dá kǎ nà ěr zhàn yì	battle of Guadalcanal of late 1942, the turning point of the war in the Pacific
生命不息，戰鬥不止	生命不息，战斗不止	shēng mìng bù xī , zhàn dòu bù zhǐ	while there is life, the fight continues (idiom); to fight to the last
生物戰	生物战	shēng wù zhàn	germ warfare/biological warfare
生物戰劑	生物战剂	shēng wù zhàn jì	biological agent/biological warfare agent
甲午戰爭	甲午战争	Jiǎ wǔ Zhàn zhēng	First Sino-Japanese War (1894-95)
甲級戰犯	甲级战犯	jiǎ jí zhàn fàn	a grade A war criminal
白刃戰	白刃战	bái rèn zhàn	hand-to-hand fighting
白色戰劑	白色战剂	bái sè zhàn jì	Agent White
白衣戰士	白衣战士	bái yī zhàn shì	warrior in white/medical worker
百團大戰	百团大战	Bǎi tuán Dà zhàn	Hundred Regiments offensive of August-December 1940, a large scale offensive against the Japanese by the communists
百戰不殆	百战不殆	bǎi zhàn bù dài	to come unscathed through a hundred battles (idiom, from Sunzi's "The Art of War" 孫子兵法|孙子兵法[Sūn zǐ Bīng fǎ]); to win every fight
百戰百勝	百战百胜	bǎi zhàn bǎi shèng	to emerge victorious in every battle/to be ever-victorious
皖系戰敗	皖系战败	Wǎn xì zhàn bài	Anhui faction of Northern Warlords (1912-c. 1920), led by Duan Qirui 段祺瑞 with Japanese support
直皖戰爭	直皖战争	Zhí Wǎn zhàn zhēng	war of 1920 between Northern Warlords, in which the Zhili faction beat the Anhui faction and took over the Beijing government
知己知彼，百戰不殆	知己知彼，百战不殆	zhī jǐ zhī bǐ , bǎi zhàn bù dài	know yourself and know your enemy, and you will never be defeated (idiom, from Sunzi's "The Art of War" 孫子兵法|孙子兵法[Sūn zǐ Bīng fǎ])
知彼知己，百戰不殆	知彼知己，百战不殆	zhī bǐ zhī jǐ , bǎi zhàn bù dài	knowing the enemy and yourself will get you unscathed through a hundred battles (idiom, from Sunzi's "The Art of War")
空戰	空战	kōng zhàn	air war/air warfare
第一次世界大戰	第一次世界大战	Dì yī cì Shì jiè Dà zhàn	World War One
第二次世界大戰	第二次世界大战	Dì èr Cì Shì jiè Dà zhàn	World War II
筆戰	笔战	bǐ zhàn	written polemics
細菌戰	细菌战	xì jūn zhàn	biological warfare/germ warfare
終戰	终战	zhōng zhàn	end of the war
統一戰線	统一战线	tǒng yī zhàn xiàn	united front
統一戰線工作部	统一战线工作部	Tǒng yī Zhàn xiàn Gōng zuò bù	United Front Work Department of CCP Central Committee (UFWD)
統戰	统战	tǒng zhàn	united front (abbr. for 統一戰線|统一战线[tǒng yī zhàn xiàn])
統戰部	统战部	Tǒng Zhàn bù	United Front Work Department of CCP Central Committee (UFWD)/abbr. for 統一戰線工作部|统一战线工作部[Tǒng yī Zhàn xiàn Gōng zuò bù]
美國獨立戰爭	美国独立战争	Měi guó Dú lì Zhàn zhēng	American War of Independence (1775-1783)
聖戰	圣战	shèng zhàn	Holy war/jihad
肉搏戰	肉搏战	ròu bó zhàn	hand-to-hand combat
背水一戰	背水一战	bèi shuǐ yī zhàn	lit. fight with one's back to the river (idiom); fig. to fight to win or die
膽戰	胆战	dǎn zhàn	to tremble with fear
膽戰心驚	胆战心惊	dǎn zhàn xīn jīng	to tremble with fear (idiom)/scared witless
臨戰	临战	lín zhàn	just before the contest/on the eve of war
舌戰	舌战	shé zhàn	verbal sparring/duel of words
航空母艦戰鬥群	航空母舰战斗群	háng kōng mǔ jiàn zhàn dòu qún	carrier-based vanguard group (CBVG)/naval battle group led by an aircraft carrier
苦戰	苦战	kǔ zhàn	bitter struggle/hard battle/arduous effort
蔣桂戰爭	蒋桂战争	Jiǎng Guì zhàn zhēng	confrontation of 1929 between Chiang Kaishek and the Guangxi warlord faction
薩爾滸之戰	萨尔浒之战	Sà ěr hǔ zhī zhàn	Battle of Sarhu in 1619, in which the Manchus under Nurhaci 努爾哈赤|努尔哈赤 crushed four Ming armies
血戰	血战	xuè zhàn	bloody battle
解放戰爭	解放战争	Jiě fàng Zhàn zhēng	War of Liberation (1945-49), after which the Communists 共產黨武裝|共产党武装 under Mao Zedong 毛澤東|毛泽东 took over from the Nationalists 國民政府|国民政府 under Chiang Kai-shek 蔣介石|蒋介石
論戰	论战	lùn zhàn	to debate/to contend/polemics
護國戰	护国战	Hù guó zhàn	National Protection War or Campaign to Defend the Republic (1915), a rebellion against the installation of Yuan Shikai 袁世凱|袁世凯[Yuán Shì kǎi] as emperor
護國戰爭	护国战争	Hù guó Zhàn zhēng	National Protection War or Campaign to Defend the Republic (1915), a rebellion against the installation of Yuan Shikai 袁世凱|袁世凯[Yuán Shì kǎi] as emperor
護法戰爭	护法战争	hù fǎ zhàn zhēng	National protection war or Campaign to defend the republic (1915), a rebellion against the installation of Yuan Shikai as emperor
貿易戰	贸易战	mào yì zhàn	trade war
贖罪日戰爭	赎罪日战争	Shú zuì rì zhàn zhēng	the Yom Kippur war of October 1973 between Israel and her Arab neighbors
赤壁之戰	赤壁之战	Chì bì zhī zhàn	Battle of Redcliff of 208 at Chibi in Huangzhou district 黃州區|黄州区 of Huanggang city 黄冈, a decisive defeat of Cao Cao 曹操 at the hands of southern kingdom of Wu/famous episode in the Romance of the Three Kingdoms 三國演義|三国演义
超限戰	超限战	chāo xiàn zhàn	unrestricted warfare (originally the title of a Chinese book published in 1999, later used to refer to war by any means, military or non-military, including cyberwarfare, economic warfare etc)
越南戰爭	越南战争	Yuè nán Zhàn zhēng	Vietnam War (1955-1975)
越戰	越战	Yuè zhàn	Vietnam War (1955-1975)
身經百戰	身经百战	shēn jīng bǎi zhàn	lit. veteran of a hundred battles (idiom)/fig. experienced/seasoned
軍閥混戰	军阀混战	jūn fá hùn zhàn	incessant fighting between warlords
轉戰	转战	zhuǎn zhàn	to fight in one place after another
轉戰千里	转战千里	zhuǎn zhàn qiān lǐ	fighting everywhere over a thousand miles (idiom); constant fighting across the country/never-ending struggle
迎戰	迎战	yíng zhàn	to meet the enemy head-on
迎接挑戰	迎接挑战	yíng jiē tiǎo zhàn	to meet a challenge
速戰速決	速战速决	sù zhàn sù jué	a blitzkrieg strategy (idiom)/to resolve sth in the shortest time possible/to get sth done quickly
連戰	连战	Lián Zhàn	Lien Chan (1936-), Taiwanese politician, former vice-president and chairman of Guomintang
連戰連勝	连战连胜	lián zhàn lián shèng	fighting and winning a series of battles (idiom); ever victorious
遊擊戰	游击战	yóu jī zhàn	guerrilla warfare
運動戰	运动战	yùn dòng zhàn	mobile warfare
選戰	选战	xuǎn zhàn	election campaign
遼瀋戰役	辽沈战役	Liáo shěn Zhàn yì	Liaoshen Campaign (Sep-Nov 1948), the first of the three major campaigns by the People's Liberation Army near the end of the Chinese Civil War
酣戰	酣战	hān zhàn	to fight lustily
重披戰袍	重披战袍	chóng pī zhàn páo	(fig.) to re-enter the fray/to return to a field of activity after a period of absence
野戰	野战	yě zhàn	battlefield operation/paintball
野戰軍	野战军	yě zhàn jūn	field army
鏖戰	鏖战	áo zhàn	bitter fighting/a violent battle
長平之戰	长平之战	Cháng píng zhī zhàn	battle of Changping of 260 BC, at which the Qin army 秦軍|秦军[Qín jūn] encircled and annihilated a Zhao army of 400,000
閃擊戰	闪击战	shǎn jī zhàn	lightning war/Blitzkrieg
閃電戰	闪电战	shǎn diàn zhàn	blitzkrieg/blitz
開戰	开战	kāi zhàn	to start a war/to make war/to battle against
陣亡戰士紀念日	阵亡战士纪念日	zhèn wáng zhàn shì jì niàn rì	Memorial Day (American holiday)
陸戰棋	陆战棋	lù zhàn qí	see 軍棋|军棋[jūn qí]
韓戰	韩战	Hán zhàn	Korean War (1950-1953)
飽餐戰飯	饱餐战饭	bǎo cān zhàn fàn	to fill one's belly before the battle (idiom)
驍勇善戰	骁勇善战	xiāo yǒng shàn zhàn	to be brave and good at fighting (idiom)
鴉片戰爭	鸦片战争	Yā piàn Zhàn zhēng	the Opium Wars of 1840-1842 and 1860-1861
