戶	户	hù	a household/door/family
往來帳戶	往来帐户	wǎng lái zhàng hù	current account (in bank)
佃戶	佃户	diàn hù	tenant farmer
戶主	户主	hù zhǔ	head of the household
戶內	户内	hù nèi	indoors/within the home
戶口	户口	hù kǒu	population (counted as number of households for census or taxation)/registered residence/residence permit/(in Hong Kong and Macau) bank account
戶口制	户口制	hù kǒu zhì	PRC system of compulsory registration of households
戶口制度	户口制度	hù kǒu zhì dù	PRC system of compulsory registration
戶口名簿	户口名簿	hù kǒu míng bù	(Tw) household registration certificate (identity document)
戶口本	户口本	hù kǒu běn	household register/household registration booklet/residence certificate
戶口簿	户口簿	hù kǒu bù	household register
戶告人曉	户告人晓	hù gào rén xiǎo	to make known to every household (idiom); to disseminate widely/to shout from the rooftops
戶均	户均	hù jūn	household average
戶型	户型	hù xíng	configuration of rooms in a residence (e.g. 3BR 2 Bath)
戶外	户外	hù wài	outdoor
戶樞不蠹	户枢不蠹	hù shū bù dù	lit. a door hinge never becomes worm-eaten/constant activity prevents decay (idiom)
戶牖	户牖	hù yǒu	door and window/the home
戶籍	户籍	hù jí	census register/household register
戶縣	户县	Hù xiàn	Hu county in Xi'an 西安[Xī ān], Shaanxi
戶部	户部	Hù bù	Ministry of Revenue in imperial China
戶部尚書	户部尚书	hù bù shàng shū	Minister of Revenue (from the Han dynasty onwards)
戶限	户限	hù xiàn	threshold
戶限為穿	户限为穿	hù xiàn wèi chuān	an endless stream of visitors (idiom)
戶頭	户头	hù tóu	bank account/CL:個|个[gè]
挨家挨戶	挨家挨户	āi jiā āi hù	to go from house to house
挨戶	挨户	āi hù	from house to house, one by one
挨戶挨家	挨户挨家	āi hù āi jiā	see 挨家挨戶|挨家挨户[āi jiā āi hù]
挨門挨戶	挨门挨户	āi mén āi hù	see 挨家挨戶|挨家挨户[āi jiā āi hù]
搬遷戶	搬迁户	bān qiān hù	relocated household/unit that has moved
收益帳戶	收益帐户	shōu yì zhàng hù	income account (accountancy)
散戶	散户	sǎn hù	individual (shareholder)/the small investor
數字用戶線路	数字用户线路	shù zì yòng hù xiàn lù	digital subscriber line (DSL)
暴發戶	暴发户	bào fā hù	newly rich/parvenu/upstart
柴門小戶	柴门小户	chái mén xiǎo hù	woodcutter's cottage (idiom); poor person's hovel/fig. my humble house
棚戶	棚户	péng hù	shacks/shack-dwellers/slum-dwellers
棚戶區	棚户区	péng hù qū	shantytown
水戶市	水户市	Shuǐ hù Shì	Mito City, capital of Ibaraki Prefecture, Japan
江戶	江户	Jiāng hù	Edo (old name of Tokyo)
活期帳戶	活期帐户	huó qī zhàng hù	current account (in bank)
流水不腐，戶樞不蠹	流水不腐，户枢不蠹	liú shuǐ bù fǔ , hù shū bù dù	lit. flowing water does not rot, nor a door-hinge rust (idiom)/fig. constant activity prevents decay
清拆戶	清拆户	qīng chāi hù	demolition of homes/to destroy homes (for new building projects)
獨立門戶	独立门户	dú lì mén hù	to live apart from parents (of married couple)/to achieve independence
獵戶座	猎户座	Liè hù zuò	Orion (constellation)
獵戶座大星雲	猎户座大星云	Liè hù zuò dà xīng yún	the Great Nebula in Orion M42
獵戶座流星雨	猎户座流星雨	liè hù zuò liú xīng yǔ	Orionids/Orionid meteor shower
獵戶臂	猎户臂	liè hù bì	Orion spiral arm or local spur of our galaxy (containing our solar system)
用戶	用户	yòng hù	user/consumer/subscriber/customer
用戶到網絡接口	用户到网络接口	yòng hù dào wǎng luò jiē kǒu	user-network interface/UNI
用戶到網絡的接口	用户到网络的接口	yòng hù dào wǎng luò de jiē kǒu	User-Network Interface/UNI
用戶創造內容	用户创造内容	yòng hù chuàng zào nèi róng	user-generated content (of a website)
用戶名	用户名	yòng hù míng	username/user ID
用戶定義	用户定义	yòng hù dìng yì	user-defined
用戶界面	用户界面	yòng hù jiè miàn	user interface
用戶端設備	用户端设备	yòng hù duān shè bèi	customer premise equipment/CPE
用戶線	用户线	yòng hù xiàn	subscriber line
登記用戶	登记用户	dēng jì yòng hù	registered user
神戶	神户	Shén hù	Kōbe, major Japanese port near Ōsaka
租戶	租户	zū hù	tenant/person who leases
窗戶	窗户	chuāng hu	window/CL:個|个[gè],扇[shàn]
窗戶欞	窗户棂	chuāng hù líng	window frame
終端用戶	终端用户	zhōng duān yòng hù	end user
耶戶	耶户	Yē hù	Jehu (842-815 BC), Israelite king, prominent character in 2 Kings 9:10
聯產到戶	联产到户	lián chǎn dào hù	household responsibility system, introduced in the early 1980s, under which each rural household could freely decide what to produce and how to sell, as long as it fulfilled its quota of products to the state
腳戶	脚户	jiǎo hù	porter/donkey driver
自立門戶	自立门户	zì lì mén hù	to form one's own group or school of thought/to set up one's own business/to establish oneself
船戶	船户	chuán hù	boatman/boat dweller
花戶	花户	huā hù	registered occupants of a house
莊稼戶	庄稼户	zhuāng jia hù	wealthy farmer/landlord
莊稼戶兒	庄稼户儿	zhuāng jia hù r5	erhua variant of 莊稼戶|庄稼户[zhuāng jia hù]
萬元戶	万元户	wàn yuán hù	household with savings or annual income of 10,000 yuan or more (considered a large amount in the 1970s, when the term became established)
萬戶	万户	Wàn Hù	ducal title meaning lord of 10,000 households/also translated as Marquis
萬戶	万户	wàn hù	ten thousand houses or households
萬戶侯	万户侯	wàn hù hóu	Marquis (highest Han dynasty ducal title meaning lord of 10,000 households)/high nobles
落戶	落户	luò hù	to settle/to set up home
蓬戶	蓬户	péng hù	thatched house/poor person's house/humble home
蓬戶甕牖	蓬户瓮牖	péng hù wèng yǒu	thatched house, broken urn windows (idiom); poor person's house/humble home
蓬門篳戶	蓬门筚户	péng mén bì hù	overgrown gate, wicker windows (idiom); poor person's house/humble home
蓬門蓽戶	蓬门荜户	péng mén bì hù	overgrown gate, wicker windows (idiom); poor person's house/humble home
蜑戶	蜑户	Dàn hù	see 蜑家[Dàn jiā]
訂戶	订户	dìng hù	subscriber (to a newspaper or periodical)
賬戶	账户	zhàng hù	bank account/online account
足不出戶	足不出户	zú bù chū hù	lit. not putting a foot outside/to stay at home
農戶	农户	nóng hù	peasant household
過戶	过户	guò hù	to transfer ownership (of a vehicle, securities etc)/(real estate) conveyancing
邃戶	邃户	suì hù	forbidding entrance to a large, quiet house
釘子戶	钉子户	dīng zi hù	householder who refuses to vacate his home despite pressure from property developers
鋪戶	铺户	pù hù	store/shop
門戶	门户	mén hù	door/strategic gateway/portal/faction/sect/family status/family/web portal/(old) brothel
門戶之見	门户之见	mén hù zhī jiàn	sectarian bias/parochialism
門戶網站	门户网站	mén hù wǎng zhàn	web portal
門戶開放	门户开放	mén hù kāi fàng	open door policy/Egyptian President Sadat's infitah policy towards investment and relations with Israel
門當戶對	门当户对	mén dāng hù duì	the families are well-matched in terms of social status (idiom)/(of a prospective marriage partner) an appropriate match
開戶	开户	kāi hù	to open an account (bank etc)
陰戶	阴户	yīn hù	vulva
集體戶	集体户	jí tǐ hù	collective/joint household
非對稱式數據用戶線	非对称式数据用户线	fēi duì chèn shì shù jù yòng hù xiàn	Asymmetrical Digital Subscriber Line/ADSL
頂門壯戶	顶门壮户	dǐng mén zhuàng hù	to support the family business (idiom)
黑戶	黑户	hēi hù	unregistered resident or household/unlicensed shop
