獨	独	dú	alone/independent/single/sole/only
獨佔鰲頭	独占鳌头	dú zhàn áo tóu	to come first in triennial palace examinations (idiom, refers to the carved stone turtle head in front of the imperial palace, next to which the most successful candidate in the imperial examinations was entitled to stand)/to be the champion/to be the very best in any field
獨來獨往	独来独往	dú lái dú wǎng	coming and going alone (idiom); a lone operator/keeping to oneself/unsociable/maverick
獨個	独个	dú gè	alone
獨具	独具	dú jù	to have unique (talent, insight etc)
獨具匠心	独具匠心	dú jù jiàng xīn	original and ingenious (idiom)/to show great creativity
獨具隻眼	独具只眼	dú jù zhī yǎn	to see what others fail to see (idiom)/to have exceptional insight
獨出一時	独出一时	dú chū yī shí	incomparable/head and shoulders above the competition
獨出心裁	独出心裁	dú chū xīn cái	to display originality (idiom); to do things differently
獨到	独到	dú dào	original
獨創	独创	dú chuàng	to come up with (an innovation)/innovation
獨創性	独创性	dú chuàng xìng	innovative/ingenious/originality/ingenuity
獨力	独力	dú lì	all by oneself/without exterior help
獨吞	独吞	dú tūn	to hog/to keep everything for oneself
獨唱	独唱	dú chàng	(in singing) solo/to solo
獨在異鄉為異客	独在异乡为异客	dú zài yì xiāng wéi yì kè	a stranger in a strange land (from a poem by Wang Wei 王維|王维[Wáng Wéi])
獨夫	独夫	dú fū	sole ruler/dictator
獨夫民賊	独夫民贼	dú fū mín zéi	tyrant and oppressor of the people (idiom); traitorous dictator
獨奏	独奏	dú zòu	solo
獨子	独子	dú zǐ	only son
獨孤求敗	独孤求败	Dú gū Qiú bài	Dugu Qiubai, a fictional character appearing in 金庸[Jīn Yōng] novels
獨守空房	独守空房	dú shǒu kōng fáng	(of a married woman) to stay home alone
獨家	独家	dú jiā	exclusive
獨尊	独尊	dú zūn	to revere as sole orthodoxy/to hold supremacy (of a religion, ideology, cultural norm, social group etc)/to be dominant
獨尊儒術	独尊儒术	dú zūn rú shù	dismiss the hundred schools, revere only the Confucians (slogan of the Former Han dynasty)
獨居	独居	dú jū	to live alone/to live a solitary existence
獨居石	独居石	dú jū shí	monazite
獨屬	独属	dú shǔ	belonging exclusively to/exclusively for/reserved to/special
獨山	独山	Dú shān	Dushan county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
獨山子	独山子	Dú shān zǐ	Dushanzi district (Uighur: Maytagh Rayoni) of Qaramay City 克拉瑪依市|克拉玛依市[Kè lā mǎ yī shì], Xinjiang
獨山子區	独山子区	Dú shān zǐ qū	Dushanzi district (Uighur: Maytagh Rayoni) of Qaramay City 克拉瑪依市|克拉玛依市[Kè lā mǎ yī shì], Xinjiang
獨山縣	独山县	Dú shān xiàn	Dushan county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qián nán zhōu], Guizhou
獨島	独岛	Dú dǎo	Dokdo (Japanese Takeshima 竹島|竹岛[Zhú dǎo]), disputed islands in Sea of Japan
獨攬	独揽	dú lǎn	to monopolize
獨攬市場	独揽市场	dú lǎn shì chǎng	to monopolize a market
獨放異彩	独放异彩	dú fàng yì cǎi	to project singular splendor or radiance/to perform brilliantly
獨斷	独断	dú duàn	to decide alone without consultation/arbitrary/dictatorial
獨斷專行	独断专行	dú duàn zhuān xíng	to decide and act alone (idiom); to take arbitrary action/a law unto oneself
獨斷獨行	独断独行	dú duàn dú xíng	to decide and act alone (idiom); to take arbitrary action/a law unto oneself
獨有	独有	dú yǒu	to own exclusively/unique to/specific/there is only
獨木不成林	独木不成林	dú mù bù chéng lín	a lone tree does not make a forest (idiom)/one cannot accomplish much on one's own
獨木橋	独木桥	dú mù qiáo	single-log bridge/(fig.) difficult path
獨木舟	独木舟	dú mù zhōu	dugout/canoe/kayak
獨棟	独栋	dú dòng	(of a building) detached
獨樹一幟	独树一帜	dú shù yī zhì	lit. to fly one's banner on a solitary tree (idiom); fig. to act as a loner/to stand out/to develop one's own school/to have attitude of one's own
獨樹一格	独树一格	dú shù yī gé	to have a unique style of one's own (idiom)
獨步	独步	dú bù	lit. walking alone/prominent/unrivalled/outstanding
獨特	独特	dú tè	unique/distinct/having special characteristics
獨獨	独独	dú dú	alone
獨生	独生	dú shēng	only (child)/to be the sole survivor
獨生女	独生女	dú shēng nǚ	an only daughter
獨生子	独生子	dú shēng zǐ	only son
獨生子女	独生子女	dú shēng zǐ nǚ	an only child
獨生子女政策	独生子女政策	dú shēng zǐ nǚ zhèng cè	one-child policy
獨當一面	独当一面	dú dāng yī miàn	to assume personal responsibility (idiom); to take charge of a section
獨白	独白	dú bái	stage monologue/soliloquy
獨眼龍	独眼龙	dú yǎn lóng	one-eyed person
獨秀	独秀	dú xiù	to surpass/to stand above the crowd
獨立	独立	dú lì	independent/independence/to stand alone
獨立中文筆會	独立中文笔会	dú lì Zhōng wén bǐ huì	Independent Chinese PEN center
獨立國家聯合體	独立国家联合体	Dú lì guó jiā lián hé tǐ	Commonwealth of Independent States (former Soviet Union)
獨立報	独立报	Dú lì Bào	The Independent
獨立宣言	独立宣言	dú lì xuān yán	Declaration of Independence
獨立戰爭	独立战争	dú lì zhàn zhēng	war of independence
獨立自主	独立自主	dú lì zì zhǔ	independent and autonomous (idiom); self-determination/to act independently/to maintain control over one's own affairs
獨立選民	独立选民	dú lì xuǎn mín	independent voter
獨立鑽石	独立钻石	dú lì zuàn shí	solitaire (puzzle)
獨立門戶	独立门户	dú lì mén hù	to live apart from parents (of married couple)/to achieve independence
獨聯體	独联体	Dú lián tǐ	Commonwealth of Independent States (former Soviet Union)/abbr. for 獨立國家聯合體|独立国家联合体
獨腳戲	独脚戏	dú jiǎo xì	variant of 獨角戲|独角戏[dú jiǎo xì]
獨腳跳	独脚跳	dú jiǎo tiào	to jump on one foot/to hop
獨膽	独胆	dú dǎn	individually courageous
獨膽英雄	独胆英雄	dú dǎn yīng xióng	bold and courageous hero (idiom)
獨自	独自	dú zì	alone
獨舞	独舞	dú wǔ	solo dance
獨苗	独苗	dú miáo	only child/sole scion
獨處	独处	dú chǔ	to live alone/to spend time alone (or with a significant other)
獨行	独行	dú xíng	solitary
獨行俠	独行侠	dú xíng xiá	loner/single person/bachelor
獨行其是	独行其是	dú xíng qí shì	to go one's own way (idiom); to act independently without asking others
獨裁	独裁	dú cái	dictatorship
獨裁者	独裁者	dú cái zhě	dictator/autocrat
獨角戲	独角戏	dú jiǎo xì	monodrama/one-man show/comic talk
獨角獸	独角兽	dú jiǎo shòu	unicorn
獨角鯨	独角鲸	dú jiǎo jīng	narwhal (Monodon monoceros)
獨語	独语	dú yǔ	solo part (in opera)/soliloquy
獨語句	独语句	dú yǔ jù	one-word sentence
獨資	独资	dú zī	wholly-owned (often by foreign company)/exclusive investment
獨身	独身	dú shēn	unmarried/single
獨輪車	独轮车	dú lún chē	wheelbarrow/unicycle
獨辟蹊徑	独辟蹊径	dú pì xī jìng	to blaze a new trail (idiom); to display originality
獨酌	独酌	dú zhuó	to drink alone
獨院	独院	dú yuàn	one family courtyard
獨院兒	独院儿	dú yuàn r5	erhua variant of 獨院|独院[dú yuàn]
獨霸	独霸	dú bà	to dominate (a market etc)/to monopolize
獨霸一方	独霸一方	dú bà yī fāng	to exercise sole hegemony (idiom); to dominate a whole area (market, resources etc)/to hold as one's personal fiefdom
獨領風騷	独领风骚	dú lǐng fēng sāo	most outstanding/par excellence
獨體	独体	dú tǐ	autonomous body/independent system
獨體字	独体字	dú tǐ zì	single-component character
獨龍	独龙	Dú lóng	Drung or Dulong ethnic group of northwest Yunnan
獨龍江	独龙江	Dú lóng jiāng	Dulong river in northwest Yunnan on border with Myanmar, tributary of Salween or Nujiang 怒江, sometimes referred to as number four of Three parallel rivers 三江並流|三江并流, wildlife protection unit
統獨	统独	tǒng dú	unification and independence
罷黜百家，獨尊儒術	罢黜百家，独尊儒术	bà chù bǎi jiā , dú zūn rú shù	Dismiss the hundred schools, revere only the Confucian (idiom)/sole dominant ideology
美國獨立戰爭	美国独立战争	Měi guó Dú lì Zhàn zhēng	American War of Independence (1775-1783)
藏獨	藏独	Zàng Dú	Tibetan Independence (movement)/abbr. for 西藏獨立運動|西藏独立运动
貢山獨龍族怒族自治縣	贡山独龙族怒族自治县	Gòng shān Dú lóng zú Nù zú Zì zhì xiàn	Gongshan Derung and Nu autonomous county in Nujiang Lisu autonomous prefecture 怒江傈僳族自治州[Nù jiāng Lì sù zú Zì zhì zhōu] in northwest Yunnan
踽踽獨行	踽踽独行	jǔ jǔ dú xíng	to walk alone (idiom)
金雞獨立	金鸡独立	jīn jī dú lì	golden rooster stands on one leg (tai chi posture)/standing on one leg
陳獨秀	陈独秀	Chén Dú xiù	Chen Duxiu (1879-1942), co-founder of the Chinese Communist Party in 1921
隻眼獨具	只眼独具	zhī yǎn dú jù	see 獨具隻眼|独具只眼[dú jù zhī yǎn]
雙獨	双独	shuāng dú	double and single/allowed dispensation to have second child
雙獨夫婦	双独夫妇	shuāng dú fū fù	a married couple allowed dispensation to have second child
離獨	离独	lí dú	to be divorced
非獨	非独	fēi dú	not only/not merely
非獨立	非独立	fēi dú lì	dependent
鰥寡孤獨	鳏寡孤独	guān guǎ gū dú	lit. widowers, widows, orphans and the childless/fig. people with no one left to rely on
